Die dem RKI übermittelten COVID-19-Fälle nach Meldewoche, Altersgruppe und Angabe, dass eine Hospitalisierung vorlag für die Meldewochen KW 10 – 53/2020,  KW 01 – 52/2021 und KW 01 - 07/2022;;;;;;;
;;;;;;;
Stand: 23.02.2022 07:47:39;;;;;;;
;;Fälle 0 - 4-Jährige;Fälle 5 - 14-Jährige;Fälle 15 - 34-Jährige;Fälle 35 - 59-Jährige;Fälle 60 - 79-Jährige;Fälle 80+ -Jährige
Meldejahr;Meldewoche;Fälle A00..04;Fälle A05..14;Fälle A15..34;Fälle A35..59;Fälle A60..79;Fälle A80+
2020;10;2;3;23;84;37;11
2020;11;2;2;54;238;152;77
2020;12;14;6;152;724;861;472
2020;13;33;16;259;1359;2219;1259
2020;14;27;17;305;1348;2484;1921
2020;15;22;8;226;983;1762;1731
2020;16;9;12;192;635;1280;1251
2020;17;20;15;183;418;768;832
2020;18;19;8;107;286;513;428
2020;19;10;7;91;239;383;350
2020;20;7;18;74;180;231;248
2020;21;4;2;50;120;170;166
2020;22;4;;38;124;138;117
2020;23;3;5;40;94;90;75
2020;24;11;5;48;83;70;73
2020;25;5;3;52;121;81;62
2020;26;3;7;47;103;79;57
2020;27;3;4;54;93;57;52
2020;28;7;6;36;97;79;32
2020;29;9;5;61;106;92;49
2020;30;10;8;54;112;105;46
2020;31;2;5;50;147;106;76
2020;32;4;3;70;147;114;66
2020;33;11;13;75;151;116;78
2020;34;9;11;95;171;107;45
2020;35;6;8;67;151;101;40
2020;36;4;7;76;147;122;51
2020;37;12;12;50;162;141;98
2020;38;8;10;81;238;211;136
2020;39;9;7;111;242;259;154
2020;40;15;10;118;283;289;176
2020;41;21;17;211;499;514;362
2020;42;24;26;276;685;789;561
2020;43;50;30;435;1076;1435;1149
2020;44;63;52;554;1521;2112;1699
2020;45;65;59;605;1706;2418;2068
2020;46;66;70;583;1743;2628;2524
2020;47;54;60;611;1698;2899;2848
2020;48;62;67;571;1723;2877;3095
2020;49;59;62;610;1686;3204;3629
2020;50;70;67;680;1987;3973;4559
2020;51;77;84;717;2205;4427;5132
2020;52;52;50;585;1870;3934;4610
2020;53;73;51;616;1928;3875;4497
2021;01;68;34;594;1846;4007;4701
2021;02;61;47;533;1614;3454;4264
2021;03;41;35;413;1507;3194;3732
2021;04;34;35;407;1259;2815;3018
2021;05;45;36;356;1154;2376;2538
2021;06;42;25;307;986;1972;1904
2021;07;37;23;311;1063;2012;1705
2021;08;47;30;327;1117;1823;1505
2021;09;53;28;353;1066;1672;1269
2021;10;52;37;412;1374;1746;1296
2021;11;84;70;492;1647;2181;1319
2021;12;94;91;627;1998;2550;1541
2021;13;95;87;627;2067;2647;1428
2021;14;112;71;754;2382;2852;1441
2021;15;93;85;768;2394;3045;1458
2021;16;96;89;806;2571;3029;1427
2021;17;79;103;655;2182;2565;1182
2021;18;81;69;567;1747;2093;966
2021;19;67;44;460;1274;1508;712
2021;20;49;42;359;864;971;507
2021;21;28;25;213;569;579;303
2021;22;13;22;156;397;349;203
2021;23;19;22;125;278;241;128
2021;24;16;7;86;202;135;79
2021;25;12;7;88;117;88;50
2021;26;6;10;65;110;89;37
2021;27;6;6;76;130;91;54
2021;28;11;3;101;159;91;48
2021;29;16;7;164;209;125;65
2021;30;20;21;174;296;176;98
2021;31;22;22;257;386;195;128
2021;32;57;39;378;675;341;174
2021;33;75;60;535;985;454;244
2021;34;86;76;653;1347;651;375
2021;35;78;71;621;1289;721;475
2021;36;96;84;578;1175;789;553
2021;37;79;55;466;980;656;530
2021;38;71;55;392;822;662;468
2021;39;67;54;384;795;652;583
2021;40;50;47;304;780;774;652
2021;41;47;54;381;857;937;776
2021;42;84;58;506;1201;1501;1370
2021;43;87;72;543;1540;1862;1783
2021;44;95;108;572;1681;2243;2269
2021;45;107;152;702;2092;3001;2658
2021;46;141;218;773;2485;3499;3139
2021;47;148;186;778;2631;3846;3238
2021;48;157;210;786;2622;3685;2945
2021;49;142;182;772;2333;3423;2710
2021;50;130;153;665;1831;2794;2210
2021;51;103;110;490;1337;1851;1460
2021;52;106;68;613;1343;1713;1307
2022;01;164;113;866;1239;1489;1169
2022;02;225;188;874;1303;1218;1039
2022;03;304;301;1193;1594;1516;1411
2022;04;345;371;1259;1766;1849;1805
2022;05;369;384;1342;1889;2373;2390
2022;06;353;323;1191;1774;2242;2467
2022;07;291;242;853;1297;1878;2093
