Die dem RKI übermittelten COVID-19-Fälle nach Meldewoche, Altersgruppe und Angabe, dass eine Hospitalisierung vorlag für die Meldewochen KW 10 – 53/2020 und KW 01 - 21/2021;;;;;;;;
;;;;;;;;
;;;;;;;;
;;0 - 4 Jährige;5 - 14 Jährige;15 - 34 Jährige;35 - 59 Jährige;60 - 79 Jährige;80+ Jährige;
Meldejahr;Meldewoche;A00..04;A05..14;A15..34;A35..59;A60..79;A80+;
2020;10;2;3;23;89;37;11;2020-KW10
2020;11;2;2;55;239;155;78;2020-KW11
2020;12;14;5;154;727;860;471;2020-KW12
2020;13;32;16;263;1358;2218;1259;2020-KW13
2020;14;27;17;311;1344;2486;1909;2020-KW14
2020;15;23;9;225;979;1765;1735;2020-KW15
2020;16;9;13;192;633;1276;1257;2020-KW16
2020;17;20;15;184;420;771;836;2020-KW17
2020;18;19;8;109;288;513;429;2020-KW18
2020;19;10;7;92;237;382;352;2020-KW19
2020;20;7;18;77;180;233;251;2020-KW20
2020;21;4;2;51;121;169;166;2020-KW21
2020;22;4;;38;123;139;117;2020-KW22
2020;23;3;5;39;94;91;76;2020-KW23
2020;24;10;5;48;83;70;72;2020-KW24
2020;25;5;3;50;117;82;62;2020-KW25
2020;26;3;7;46;104;78;57;2020-KW26
2020;27;3;4;55;92;54;53;2020-KW27
2020;28;7;6;35;97;80;31;2020-KW28
2020;29;9;5;61;106;91;48;2020-KW29
2020;30;10;8;54;111;105;45;2020-KW30
2020;31;2;5;51;147;108;77;2020-KW31
2020;32;4;3;67;147;113;64;2020-KW32
2020;33;11;13;74;150;113;76;2020-KW33
2020;34;9;11;92;172;106;45;2020-KW34
2020;35;5;8;67;147;100;39;2020-KW35
2020;36;4;7;74;143;121;50;2020-KW36
2020;37;12;12;50;159;138;96;2020-KW37
2020;38;8;10;78;234;207;139;2020-KW38
2020;39;9;7;111;239;255;153;2020-KW39
2020;40;15;9;115;275;289;175;2020-KW40
2020;41;21;17;210;489;505;354;2020-KW41
2020;42;24;25;262;672;782;560;2020-KW42
2020;43;50;30;435;1057;1416;1125;2020-KW43
2020;44;64;50;549;1505;2096;1689;2020-KW44
2020;45;67;59;609;1701;2393;2058;2020-KW45
2020;46;64;70;575;1722;2579;2507;2020-KW46
2020;47;54;56;607;1669;2857;2823;2020-KW47
2020;48;62;69;566;1695;2865;3067;2020-KW48
2020;49;58;59;594;1668;3165;3594;2020-KW49
2020;50;70;67;674;1957;3912;4525;2020-KW50
2020;51;80;89;707;2185;4350;5069;2020-KW51
2020;52;54;50;596;1848;3892;4570;2020-KW52
2020;53;74;51;613;1893;3803;4430;2020-KW53
2021;01;66;33;575;1800;3919;4636;2021-KW01
2021;02;58;47;517;1565;3346;4167;2021-KW02
2021;03;38;36;389;1420;3084;3622;2021-KW03
2021;04;34;30;392;1184;2712;2927;2021-KW04
2021;05;45;38;346;1097;2290;2443;2021-KW05
2021;06;39;23;288;943;1876;1835;2021-KW06
2021;07;35;23;298;1001;1935;1632;2021-KW07
2021;08;44;31;308;1039;1724;1450;2021-KW08
2021;09;48;28;317;994;1567;1209;2021-KW09
2021;10;51;37;383;1283;1648;1224;2021-KW10
2021;11;78;68;449;1527;2032;1248;2021-KW11
2021;12;84;81;586;1843;2391;1463;2021-KW12
2021;13;84;88;553;1843;2443;1326;2021-KW13
2021;14;100;69;673;2100;2578;1317;2021-KW14
2021;15;89;84;707;2119;2780;1335;2021-KW15
2021;16;86;78;704;2258;2703;1291;2021-KW16
2021;17;69;88;588;1876;2255;1054;2021-KW17
2021;18;76;61;495;1473;1804;855;2021-KW18
2021;19;61;40;399;1051;1259;597;2021-KW19
2021;20;41;33;284;642;775;396;2021-KW20
2021;21;24;17;134;310;376;226;2021-KW21
