Die dem RKI übermittelten COVID-19-Fälle nach Meldewoche und  Geschlecht sowie Anteile mit für COVID-19 relevanten Symptomen, Anteile Hospitalisierter und Verstorbener für die Meldewochen KW 10 – 53/2020 und KW 01 - 14/2021;;;;;;;;;;;;
Meldejahr;MW;Fälle gesamt;Mittelwert Alter (Jahre);Männer;Frauen;Anzahl mit Angaben zu Symptomen;Anteil keine, bzw. keine für COVID-19 bedeutsamen Symptome;Anzahl mit Angaben zur Hospitalisierung;Anzahl hospitalisiert;Anteil hospitalisiert;Anzahl Verstorben;Anteil Verstorben
2020;10;897;43;53%;47%;836;8.4%;809;165;20%;12;1.34%
2020;11;6,434;45;56%;44%;5,770;5.3%;5,636;533;9%;85;1.32%
2020;12;22,446;45;55%;45%;20,190;3.9%;19,406;2,232;12%;478;2.13%
2020;13;33,987;48;50%;50%;30,839;3.3%;29,533;5,148;17%;1,465;4.31%
2020;14;36,075;51;45%;55%;32,053;5.6%;31,631;6,093;19%;2,260;6.26%
2020;15;27,179;52;43%;57%;23,598;8.5%;24,165;4,735;20%;1,879;6.91%
2020;16;17,352;51;45%;55%;14,879;11.5%;15,533;3,380;22%;1,217;7.01%
2020;17;12,371;50;45%;55%;10,276;13.9%;10,993;2,240;20%;722;5.84%
2020;18;7,438;48;48%;52%;6,257;17.6%;6,609;1,365;21%;386;5.19%
2020;19;6,240;47;48%;52%;5,254;19.7%;5,633;1,082;19%;257;4.12%
2020;20;4,768;45;49%;51%;3,952;23.1%;4,250;766;18%;164;3.44%
2020;21;3,612;43;50%;50%;2,839;26.5%;3,122;515;16%;113;3.13%
2020;22;3,204;42;52%;48%;2,548;23.2%;2,769;421;15%;65;2.03%
2020;23;2,352;39;51%;49%;1,838;23.2%;2,080;308;15%;45;1.91%
2020;24;2,342;37;54%;46%;1,743;24.4%;2,088;288;14%;33;1.41%
2020;25;4,125;36;59%;41%;2,935;25.1%;3,771;319;8%;41;0.99%
2020;26;3,213;37;55%;45%;2,331;23.3%;2,864;296;10%;23;0.72%
2020;27;2,689;36;52%;48%;2,065;26.7%;2,464;259;11%;26;0.97%
2020;28;2,427;36;56%;44%;1,935;23.9%;2,193;256;12%;25;1.03%
2020;29;3,016;36;53%;47%;2,360;23.0%;2,647;318;12%;30;0.99%
2020;30;3,929;36;52%;48%;3,183;27.4%;3,478;334;10%;33;0.84%
2020;31;4,822;36;50%;50%;3,713;24.6%;4,175;389;9%;32;0.66%
2020;32;6,058;34;54%;46%;4,553;30.0%;5,287;399;8%;31;0.51%
2020;33;7,949;32;53%;47%;5,854;33.3%;7,009;438;6%;30;0.38%
2020;34;9,591;32;55%;45%;7,203;34.6%;8,309;434;5%;30;0.31%
2020;35;8,821;32;53%;47%;6,874;30.7%;7,428;366;5%;18;0.20%
2020;36;8,617;33;54%;46%;6,656;27.2%;7,083;397;6%;36;0.42%
2020;37;9,771;35;52%;48%;7,606;20.5%;8,037;464;6%;67;0.69%
2020;38;12,298;36;51%;49%;9,768;18.7%;10,069;674;7%;79;0.64%
2020;39;13,062;37;52%;48%;10,360;18.2%;10,851;771;7%;107;0.82%
2020;40;15,933;38;52%;48%;12,611;17.6%;13,481;873;6%;121;0.76%
2020;41;26,130;39;51%;49%;20,103;16.6%;21,547;1586;7%;238;0.91%
2020;42;42,087;39;51%;49%;30,877;16.0%;33,702;2325;7%;456;1.08%
2020;43;74,833;40;50%;50%;52,403;15.5%;58,136;4098;7%;988;1.32%
2020;44;111,100;41;50%;50%;75,615;15.8%;83,930;5904;7%;1584;1.43%
2020;45;125,816;41;49%;51%;85,197;15.2%;92,723;6827;7%;1850;1.47%
2020;46;127,869;42;48%;52%;85,768;14.8%;94,451;7469;8%;2453;1.92%
2020;47;128,472;43;47%;53%;86,358;14.8%;93,935;8005;9%;3133;2.44%
2020;48;123,291;44;47%;53%;82,286;15.5%;89,686;8249;9%;3492;2.83%
2020;49;128,517;45;46%;54%;87,283;14.2%;94,082;9083;10%;4355;3.39%
2020;50;156,538;46;45%;55%;106,986;14.6%;114,347;11110;10%;5581;3.57%
2020;51;174,947;46;45%;55%;117,748;14.4%;126,180;12338;10%;6245;3.57%
2020;52;139,229;48;44%;56%;91,165;15.8%;99,753;10903;11%;5553;3.99%
2020;53;123,218;49;44%;56%;84,107;13.4%;90,170;10768;12%;5516;4.48%
2021;1;145,488;48;45%;55%;101,011;13.2%;106,306;10779;10%;5500;3.78%
2021;2;119,011;48;45%;55%;80,808;15.7%;87,131;9533;11%;4897;4.11%
2021;3;95,588;48;46%;54%;66,323;15.7%;72,232;8487;12%;3892;4.07%
2021;4;78,244;48;46%;54%;54,941;15.9%;60,846;7166;12%;2934;3.75%
2021;5;64,676;46;47%;53%;46,245;16.0%;50,930;6139;12%;2093;3.24%
2021;6;50,869;45;48%;52%;37,099;16.3%;40,302;4912;12%;1573;3.09%
2021;7;52,511;44;49%;51%;38,521;16.2%;42,027;4849;12%;1350;2.57%
2021;8;56,490;42;50%;50%;41,441;15.7%;44,823;4503;10%;1086;1.92%
2021;9;58,514;40;51%;49%;42,878;15.4%;46,094;4027;9%;871;1.49%
2021;10;71,466;39;50%;50%;51,325;15.5%;54,704;4436;8%;864;1.21%
2021;11;92,807;39;50%;50%;64,960;15.3%;69,344;4981;7%;856;0.92%
2021;12;116,703;38;51%;49%;77,045;15.5%;84,933;5591;7%;783;0.67%
2021;13;110,436;39;51%;49%;68,416;15.2%;76,346;4961;6%;510;0.46%
2021;14;117,118;39;51%;49%;62,227;14.6%;73,149;3985;5%;175;0.15%
