Die dem RKI übermittelten COVID-19-Fälle nach Meldewoche, Altersgruppe und Angabe, dass eine Hospitalisierung vorlag für die Meldewochen KW 10 – 53/2020 und KW 01 - 26/2021;;;;;;;;
;;;;;;;;
;;;;;;;;
Stand: 06.07.2021 07:03:16;;;;;;;;
;;;;;;;;
;;0 - 4 Jährige;5 - 14 Jährige;15 - 34 Jährige;35 - 59 Jährige;60 - 79 Jährige;80+ Jährige;
Meldejahr;Meldewoche;A00..04;A05..14;A15..34;A35..59;A60..79;A80+;
2020;10;2;3;23;89;37;11;2020-KW10
2020;11;2;2;55;238;155;78;2020-KW11
2020;12;14;5;153;727;860;471;2020-KW12
2020;13;32;16;260;1362;2221;1261;2020-KW13
2020;14;27;17;311;1346;2486;1918;2020-KW14
2020;15;23;8;227;983;1765;1734;2020-KW15
2020;16;9;12;192;634;1278;1258;2020-KW16
2020;17;20;15;185;419;773;836;2020-KW17
2020;18;19;8;109;288;513;430;2020-KW18
2020;19;10;7;92;239;383;350;2020-KW19
2020;20;7;18;75;181;232;250;2020-KW20
2020;21;4;2;51;121;170;166;2020-KW21
2020;22;4;;38;123;139;117;2020-KW22
2020;23;3;5;39;94;91;75;2020-KW23
2020;24;10;5;47;83;70;72;2020-KW24
2020;25;5;3;50;118;81;62;2020-KW25
2020;26;3;7;46;105;79;57;2020-KW26
2020;27;3;4;55;92;55;53;2020-KW27
2020;28;7;6;36;98;80;32;2020-KW28
2020;29;9;5;61;107;91;48;2020-KW29
2020;30;10;8;54;112;105;45;2020-KW30
2020;31;2;5;50;148;108;77;2020-KW31
2020;32;4;3;68;148;113;64;2020-KW32
2020;33;11;13;76;151;115;76;2020-KW33
2020;34;9;11;95;171;105;45;2020-KW34
2020;35;6;8;69;149;100;39;2020-KW35
2020;36;4;8;77;144;121;50;2020-KW36
2020;37;12;12;54;161;140;96;2020-KW37
2020;38;8;10;81;237;209;139;2020-KW38
2020;39;9;7;110;241;257;153;2020-KW39
2020;40;15;9;117;280;290;175;2020-KW40
2020;41;21;17;212;495;507;356;2020-KW41
2020;42;24;26;272;678;786;561;2020-KW42
2020;43;51;32;443;1065;1420;1132;2020-KW43
2020;44;64;54;555;1511;2105;1693;2020-KW44
2020;45;66;60;609;1699;2401;2068;2020-KW45
2020;46;65;72;590;1736;2615;2522;2020-KW46
2020;47;53;60;614;1687;2880;2835;2020-KW47
2020;48;64;68;571;1714;2871;3086;2020-KW48
2020;49;59;60;606;1673;3185;3606;2020-KW49
2020;50;70;69;678;1980;3945;4550;2020-KW50
2020;51;79;87;717;2209;4413;5106;2020-KW51
2020;52;53;51;600;1866;3921;4598;2020-KW52
2020;53;73;51;612;1917;3831;4453;2020-KW53
2021;01;67;35;589;1827;3971;4676;2021-KW01
2021;02;61;50;541;1607;3421;4243;2021-KW02
2021;03;41;36;403;1475;3148;3695;2021-KW03
2021;04;35;32;402;1206;2755;2969;2021-KW04
2021;05;45;37;356;1141;2364;2533;2021-KW05
2021;06;42;23;301;981;1951;1898;2021-KW06
2021;07;36;23;309;1048;2001;1684;2021-KW07
2021;08;47;31;324;1088;1804;1502;2021-KW08
2021;09;50;31;343;1049;1656;1255;2021-KW09
2021;10;54;39;411;1357;1738;1281;2021-KW10
2021;11;85;72;484;1623;2153;1305;2021-KW11
2021;12;92;91;621;1963;2502;1517;2021-KW12
2021;13;93;89;617;2003;2608;1412;2021-KW13
2021;14;111;71;740;2342;2804;1427;2021-KW14
2021;15;94;87;770;2348;3012;1431;2021-KW15
2021;16;91;90;779;2485;2928;1377;2021-KW16
2021;17;72;93;618;2039;2434;1127;2021-KW17
2021;18;79;70;541;1628;1971;928;2021-KW18
2021;19;65;41;426;1174;1410;672;2021-KW19
2021;20;47;39;336;806;933;483;2021-KW20
2021;21;28;24;196;521;561;295;2021-KW21
2021;22;13;22;147;369;330;190;2021-KW22
2021;23;15;23;123;257;230;123;2021-KW23
2021;24;15;6;72;183;123;80;2021-KW24
2021;25;11;7;79;95;79;44;2021-KW25
2021;26;7;8;45;72;58;31;2021-KW26
