Hospitalisierte COVID-19-Fälle pro 100.000, nach Impfstatus und Altersgruppe ;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
Meldejahr;Meldewoche;Ungeimpfte 12-17 Jahre;Grundimmunisierte  12-17 Jahre;Mit Auffrischimpfung 12-17 Jahre;Ungeimpfte 18-59 Jahre;Grundimmunisierte  18-59 Jahre;Mit Auffrischimpfung 18-59 Jahre;Ungeimpfte 60+ Jahre;Grundimmunisierte 60+ Jahre;Mit Auffrischimpfung 60+ Jahre
2021;28;--;--;--;0.9;0.1;--;1.2;0.3;--
2021;29;--;--;--;1.4;0.1;--;1.8;0.3;--
2021;30;--;--;--;1.8;0.2;--;2.9;0.4;--
2021;31;--;--;--;2.6;0.3;--;3.8;0.5;--
2021;32;0.9;0.0;--;4.6;0.3;--;5.6;0.9;--
2021;33;1.5;0.2;--;6.7;0.5;--;8.1;1.2;--
2021;34;1.6;0.2;--;9.5;0.5;--;11.5;1.6;--
2021;35;1.6;0.0;--;8.9;0.6;--;13.4;2.0;--
2021;36;1.9;0.1;--;8.0;0.6;--;15.1;2.1;--
2021;37;1.4;0.1;--;6.8;0.5;--;13.7;2.0;--
2021;38;1.0;0.2;--;5.6;0.5;--;13.1;2.0;--
2021;39;1.1;0.0;--;5.5;0.6;--;13.3;2.5;--
2021;40;0.9;0.1;--;5.2;0.6;--;15.0;3.0;--
2021;41;1.5;0.1;--;6.0;0.7;--;17.5;3.5;--
2021;42;1.6;0.2;--;7.9;1.1;1.4;28.0;5.7;4.1
2021;43;2.0;0.2;--;9.4;1.3;2.0;32.0;7.4;5.1
2021;44;2.1;0.2;--;9.9;1.4;2.1;38.1;8.4;5.4
2021;45;2.7;0.4;--;11.8;1.7;0.5;48.3;10.0;6.0
2021;46;3.6;0.7;--;13.2;2.0;2.0;55.2;10.7;7.4
2021;47;4.1;0.4;--;13.9;2.0;1.4;62.4;11.0;6.4
2021;48;3.2;0.4;0.0;13.5;2.0;1.7;61.4;9.7;5.1
2021;49;2.9;0.4;0.0;12.0;2.1;1.0;63.6;9.6;4.8
2021;50;3.0;0.3;0.0;10.2;1.6;0.7;51.9;7.9;3.2
2021;51;2.0;0.5;0.0;7.5;1.3;0.5;38.0;5.1;1.6
2021;52;1.5;0.7;0.0;7.5;1.7;0.6;37.0;5.5;1.7
2022;1;2.1;1.1;0.0;6.2;2.2;0.8;28.8;5.4;1.6
2022;2;2.9;1.2;0.7;4.8;2.1;0.9;19.8;3.9;1.6
2022;3;2.6;1.3;0.2;5.2;2.1;0.8;15.9;4.6;1.9
2022;4;3.4;1.0;0.6;5.0;1.8;0.6;18.6;5.1;1.6
2022;5;3.4;0.8;0.2;5.3;1.6;0.7;21.4;6.2;2.0
2022;6;3.5;1.3;0.4;4.3;1.4;0.6;21.7;5.1;1.8
