Vollständig geimpfte und ungeimpfte symptomatische COVID-19-Fälle pro 100.000 Geimpfte/Ungeimpfte, nach Altersgruppe ;;;;;;
;;;;;;
;;;;;;
Meldewoche;Ungeimpfte 12-17 Jahre;Vollständig Geimpfte  12-17 Jahre;Ungeimpfte 18-59 Jahre;Vollständig Geimpfte  18-59 Jahre;Ungeimpfte 60+ Jahre;Vollständig Geimpfte 60+ Jahre
28;--;--;15.5;4.5;3.6;0.8
29;--;--;23.8;6.0;5.1;0.9
30;--;--;31.0;6.8;8.1;1.7
31;--;--;41.9;8.7;9.5;2.0
32;58.8;6.9;67.8;12.8;15.4;3.4
33;109.4;11.6;100.5;17.3;20.5;4.2
34;139.9;10.2;130.7;21.7;30.8;6.2
35;167.1;10.7;135.2;23.9;37.3;8.2
36;157.6;10.8;129.7;25.0;42.4;9.3
37;150.1;10.7;109.9;22.6;40.3;9.4
38;131.1;8.4;93.3;21.2;35.9;9.3
39;145.7;10.9;97.6;26.3;38.3;12.4
40;146.0;9.2;104.2;29.2;47.6;14.5
41;163.7;12.5;118.2;35.2;53.5;16.8
42;220.6;16.9;170.0;54.7;83.1;29.0
43;301.3;25.6;214.7;72.7;105.5;42.2
44;307.4;26.4;238.7;85.4;129.5;49.8
45;422.2;44.1;282.5;102.1;157.6;60.2
46;422.6;44.5;281.0;111.3;151.8;62.4
47;386.1;43.3;261.3;98.7;146.2;52.6
