Die dem RKI übermittelten COVID-19-Fälle nach Meldewoche, Altersgruppe und Angabe, dass eine Hospitalisierung vorlag für die Meldewochen KW 10 – 53/2020,  KW 01 – 52/2021 und KW 01 - 04/2022;;;;;;;
;;;;;;;
Stand: 02.02.2022 07:45:30;;;;;;;
;;Fälle 0 - 4-Jährige;Fälle 5 - 14-Jährige;Fälle 15 - 34-Jährige;Fälle 35 - 59-Jährige;Fälle 60 - 79-Jährige;Fälle 80+ -Jährige
Meldejahr;Meldewoche;Fälle A00..04;Fälle A05..14;Fälle A15..34;Fälle A35..59;Fälle A60..79;Fälle A80+
2020;10;2;3;23;84;37;11
2020;11;2;2;54;238;152;77
2020;12;14;6;152;724;861;472
2020;13;33;16;259;1360;2218;1259
2020;14;27;17;305;1348;2484;1921
2020;15;22;8;226;983;1762;1733
2020;16;9;12;192;635;1281;1256
2020;17;20;15;183;418;768;834
2020;18;19;8;107;286;513;428
2020;19;10;7;91;239;383;350
2020;20;7;18;74;180;231;249
2020;21;4;2;51;120;170;166
2020;22;4;;38;124;138;117
2020;23;3;5;40;94;90;75
2020;24;11;5;48;83;70;73
2020;25;5;3;52;121;81;62
2020;26;3;7;47;103;79;57
2020;27;3;4;54;93;57;52
2020;28;7;6;36;97;79;32
2020;29;9;5;61;106;91;49
2020;30;10;8;54;112;105;46
2020;31;2;5;50;147;106;76
2020;32;4;3;70;147;114;66
2020;33;11;13;75;151;115;78
2020;34;9;11;95;171;107;45
2020;35;6;8;67;151;101;40
2020;36;4;7;76;147;122;51
2020;37;12;12;50;162;141;98
2020;38;8;10;81;238;211;136
2020;39;9;7;111;242;259;154
2020;40;15;10;118;283;289;176
2020;41;21;17;211;499;513;362
2020;42;24;26;276;684;789;561
2020;43;50;31;437;1075;1435;1150
2020;44;63;52;554;1521;2113;1700
2020;45;65;59;605;1704;2418;2069
2020;46;66;70;583;1743;2628;2525
2020;47;54;60;611;1697;2897;2846
2020;48;62;67;571;1724;2880;3099
2020;49;59;62;610;1687;3204;3629
2020;50;70;67;679;1987;3981;4574
2020;51;77;84;717;2205;4428;5139
2020;52;52;50;585;1871;3938;4614
2020;53;73;51;615;1928;3879;4500
2021;01;68;34;595;1846;4009;4705
2021;02;61;47;534;1614;3455;4265
2021;03;41;35;414;1506;3193;3734
2021;04;34;35;407;1259;2818;3024
2021;05;45;36;358;1154;2374;2541
2021;06;42;24;306;986;1970;1907
2021;07;37;23;311;1063;2014;1705
2021;08;47;30;327;1117;1826;1505
2021;09;53;29;353;1066;1675;1269
2021;10;52;37;412;1374;1746;1296
2021;11;84;70;492;1648;2181;1319
2021;12;94;91;626;1998;2549;1540
2021;13;95;87;627;2067;2647;1428
2021;14;112;71;754;2382;2853;1441
2021;15;93;85;767;2395;3045;1458
2021;16;96;89;806;2570;3029;1427
2021;17;79;102;655;2180;2565;1182
2021;18;81;68;567;1747;2093;966
2021;19;67;44;460;1274;1508;712
2021;20;49;42;359;864;971;506
2021;21;28;25;213;568;579;303
2021;22;13;22;156;397;349;203
2021;23;19;22;125;278;241;128
2021;24;16;7;86;202;135;79
2021;25;12;7;88;117;88;50
2021;26;6;10;65;110;89;37
2021;27;6;6;76;130;91;54
2021;28;11;3;101;159;91;48
2021;29;16;7;164;209;125;65
2021;30;20;21;174;298;176;98
2021;31;22;22;257;386;195;128
2021;32;57;39;378;675;341;174
2021;33;75;60;534;985;454;244
2021;34;86;76;652;1347;650;375
2021;35;77;71;622;1287;721;475
2021;36;97;83;576;1175;787;553
2021;37;78;54;465;979;656;527
2021;38;71;56;390;819;661;468
2021;39;67;54;382;795;652;583
2021;40;48;47;301;776;772;651
2021;41;47;54;382;854;935;776
2021;42;84;58;505;1199;1499;1368
2021;43;87;70;544;1536;1861;1779
2021;44;95;107;574;1675;2233;2263
2021;45;107;152;700;2086;2993;2646
2021;46;139;217;774;2477;3482;3126
2021;47;148;184;771;2613;3824;3211
2021;48;155;209;776;2610;3653;2919
2021;49;142;179;760;2312;3387;2694
2021;50;128;152;656;1816;2756;2190
2021;51;98;106;487;1322;1823;1439
2021;52;105;68;607;1325;1690;1286
2022;01;162;112;843;1207;1449;1136
2022;02;214;181;822;1231;1155;987
2022;03;279;272;1065;1371;1308;1224
2022;04;268;283;895;1208;1224;1166
