Stand: 23.02.2022 07:47:38;;;;;;;;;;;;
;;;;;;;;;;;;
Meldejahr;MW;Fälle gesamt;Mittelwert Alter (Jahre);Männer;Frauen;Anzahl mit Angaben zu Symptomen;Anteil keine, bzw. keine für COVID-19 bedeutsamen Symptome;Anzahl mit Angaben zur Hospitalisierung;Anzahl hospitalisiert;Anteil der Hospitalisierten bei Fällen mit Angabe zur Hospitalisation;Anzahl Verstorben;Anteil Verstorben
2020;10;899;43;53%;47%;835;8.4%;796;160;20%;12;1.33%
2020;11;6,431;45;56%;44%;5,756;5.4%;5,537;525;9%;84;1.31%
2020;12;22,386;45;55%;45%;20,043;3.9%;18,966;2,229;12%;476;2.13%
2020;13;33,967;48;49%;51%;30,694;3.3%;29,034;5,145;18%;1,462;4.30%
2020;14;36,048;51;45%;55%;31,907;5.4%;31,307;6,102;19%;2,267;6.29%
2020;15;27,129;52;43%;57%;23,479;8.4%;23,891;4,733;20%;1,877;6.92%
2020;16;17,325;51;45%;55%;14,776;11.3%;15,297;3,379;22%;1,220;7.04%
2020;17;12,350;50;45%;55%;10,192;13.5%;10,760;2,236;21%;726;5.88%
2020;18;7,432;48;48%;52%;6,148;16.4%;6,521;1,361;21%;387;5.21%
2020;19;6,232;47;48%;52%;5,212;19.0%;5,550;1,080;19%;257;4.12%
2020;20;4,758;45;50%;50%;3,905;22.4%;4,142;758;18%;164;3.45%
2020;21;3,600;44;50%;50%;2,807;25.8%;3,084;512;17%;112;3.11%
2020;22;3,207;42;51%;49%;2,579;23.8%;2,731;421;15%;64;2.00%
2020;23;2,351;39;51%;49%;1,859;23.8%;2,078;307;15%;45;1.91%
2020;24;2,344;37;53%;47%;1,790;25.6%;2,088;290;14%;33;1.41%
2020;25;4,187;36;59%;41%;2,952;24.8%;3,821;324;8%;41;0.98%
2020;26;3,158;37;55%;45%;2,345;23.7%;2,812;297;11%;24;0.76%
2020;27;2,688;36;52%;48%;2,067;26.7%;2,434;263;11%;26;0.97%
2020;28;2,421;36;56%;44%;1,906;23.6%;2,157;257;12%;25;1.03%
2020;29;3,033;36;52%;48%;2,369;22.8%;2,625;322;12%;30;0.99%
2020;30;3,932;36;52%;48%;3,153;26.5%;3,415;335;10%;33;0.84%
