Stand: 13.04.2022 07:47:07;;;;;;;;;;;;
;;;;;;;;;;;;
Meldejahr;MW;Fälle gesamt;Mittelwert Alter (Jahre);Männer;Frauen;Anzahl mit Angaben zu Symptomen;Anteil keine, bzw. keine für COVID-19 bedeutsamen Symptome;Anzahl mit Angaben zur Hospitalisierung;Anzahl hospitalisiert;Anteil der Hospitalisierten bei Fällen mit Angabe zur Hospitalisation;Anzahl Verstorben;Anteil Verstorben
2020;10;901;43;53%;47%;835;8.4%;796;160;20%;12;1.33%
2020;11;6,432;45;56%;44%;5,752;5.4%;5,529;524;9%;84;1.31%
2020;12;22,389;45;55%;45%;20,044;3.9%;18,948;2,230;12%;476;2.13%
2020;13;33,962;48;49%;51%;30,686;3.3%;29,015;5,145;18%;1,461;4.30%
2020;14;36,051;51;45%;55%;31,908;5.4%;31,291;6,105;20%;2,270;6.30%
2020;15;27,128;52;43%;57%;23,472;8.4%;23,870;4,735;20%;1,877;6.92%
2020;16;17,331;51;45%;55%;14,777;11.3%;15,293;3,380;22%;1,222;7.05%
2020;17;12,350;50;45%;55%;10,189;13.5%;10,757;2,236;21%;727;5.89%
2020;18;7,435;48;48%;52%;6,150;16.4%;6,518;1,363;21%;387;5.21%
2020;19;6,230;47;48%;52%;5,210;19.0%;5,547;1,082;20%;257;4.13%
2020;20;4,759;45;50%;50%;3,905;22.4%;4,141;758;18%;164;3.45%
2020;21;3,602;44;50%;50%;2,808;25.7%;3,085;512;17%;112;3.11%
2020;22;3,207;42;51%;49%;2,579;23.9%;2,729;422;15%;64;2.00%
2020;23;2,353;39;51%;49%;1,860;23.9%;2,078;307;15%;45;1.91%
2020;24;2,344;37;53%;47%;1,790;25.6%;2,087;290;14%;33;1.41%
2020;25;4,185;36;59%;41%;2,951;24.8%;3,812;324;8%;41;0.98%
2020;26;3,165;37;55%;45%;2,348;23.8%;2,815;296;11%;24;0.76%
2020;27;2,691;36;52%;48%;2,065;26.6%;2,431;263;11%;26;0.97%
2020;28;2,422;36;56%;44%;1,906;23.6%;2,157;257;12%;25;1.03%
2020;29;3,041;36;52%;48%;2,371;22.7%;2,628;322;12%;30;0.99%
2020;30;3,937;36;52%;48%;3,153;26.5%;3,414;335;10%;33;0.84%
2020;31;4,840;36;50%;50%;3,798;24.9%;4,203;387;9%;36;0.74%
2020;32;6,067;34;54%;46%;4,582;30.1%;5,287;405;8%;33;0.54%
2020;33;7,955;32;53%;47%;5,860;33.1%;6,928;446;6%;31;0.39%
2020;34;9,596;32;55%;45%;7,197;34.4%;8,211;438;5%;31;0.32%
2020;35;8,833;32;53%;47%;6,863;30.4%;7,336;373;5%;18;0.20%
2020;36;8,616;33;54%;46%;6,664;26.6%;7,027;406;6%;35;0.41%
2020;37;9,763;35;52%;48%;7,686;20.0%;7,923;476;6%;68;0.70%
2020;38;12,291;36;51%;49%;9,936;18.1%;10,108;687;7%;82;0.67%
2020;39;13,070;37;52%;48%;10,481;17.9%;10,830;783;7%;110;0.84%
2020;40;15,933;38;52%;48%;12,707;17.0%;13,389;890;7%;122;0.77%
2020;41;26,124;39;51%;49%;20,214;16.0%;21,375;1617;8%;245;0.94%
2020;42;42,056;39;51%;49%;31,321;15.6%;33,824;2359;7%;463;1.10%
2020;43;74,868;40;50%;50%;53,250;15.1%;58,292;4169;7%;1015;1.36%
2020;44;110,996;41;50%;50%;76,981;15.3%;84,518;6002;7%;1621;1.46%
2020;45;125,716;41;49%;51%;87,291;15.0%;94,229;6919;7%;1899;1.51%
2020;46;127,815;42;48%;52%;87,626;14.6%;96,480;7621;8%;2529;1.98%
2020;47;128,394;43;47%;53%;88,554;14.7%;96,474;8174;8%;3218;2.51%
2020;48;123,147;44;47%;53%;84,475;15.4%;92,279;8398;9%;3587;2.91%
2020;49;128,372;45;46%;54%;89,653;14.1%;96,401;9258;10%;4466;3.48%
2020;50;156,307;46;45%;55%;110,395;14.5%;117,342;11352;10%;5743;3.67%
2020;51;174,701;46;45%;55%;122,339;14.4%;129,998;12658;10%;6435;3.68%
2020;52;138,923;48;44%;56%;95,506;15.8%;103,163;11115;11%;5700;4.10%
2020;53;123,086;49;44%;56%;87,510;13.4%;93,476;11056;12%;5711;4.64%
2021;1;145,494;48;45%;55%;106,581;13.1%;111,537;11259;10%;5719;3.93%
2021;2;118,916;48;45%;55%;86,024;15.9%;91,538;9985;11%;5080;4.27%
2021;3;95,553;48;46%;54%;71,001;16.0%;75,881;8930;12%;4083;4.27%
2021;4;78,179;48;46%;54%;58,787;16.1%;63,997;7576;12%;3080;3.94%
2021;5;64,589;46;47%;53%;49,667;16.2%;53,375;6517;12%;2249;3.48%
2021;6;50,818;45;48%;52%;40,043;16.6%;42,412;5240;12%;1676;3.30%
2021;7;52,436;44;49%;51%;41,717;16.3%;43,957;5156;12%;1472;2.81%
2021;8;56,391;42;50%;50%;44,945;16.1%;47,172;4854;10%;1219;2.16%
2021;9;58,437;40;51%;49%;47,210;16.0%;48,716;4446;9%;1046;1.79%
2021;10;71,396;39;50%;50%;57,777;16.1%;58,697;4917;8%;1096;1.54%
2021;11;92,665;39;50%;50%;74,504;15.5%;75,472;5800;8%;1277;1.38%
2021;12;116,346;38;51%;49%;91,847;16.2%;94,284;6902;7%;1520;1.31%
2021;13;110,132;39;51%;49%;86,384;15.7%;89,020;6959;8%;1582;1.44%
2021;14;118,266;39;51%;49%;94,366;14.1%;95,110;7617;8%;1579;1.34%
2021;15;142,082;38;51%;49%;111,851;16.1%;114,733;7850;7%;1618;1.14%
2021;16;144,792;37;52%;48%;113,799;17.3%;116,954;8023;7%;1608;1.11%
2021;17;124,819;37;52%;48%;99,094;17.5%;100,384;6778;7%;1296;1.04%
2021;18;100,982;37;51%;49%;81,638;17.1%;82,305;5529;7%;1005;1.00%
2021;19;70,815;37;51%;49%;57,435;17.5%;58,084;4067;7%;665;0.94%
2021;20;52,704;36;51%;49%;42,853;18.0%;43,568;2795;6%;443;0.84%
2021;21;29,900;35;52%;48%;24,388;18.7%;24,716;1721;7%;259;0.87%
2021;22;20,689;34;51%;49%;16,662;20.0%;17,098;1142;7%;141;0.68%
2021;23;14,059;33;51%;49%;11,355;22.2%;11,857;812;7%;66;0.47%
2021;24;7,279;32;51%;49%;5,850;22.6%;6,147;526;9%;46;0.63%
2021;25;4,847;32;54%;46%;3,946;21.4%;4,075;362;9%;30;0.62%
2021;26;4,380;32;53%;47%;3,668;17.2%;3,729;318;9%;24;0.55%
2021;27;5,583;32;53%;47%;4,781;13.3%;4,685;363;8%;25;0.45%
2021;28;9,109;30;54%;46%;7,964;12.5%;7,611;413;5%;29;0.32%
2021;29;12,640;30;52%;48%;11,123;12.1%;10,380;586;6%;40;0.32%
2021;30;15,513;31;52%;48%;13,658;12.1%;12,619;786;6%;71;0.46%
2021;31;20,420;30;52%;48%;17,736;12.6%;16,164;1011;6%;88;0.43%
2021;32;32,071;30;51%;49%;27,486;12.3%;24,871;1670;7%;144;0.45%
2021;33;49,649;29;51%;49%;41,110;14.9%;38,370;2354;6%;223;0.45%
2021;34;66,380;29;51%;49%;53,354;15.8%;50,869;3189;6%;346;0.52%
2021;35;74,747;30;50%;50%;58,459;16.4%;56,302;3265;6%;428;0.57%
2021;36;71,674;30;50%;50%;56,394;15.3%;53,947;3286;6%;445;0.62%
2021;37;61,476;31;51%;49%;49,195;15.4%;46,618;2776;6%;384;0.62%
2021;38;53,610;31;50%;50%;43,004;14.6%;40,698;2470;6%;350;0.65%
2021;39;56,488;32;50%;50%;46,297;12.8%;43,428;2542;6%;419;0.74%
2021;40;58,009;34;50%;50%;48,401;12.4%;44,506;2613;6%;483;0.83%
2021;41;65,355;34;49%;51%;54,141;10.6%;49,700;3057;6%;573;0.88%
2021;42;97,723;36;49%;51%;80,291;10.0%;72,861;4729;6%;1033;1.06%
2021;43;137,034;36;49%;51%;109,272;10.9%;99,393;5899;6%;1262;0.92%
2021;44;177,889;37;49%;51%;129,717;10.4%;119,076;6997;6%;1652;0.93%
2021;45;271,298;36;49%;51%;171,938;10.9%;168,071;8730;5%;2252;0.83%
2021;46;351,717;36;49%;51%;199,163;11.6%;204,367;10300;5%;2666;0.76%
2021;47;403,329;36;49%;51%;207,942;12.0%;219,333;10894;5%;3036;0.75%
2021;48;388,257;36;50%;50%;189,779;12.5%;207,097;10498;5%;2804;0.72%
2021;49;338,194;35;49%;51%;167,883;13.1%;184,227;9678;5%;2463;0.73%
2021;50;273,604;34;49%;51%;137,559;14.1%;152,117;7860;5%;1935;0.71%
2021;51;193,939;34;49%;51%;98,234;15.2%;107,953;5430;5%;1242;0.64%
2021;52;208,768;35;49%;51%;104,902;12.8%;116,171;5229;5%;992;0.48%
2022;1;338,128;33;49%;51%;153,954;13.7%;184,931;5176;3%;815;0.24%
2022;2;486,007;31;50%;50%;176,048;16.3%;242,132;5041;2%;650;0.13%
2022;3;796,033;30;50%;50%;221,147;16.1%;347,960;6662;2%;802;0.10%
2022;4;1,110,753;30;49%;51%;239,039;16.2%;445,727;7972;2%;1017;0.09%
2022;5;1,289,637;31;49%;51%;246,209;15.4%;482,978;9625;2%;1310;0.10%
2022;6;1,307,475;32;48%;52%;252,117;14.6%;504,837;9924;2%;1483;0.11%
2022;7;1,190,689;33;48%;52%;223,158;14.4%;470,370;9957;2%;1481;0.12%
2022;8;1,090,708;34;48%;52%;202,494;14.0%;430,553;9546;2%;1294;0.12%
2022;9;1,125,956;35;47%;53%;201,327;13.1%;450,382;9172;2%;1242;0.11%
2022;10;1,401,599;35;48%;52%;219,179;13.3%;530,609;10508;2%;1310;0.09%
2022;11;1,568,235;36;48%;52%;206,882;12.9%;575,652;11153;2%;1213;0.08%
2022;12;1,571,595;37;48%;52%;181,978;12.7%;563,553;10593;2%;1031;0.07%
2022;13;1,283,099;38;48%;52%;138,263;12.4%;462,269;8912;2%;597;0.05%
2022;14;970,745;38;48%;52%;98,966;10.3%;349,694;6813;2%;269;0.03%
