Symptomatische COVID-19-Fälle pro 100.000, nach Impstatus und Altersgruppe ;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
Meldejahr;Meldewoche;Ungeimpfte 12-17 Jahre;Grundimmunisierte  12-17 Jahre;Mit Auffrischimpfung 12-17 Jahre;Ungeimpfte 18-59 Jahre;Grundimmunisierte  18-59 Jahre;Mit Auffrischimpfung 18-59 Jahre;Ungeimpfte 60+ Jahre;Grundimmunisierte 60+ Jahre;Mit Auffrischimpfung 60+ Jahre
2021;28;--;--;--;15.6;4.5;--;3.7;0.8;--
2021;29;--;--;--;23.8;5.9;--;5.1;0.9;--
2021;30;--;--;--;31.1;6.8;--;8.1;1.7;--
2021;31;--;--;--;42.0;8.7;--;9.6;2.0;--
2021;32;58.8;7.0;--;68.1;12.8;--;15.4;3.4;--
2021;33;109.5;12.3;--;101.1;17.3;--;20.6;4.2;--
2021;34;139.9;10.2;--;131.3;21.7;--;31.0;6.2;--
2021;35;167.3;11.2;--;136.0;24.0;--;37.6;8.2;--
2021;36;158.0;11.1;--;130.6;25.1;--;42.7;9.4;--
2021;37;150.5;11.1;--;110.8;22.7;--;40.7;9.6;--
2021;38;131.4;8.6;--;94.1;21.5;--;36.3;9.6;--
2021;39;145.8;11.1;--;98.4;26.8;--;38.9;12.9;--
2021;40;147.1;9.3;--;105.5;29.6;--;48.3;15.0;--
2021;41;165.1;12.8;--;119.7;35.8;--;54.4;17.7;--
2021;42;227.3;17.4;--;176.2;56.7;28.2;86.2;31.0;11.4
2021;43;317.0;27.4;--;226.8;76.7;43.2;111.7;46.5;13.4
2021;44;337.2;29.1;--;266.0;94.0;42.9;143.7;58.9;16.6
2021;45;489.0;50.6;--;326.1;119.0;56.5;180.7;75.6;17.7
2021;46;530.2;54.4;--;352.6;140.1;59.6;192.6;86.3;22.0
2021;47;534.2;58.1;--;374.0;139.3;61.1;215.0;86.4;24.5
2021;48;500.5;56.3;20.0;343.6;125.9;47.5;208.1;73.4;19.9
2021;49;449.0;54.1;14.2;298.1;109.2;37.7;192.9;63.7;15.7
2021;50;369.3;48.6;10.9;245.5;93.1;28.4;156.4;48.6;10.9
2021;51;233.5;44.6;9.6;166.4;76.9;27.6;111.4;35.5;9.3
2021;52;208.9;69.6;23.9;171.1;110.6;46.0;108.6;41.6;15.7
2022;1;271.7;147.7;70.4;189.6;180.7;89.8;106.1;54.1;22.1
2022;2;339.6;208.0;95.9;178.9;180.8;92.6;75.3;45.8;22.2
2022;3;429.8;219.1;75.1;217.0;193.7;106.0;79.8;49.1;25.4
2022;4;494.8;226.2;77.2;236.3;185.9;106.1;84.8;47.6;26.3
2022;5;491.1;225.9;71.2;247.0;184.8;108.5;101.9;48.4;28.3
2022;6;425.7;223.5;82.8;224.6;191.2;118.1;97.1;56.6;33.2
