Die dem RKI übermittelten COVID-19-Fälle nach Meldewoche und nach Geschlecht sowie Anteile mit für COVID-19 relevanten Symptomen, Anteile Hospitalisierter und Verstorbener für die Meldewochen KW 10 – 51;;;;;;;;;;;;;
KW;Fälle gesamt;Mittelwert Alter (Jahre);Männer;Frauen;Anzahl mit Angaben zu Symptomen;Anteil keine, bzw. keine für COVID-19 bedeutsamen Symptome;Anzahl mit Angaben zur Hospitalisierung;Anzahl hospitalisiert;Anteil hospitalisiert;Anzahl Verstorben;Anteil Verstorben
10;893;42;54%;46%;832;7.7%;800;162;20%;12;1.34%
11;6,433;44;56%;44%;5,779;5.3%;5,611;519;9%;85;1.32%
12;22,430;45;55%;45%;20,209;3.8%;19,342;2,204;11%;478;2.13%
13;34,027;48;49%;51%;30,854;3.2%;29,458;5,109;17%;1,457;4.28%
14;36,092;51;45%;55%;31,983;5.3%;31,485;6,064;19%;2,252;6.24%
15;27,185;52;44%;56%;23,571;8.3%;24,047;4,711;20%;1,870;6.88%
16;17,361;51;45%;55%;14,859;11.3%;15,510;3,356;22%;1,212;6.98%
17;12,381;50;45%;55%;10,282;14.0%;10,948;2,224;20%;717;5.79%
18;7,443;48;48%;52%;6,242;17.7%;6,594;1,358;21%;378;5.08%
19;6,229;47;48%;52%;5,231;19.7%;5,612;1,069;19%;253;4.06%
20;4,736;45;49%;51%;3,933;23.3%;4,207;733;17%;159;3.36%
21;3,618;43;50%;50%;2,820;26.3%;3,111;508;16%;109;3.01%
22;3,209;42;51%;49%;2,540;23.4%;2,765;416;15%;66;2.06%
23;2,360;39;51%;49%;1,839;23.2%;2,081;310;15%;45;1.91%
24;2,345;37;54%;46%;1,735;24.5%;2,084;283;14%;32;1.36%
25;4,094;36;59%;41%;2,936;25.0%;3,739;317;8%;38;0.93%
26;3,206;37;55%;45%;2,318;23.3%;2,851;292;10%;23;0.72%
27;2,694;36;52%;48%;2,063;26.9%;2,467;258;10%;26;0.97%
28;2,425;36;56%;44%;1,923;24.0%;2,189;251;11%;25;1.03%
29;3,024;36;52%;48%;2,359;22.9%;2,635;317;12%;30;0.99%
30;3,936;36;52%;48%;3,175;27.0%;3,454;332;10%;32;0.81%
31;4,822;36;50%;50%;3,689;24.4%;4,128;383;9%;32;0.66%
32;6,062;34;54%;46%;4,525;30.0%;5,256;397;8%;30;0.49%
33;7,953;32;53%;47%;5,808;33.2%;6,961;428;6%;30;0.38%
34;9,592;32;55%;45%;7,155;34.5%;8,224;428;5%;30;0.31%
35;8,816;32;53%;47%;6,811;30.8%;7,311;362;5%;19;0.22%
36;8,614;33;54%;46%;6,570;27.1%;6,969;391;6%;35;0.41%
37;9,767;35;52%;48%;7,485;20.5%;7,877;459;6%;61;0.62%
38;12,271;36;51%;49%;9,548;18.7%;9,869;655;7%;76;0.62%
39;13,057;37;52%;48%;10,173;18.5%;10,650;750;7%;106;0.81%
40;15,913;38;52%;48%;12,201;17.5%;13,159;851;6%;118;0.74%
41;26,154;39;51%;49%;19,152;16.5%;20,830;1504;7%;228;0.87%
42;42,059;39;51%;49%;29,175;15.9%;32,267;2203;7%;429;1.02%
43;74,802;40;50%;50%;47,392;15.3%;54,133;3800;7%;909;1.22%
44;111,168;41;50%;50%;66,226;15.5%;76,638;5334;7%;1434;1.29%
45;125,751;41;49%;51%;73,572;14.8%;83,911;6093;7%;1626;1.29%
46;127,786;42;48%;52%;73,960;14.6%;84,782;6594;8%;2084;1.63%
47;128,491;43;47%;53%;74,776;14.8%;83,936;6990;8%;2513;1.96%
48;123,367;44;47%;53%;70,117;15.4%;79,750;7034;9%;2522;2.04%
49;128,270;45;46%;54%;71,897;14.4%;81,407;7402;9%;2477;1.93%
50;155,803;46;45%;55%;83,207;15.0%;94,503;8191;9%;2076;1.33%
51;171,262;46;45%;55%;77,568;15.5%;92,356;7201;8%;842;0.49%
