Symptomatische COVID-19-Fälle pro 100.000, nach Impstatus und Altersgruppe ;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
Meldejahr;Meldewoche;Ungeimpfte 12-17 Jahre;Grundimmunisierte  12-17 Jahre;Mit Auffrischimpfung 12-17 Jahre;Ungeimpfte 18-59 Jahre;Grundimmunisierte  18-59 Jahre;Mit Auffrischimpfung 18-59 Jahre;Ungeimpfte 60+ Jahre;Grundimmunisierte 60+ Jahre;Mit Auffrischimpfung 60+ Jahre
2021;28;--;--;--;15.6;4.5;--;3.7;0.8;--
2021;29;--;--;--;23.8;5.9;--;5.1;0.9;--
2021;30;--;--;--;31.1;6.8;--;8.1;1.7;--
2021;31;--;--;--;42.0;8.7;--;9.6;2.0;--
2021;32;58.8;7.0;--;68.0;12.8;--;15.4;3.4;--
2021;33;109.4;12.3;--;101.1;17.3;--;20.6;4.2;--
2021;34;139.8;10.2;--;131.3;21.7;--;31.0;6.2;--
2021;35;167.3;11.2;--;136.0;24.0;--;37.6;8.2;--
2021;36;158.0;11.0;--;130.6;25.1;--;42.7;9.4;--
2021;37;150.4;11.0;--;110.7;22.7;--;40.7;9.6;--
2021;38;131.4;8.6;--;94.0;21.5;--;36.3;9.6;--
2021;39;145.8;11.1;--;98.4;26.8;--;38.9;12.9;--
2021;40;147.0;9.3;--;105.5;29.6;--;48.3;15.0;--
2021;41;165.1;12.8;--;119.7;35.8;--;54.3;17.7;--
2021;42;227.1;17.4;--;176.0;56.6;26.7;86.1;31.0;11.4
2021;43;316.3;27.2;--;226.4;76.5;42.1;111.4;46.3;13.5
2021;44;335.9;29.0;--;264.9;93.5;42.2;143.1;58.6;16.4
2021;45;486.7;50.4;--;324.8;118.1;55.3;180.0;75.2;17.7
2021;46;523.3;54.0;--;348.0;138.3;58.2;189.7;85.3;21.9
2021;47;524.7;57.8;--;366.9;137.4;59.5;211.8;85.4;24.3
2021;48;497.1;56.1;20.0;340.3;125.1;47.2;206.3;72.9;19.7
2021;49;442.8;53.1;14.2;293.8;107.2;37.0;190.2;62.7;15.5
2021;50;365.4;48.1;10.9;242.9;91.8;28.1;154.9;48.1;10.8
2021;51;230.3;44.2;9.6;164.4;75.9;27.3;110.2;35.0;9.3
2021;52;207.1;68.9;23.3;169.5;109.4;45.5;107.7;41.3;15.7
2022;1;269.2;145.4;68.2;187.1;178.0;88.7;104.4;53.4;22.0
2022;2;332.7;201.8;93.6;175.5;173.5;90.3;74.0;44.1;21.8
2022;3;408.6;203.6;68.9;208.8;176.8;97.6;76.9;45.3;23.8
2022;4;439.2;200.1;68.6;212.6;160.7;93.6;76.8;41.1;23.3
