Die dem RKI übermittelten COVID-19-Fälle nach Meldewoche, Altersgruppe und Angabe, dass eine Hospitalisierung vorlag für die Meldewochen KW 10 – 53/2020 und KW 01 - 29/2021;;;;;;;;
;;;;;;;;
;;;;;;;;
Stand: 27.07.2021 07:53:47;;;;;;;;
;;;;;;;;
;;0 - 4 Jährige;5 - 14 Jährige;15 - 34 Jährige;35 - 59 Jährige;60 - 79 Jährige;80+ Jährige;
Meldejahr;Meldewoche;A00..04;A05..14;A15..34;A35..59;A60..79;A80+;
2020;10;2;3;23;88;37;11;2020-KW10
2020;11;2;2;55;238;155;78;2020-KW11
2020;12;14;6;153;729;861;472;2020-KW12
2020;13;32;16;259;1365;2221;1260;2020-KW13
2020;14;27;17;311;1348;2488;1921;2020-KW14
2020;15;23;8;226;984;1765;1734;2020-KW15
2020;16;9;12;192;635;1279;1258;2020-KW16
2020;17;20;15;185;419;773;836;2020-KW17
2020;18;19;8;109;288;514;429;2020-KW18
2020;19;10;7;92;239;383;350;2020-KW19
2020;20;7;18;75;182;232;250;2020-KW20
2020;21;4;2;51;121;170;166;2020-KW21
2020;22;4;;38;123;138;117;2020-KW22
2020;23;3;5;40;94;90;75;2020-KW23
2020;24;11;5;47;83;70;73;2020-KW24
2020;25;5;3;52;121;81;62;2020-KW25
2020;26;3;7;46;104;79;57;2020-KW26
2020;27;3;4;55;92;55;53;2020-KW27
2020;28;7;6;36;98;80;32;2020-KW28
2020;29;9;5;62;107;91;48;2020-KW29
2020;30;10;8;54;112;105;46;2020-KW30
2020;31;2;5;50;148;108;77;2020-KW31
2020;32;4;3;70;148;113;64;2020-KW32
2020;33;11;13;78;152;115;77;2020-KW33
2020;34;9;11;95;171;105;45;2020-KW34
2020;35;6;8;68;149;100;39;2020-KW35
2020;36;4;8;78;144;121;50;2020-KW36
2020;37;12;12;54;162;141;96;2020-KW37
2020;38;8;10;81;238;210;139;2020-KW38
2020;39;9;7;111;242;258;153;2020-KW39
2020;40;15;9;118;281;290;175;2020-KW40
2020;41;21;17;211;496;508;356;2020-KW41
2020;42;24;26;273;680;787;560;2020-KW42
2020;43;51;33;444;1065;1422;1136;2020-KW43
2020;44;63;53;557;1517;2114;1698;2020-KW44
2020;45;65;61;609;1707;2409;2073;2020-KW45
2020;46;65;72;590;1741;2619;2524;2020-KW46
2020;47;53;60;614;1690;2884;2844;2020-KW47
2020;48;64;68;575;1720;2879;3095;2020-KW48
2020;49;60;60;609;1678;3192;3614;2020-KW49
2020;50;70;69;677;1988;3958;4561;2020-KW50
2020;51;77;86;717;2213;4419;5123;2020-KW51
2020;52;53;51;602;1877;3927;4615;2020-KW52
2020;53;73;51;619;1938;3864;4484;2020-KW53
2021;01;68;36;593;1837;3997;4696;2021-KW01
2021;02;61;50;540;1613;3443;4261;2021-KW02
2021;03;41;35;409;1492;3182;3728;2021-KW03
2021;04;35;34;409;1246;2815;3024;2021-KW04
2021;05;45;37;356;1146;2377;2538;2021-KW05
2021;06;42;23;302;987;1967;1909;2021-KW06
2021;07;36;23;311;1063;2016;1704;2021-KW07
2021;08;47;30;328;1108;1824;1512;2021-KW08
2021;09;50;30;347;1060;1667;1262;2021-KW09
2021;10;53;39;411;1368;1747;1294;2021-KW10
2021;11;85;70;486;1634;2168;1317;2021-KW11
2021;12;94;92;630;1986;2525;1535;2021-KW12
2021;13;96;90;626;2029;2638;1422;2021-KW13
2021;14;112;72;744;2363;2825;1429;2021-KW14
2021;15;94;87;774;2373;3022;1446;2021-KW15
2021;16;94;91;802;2565;3006;1418;2021-KW16
2021;17;76;102;651;2153;2541;1167;2021-KW17
2021;18;82;71;563;1736;2068;955;2021-KW18
2021;19;68;42;453;1252;1479;703;2021-KW19
2021;20;49;41;354;850;964;499;2021-KW20
2021;21;28;27;207;560;576;303;2021-KW21
2021;22;13;22;154;392;343;203;2021-KW22
2021;23;19;23;126;276;237;128;2021-KW23
2021;24;16;6;83;197;135;78;2021-KW24
2021;25;12;7;88;114;85;48;2021-KW25
2021;26;6;9;59;102;88;37;2021-KW26
2021;27;6;5;73;119;85;50;2021-KW27
2021;28;9;3;88;138;78;41;2021-KW28
2021;29;13;5;107;108;76;45;2021-KW29
