Die dem RKI übermittelte COVID-19-Fälle nach Meldewoche und  Geschlecht sowie Anteile mit für COVID-19 relevanten Symptomen, Anteile Hospitalisierter und Verstorbener für die Meldewochen KW 10 – 53/2020 und KW 01 - 08/2021;;;;;;;;;;;;
Meldejahr;MW;Fälle gesamt;Mittelwert Alter (Jahre);Männer;Frauen;Anzahl mit Angaben zu Symptomen;Anteil keine, bzw. keine für COVID-19 bedeutsamen Symptome;Anzahl mit Angaben zur Hospitalisierung;Anzahl hospitalisiert;Anteil hospitalisiert;Anzahl Verstorben;Anteil Verstorben
2020;10;895;42;53%;47%;835;8.1%;805;162;20%;12;1.34%
2020;11;6,426;45;56%;44%;5,772;5.3%;5,621;524;9%;85;1.32%
2020;12;22,433;45;55%;45%;20,203;3.9%;19,369;2,210;11%;478;2.13%
2020;13;34,006;48;50%;50%;30,869;3.3%;29,521;5,132;17%;1,464;4.31%
2020;14;36,086;51;45%;55%;32,070;5.5%;31,622;6,080;19%;2,258;6.26%
2020;15;27,187;52;43%;57%;23,605;8.4%;24,136;4,719;20%;1,876;6.90%
2020;16;17,368;51;45%;55%;14,879;11.4%;15,537;3,371;22%;1,218;7.01%
2020;17;12,377;50;45%;55%;10,285;13.9%;10,990;2,234;20%;718;5.80%
2020;18;7,445;48;48%;52%;6,257;17.5%;6,611;1,360;21%;385;5.17%
2020;19;6,240;47;48%;52%;5,248;19.6%;5,631;1,081;19%;255;4.09%
2020;20;4,755;45;49%;51%;3,958;23.1%;4,229;742;18%;163;3.43%
2020;21;3,621;43;50%;50%;2,836;26.3%;3,122;513;16%;113;3.12%
2020;22;3,208;42;52%;48%;2,549;23.2%;2,771;419;15%;65;2.03%
2020;23;2,359;39;51%;49%;1,840;23.2%;2,082;308;15%;45;1.91%
2020;24;2,344;37;54%;46%;1,743;24.4%;2,087;287;14%;32;1.37%
2020;25;4,129;36;59%;41%;2,936;25.1%;3,774;319;8%;41;0.99%
2020;26;3,216;37;55%;45%;2,327;23.3%;2,868;295;10%;23;0.72%
2020;27;2,696;36;52%;48%;2,065;26.7%;2,470;259;10%;26;0.96%
2020;28;2,428;36;56%;44%;1,926;24.0%;2,195;256;12%;25;1.03%
2020;29;3,019;36;52%;48%;2,362;22.9%;2,649;319;12%;30;0.99%
2020;30;3,936;36;52%;48%;3,188;27.1%;3,475;334;10%;33;0.84%
2020;31;4,822;36;50%;50%;3,706;24.5%;4,155;390;9%;32;0.66%
2020;32;6,059;34;54%;46%;4,550;30.0%;5,279;399;8%;31;0.51%
2020;33;7,954;32;53%;47%;5,854;33.2%;7,007;437;6%;30;0.38%
2020;34;9,600;32;55%;45%;7,205;34.5%;8,305;434;5%;30;0.31%
2020;35;8,820;32;53%;47%;6,872;30.7%;7,416;366;5%;19;0.22%
2020;36;8,624;33;54%;46%;6,658;27.1%;7,079;397;6%;36;0.42%
2020;37;9,774;35;52%;48%;7,603;20.4%;8,022;464;6%;65;0.67%
2020;38;12,294;36;51%;49%;9,752;18.7%;10,039;674;7%;79;0.64%
2020;39;13,073;37;52%;48%;10,356;18.2%;10,826;770;7%;108;0.83%
2020;40;15,930;38;52%;48%;12,594;17.5%;13,444;872;6%;120;0.75%
2020;41;26,135;39;51%;49%;20,058;16.6%;21,517;1582;7%;239;0.91%
2020;42;42,090;39;51%;49%;30,798;16.0%;33,595;2317;7%;456;1.08%
2020;43;74,861;40;50%;50%;51,882;15.6%;57,801;4077;7%;980;1.31%
2020;44;111,150;41;50%;50%;74,757;15.9%;83,420;5868;7%;1572;1.41%
2020;45;125,834;41;49%;51%;83,900;15.3%;91,971;6744;7%;1836;1.46%
2020;46;127,915;42;48%;52%;84,367;14.9%;93,790;7403;8%;2432;1.90%
2020;47;128,497;43;47%;53%;85,027;14.9%;93,247;7916;8%;3087;2.40%
2020;48;123,330;44;47%;53%;80,541;15.4%;88,775;8139;9%;3448;2.80%
2020;49;128,498;45;46%;54%;85,534;14.1%;92,784;8936;10%;4285;3.33%
2020;50;156,528;46;45%;55%;104,766;14.4%;112,764;10964;10%;5490;3.51%
2020;51;174,973;46;45%;55%;115,137;14.4%;123,646;12128;10%;6127;3.50%
2020;52;139,309;48;44%;56%;88,322;15.6%;96,792;10641;11%;5432;3.90%
2020;53;123,238;49;44%;56%;81,556;13.3%;87,672;10480;12%;5378;4.36%
2021;1;145,531;48;45%;55%;97,040;13.4%;103,164;10533;10%;5341;3.67%
2021;2;119,050;48;45%;55%;77,683;15.9%;84,609;9289;11%;4660;3.91%
2021;3;95,632;48;46%;54%;64,112;15.9%;70,338;8222;12%;3622;3.79%
2021;4;78,358;48;46%;54%;53,168;16.0%;59,244;6948;12%;2612;3.33%
2021;5;64,699;46;47%;53%;44,438;15.9%;49,353;5877;12%;1746;2.70%
2021;6;50,878;45;48%;52%;35,175;16.4%;38,777;4528;12%;1086;2.13%
2021;7;52,471;44;49%;51%;35,401;16.5%;39,682;4160;10%;578;1.10%
2021;8;56,078;42;50%;50%;33,660;16.0%;38,627;2995;8%;157;0.28%
