Die dem RKI übermittelten COVID-19-Fälle nach Meldewoche und  Geschlecht sowie Anteile mit für COVID-19 relevanten Symptomen, Anteile Hospitalisierter und Verstorbener für die Meldewochen KW 10 – 53/2020 und KW 01 - 37/2021;;;;;;;;;;;;
Stand: 22.09.2021 11:16:20;;;;;;;;;;;;
;;;;;;;;;;;;
Meldejahr;MW;Fälle gesamt;Mittelwert Alter (Jahre);Männer;Frauen;Anzahl mit Angaben zu Symptomen;Anteil keine, bzw. keine für COVID-19 bedeutsamen Symptome;Anzahl mit Angaben zur Hospitalisierung;Anzahl hospitalisiert;Anteil der Hospitalisierten bei Fällen mit Angabe zur Hospitalisation;Anzahl Verstorben;Anteil Verstorben
2020;10;899;43;53%;47%;835;8.4%;811;162;20%;12;1.33%
2020;11;6,433;45;56%;44%;5,759;5.4%;5,649;529;9%;84;1.31%
2020;12;22,389;45;55%;45%;20,087;3.9%;19,366;2,233;12%;476;2.13%
2020;13;33,965;48;49%;51%;30,753;3.3%;29,618;5,151;17%;1,461;4.30%
2020;14;36,048;51;45%;55%;31,996;5.5%;31,948;6,113;19%;2,266;6.29%
2020;15;27,136;52;43%;57%;23,560;8.4%;24,312;4,751;20%;1,875;6.91%
2020;16;17,330;51;45%;55%;14,832;11.5%;15,603;3,387;22%;1,220;7.04%
2020;17;12,343;50;45%;55%;10,242;13.9%;11,028;2,245;20%;726;5.88%
2020;18;7,427;48;48%;52%;6,169;16.6%;6,653;1,366;21%;387;5.21%
2020;19;6,236;47;48%;52%;5,241;19.4%;5,658;1,081;19%;257;4.12%
2020;20;4,764;45;50%;50%;3,946;23.1%;4,262;764;18%;164;3.44%
2020;21;3,597;44;50%;50%;2,832;26.4%;3,140;515;16%;112;3.11%
2020;22;3,205;42;52%;48%;2,594;24.3%;2,798;421;15%;64;2.00%
2020;23;2,351;39;51%;49%;1,860;24.0%;2,093;307;15%;45;1.91%
2020;24;2,341;37;53%;47%;1,793;25.9%;2,099;289;14%;33;1.41%
2020;25;4,190;36;59%;41%;2,965;25.1%;3,844;324;8%;41;0.98%
2020;26;3,154;37;55%;45%;2,342;23.8%;2,824;297;11%;24;0.76%
