Die dem RKI übermittelten COVID-19-Fälle nach Meldewoche, Altersgruppe und Angabe, dass eine Hospitalisierung vorlag für die Meldewochen KW 10 – 53/2020,  KW 01 – 52/2021 und KW 01 - 15/2022;;;;;;;
;;;;;;;
Stand: 20.04.2022 08:09:11;;;;;;;
;;;;;;;
;;;;;;;
;;Fälle 0 - 4-Jährige;Fälle 5 - 14-Jährige;Fälle 15 - 34-Jährige;Fälle 35 - 59-Jährige;Fälle 60 - 79-Jährige;Fälle 80+ -Jährige
Meldejahr;Meldewoche;Fälle A00..04;Fälle A05..14;Fälle A15..34;Fälle A35..59;Fälle A60..79;Fälle A80+
2020;10;2;3;23;84;37;11
2020;11;2;2;54;237;152;77
2020;12;14;6;153;724;861;472
2020;13;33;16;261;1360;2217;1258
2020;14;27;17;305;1348;2484;1924
2020;15;22;8;226;984;1761;1732
2020;16;9;12;192;635;1281;1251
2020;17;20;15;183;418;768;832
2020;18;19;8;107;287;513;429
2020;19;10;7;91;241;383;350
2020;20;7;18;74;180;231;248
2020;21;4;2;50;120;170;166
2020;22;4;;38;124;138;118
2020;23;3;5;40;94;90;75
2020;24;11;5;48;83;70;73
2020;25;5;3;52;121;81;62
2020;26;3;7;46;103;79;57
2020;27;3;4;54;93;57;52
2020;28;7;6;36;97;79;32
2020;29;9;5;61;106;92;49
2020;30;10;8;54;112;105;46
2020;31;2;5;50;147;107;76
2020;32;4;3;70;148;114;66
2020;33;11;13;75;151;116;78
2020;34;9;11;95;171;107;45
2020;35;6;8;67;151;101;40
2020;36;4;7;76;147;122;50
2020;37;12;12;50;162;141;98
2020;38;8;11;81;238;212;136
2020;39;9;7;111;242;260;154
2020;40;15;10;118;283;288;176
2020;41;21;17;205;497;515;361
2020;42;24;26;275;685;788;558
2020;43;50;30;433;1074;1433;1143
2020;44;63;52;556;1519;2111;1696
2020;45;65;58;603;1706;2417;2068
2020;46;65;70;583;1744;2629;2519
2020;47;54;60;611;1698;2901;2848
2020;48;60;67;573;1722;2877;3096
2020;49;58;62;610;1690;3204;3628
2020;50;69;67;681;1986;3978;4563
2020;51;77;84;721;2209;4429;5136
2020;52;52;50;586;1869;3936;4610
2020;53;73;51;615;1929;3876;4498
2021;01;68;34;596;1846;4009;4706
2021;02;60;47;533;1620;3467;4275
2021;03;41;35;414;1510;3200;3734
2021;04;34;34;408;1261;2816;3021
2021;05;45;36;358;1154;2380;2544
2021;06;42;25;308;987;1972;1906
2021;07;37;23;311;1064;2013;1707
2021;08;48;30;327;1121;1823;1505
2021;09;53;28;354;1068;1673;1270
2021;10;52;36;410;1376;1747;1297
2021;11;85;71;493;1648;2183;1319
2021;12;94;91;626;1999;2551;1541
2021;13;95;87;627;2073;2649;1428
2021;14;112;71;756;2382;2854;1439
2021;15;93;85;768;2396;3049;1459
2021;16;96;89;806;2571;3031;1428
2021;17;79;103;659;2186;2566;1183
2021;18;81;69;567;1749;2095;965
2021;19;67;44;459;1275;1510;712
2021;20;49;42;360;864;973;507
2021;21;28;25;214;570;580;303
2021;22;13;24;156;397;349;203
2021;23;19;22;125;277;241;128
2021;24;16;7;86;203;135;79
2021;25;12;7;88;117;88;50
2021;26;6;10;65;111;89;37
2021;27;6;6;76;130;91;54
2021;28;11;3;101;159;91;48
2021;29;16;7;164;209;125;65
2021;30;20;21;174;297;176;98
2021;31;22;22;258;386;195;128
2021;32;57;39;380;678;341;174
2021;33;75;60;535;985;454;245
2021;34;86;76;651;1349;650;377
2021;35;78;71;623;1294;724;475
2021;36;96;84;582;1179;793;553
2021;37;79;56;468;984;659;530
2021;38;71;55;392;822;663;467
2021;39;67;54;383;799;654;585
2021;40;50;48;304;781;777;653
2021;41;47;54;381;859;937;778
2021;42;83;58;509;1201;1506;1371
2021;43;87;73;544;1542;1864;1789
2021;44;95;107;576;1690;2255;2273
2021;45;106;152;701;2108;3005;2659
2021;46;142;219;778;2492;3514;3154
2021;47;149;187;784;2659;3864;3252
2021;48;159;214;795;2638;3717;2975
2021;49;145;182;783;2368;3460;2749
2021;50;129;155;679;1853;2820;2228
2021;51;105;112;495;1367;1873;1475
2021;52;111;67;625;1367;1740;1322
2022;01;166;116;897;1279;1525;1194
2022;02;237;196;922;1354;1255;1076
2022;03;323;314;1253;1687;1617;1483
2022;04;378;402;1354;1915;1995;1941
2022;05;391;423;1446;2101;2622;2666
2022;06;387;377;1341;2099;2694;3054
2022;07;405;320;1193;1948;2836;3282
2022;08;366;262;1091;1795;2837;3236
2022;09;362;233;1099;1711;2692;3129
2022;10;434;266;1221;1806;3110;3789
2022;11;439;302;1127;1883;3491;4076
2022;12;376;229;1108;1824;3368;3928
2022;13;367;195;914;1579;2911;3367
2022;14;277;179;754;1334;2480;2838
2022;15;200;95;510;819;1564;1799
