Die dem RKI übermittelten COVID-19-Fälle nach Meldewoche, Altersgruppe und Angabe, dass eine Hospitalisierung vorlag für die Meldewochen KW 10 – 53/2020,  KW 01 – 52/2021 und KW 01 - 09/2022;;;;;;;
;;;;;;;
Stand: 09.03.2022 07:57:15;;;;;;;
;;Fälle 0 - 4-Jährige;Fälle 5 - 14-Jährige;Fälle 15 - 34-Jährige;Fälle 35 - 59-Jährige;Fälle 60 - 79-Jährige;Fälle 80+ -Jährige
Meldejahr;Meldewoche;Fälle A00..04;Fälle A05..14;Fälle A15..34;Fälle A35..59;Fälle A60..79;Fälle A80+
2020;10;2;3;23;84;37;11
2020;11;2;2;54;237;152;77
2020;12;14;6;152;724;861;472
2020;13;33;16;259;1359;2219;1258
2020;14;27;17;305;1348;2484;1924
2020;15;22;8;226;983;1761;1731
2020;16;9;12;192;636;1280;1251
2020;17;20;15;183;418;768;832
2020;18;19;8;107;286;513;429
2020;19;10;7;91;239;383;350
2020;20;7;18;74;180;231;248
2020;21;4;2;50;120;170;166
2020;22;4;;38;124;138;117
2020;23;3;5;40;94;90;75
2020;24;11;5;48;83;70;73
2020;25;5;3;52;121;81;62
2020;26;3;7;46;103;79;57
2020;27;3;4;54;93;57;52
2020;28;7;6;36;97;79;32
2020;29;9;5;61;106;92;49
2020;30;10;8;54;112;105;46
2020;31;2;5;50;147;106;76
2020;32;4;3;70;147;114;66
2020;33;11;13;75;151;116;78
2020;34;9;11;95;171;107;45
2020;35;6;8;67;151;101;40
2020;36;4;7;76;147;122;51
2020;37;12;12;50;162;141;98
2020;38;8;11;81;238;211;136
2020;39;9;7;111;242;259;154
2020;40;15;10;118;283;288;176
2020;41;21;17;211;499;514;361
2020;42;24;26;276;685;789;559
2020;43;50;30;435;1074;1434;1143
2020;44;63;52;555;1522;2111;1696
2020;45;65;59;605;1707;2417;2068
2020;46;66;70;584;1743;2627;2519
2020;47;54;60;610;1699;2900;2847
2020;48;60;67;571;1723;2875;3096
2020;49;59;62;612;1688;3202;3628
2020;50;70;67;680;1987;3975;4561
2020;51;77;84;719;2206;4427;5136
2020;52;52;50;585;1869;3935;4609
2020;53;73;51;615;1929;3875;4498
2021;01;68;34;595;1847;4008;4701
2021;02;61;47;533;1614;3456;4265
2021;03;41;35;413;1509;3194;3731
2021;04;34;34;409;1260;2814;3019
2021;05;45;36;357;1153;2377;2540
2021;06;42;25;308;986;1972;1904
2021;07;37;23;311;1065;2012;1705
2021;08;47;30;327;1118;1823;1505
2021;09;53;28;353;1067;1673;1270
2021;10;52;37;412;1374;1746;1296
2021;11;84;71;492;1647;2181;1319
2021;12;94;91;626;1998;2551;1541
2021;13;95;87;627;2069;2647;1428
2021;14;112;71;754;2382;2854;1440
2021;15;93;85;768;2394;3045;1458
2021;16;96;89;806;2571;3030;1427
2021;17;79;103;658;2183;2567;1182
2021;18;81;69;567;1748;2095;966
2021;19;67;44;459;1274;1508;713
2021;20;49;42;360;865;972;507
2021;21;28;26;213;570;580;303
2021;22;13;23;156;397;349;203
2021;23;19;22;125;278;241;128
2021;24;16;7;86;203;135;79
2021;25;12;7;88;117;88;50
2021;26;6;10;65;111;89;37
2021;27;6;6;76;130;91;54
2021;28;11;3;101;159;91;48
2021;29;16;7;164;209;125;65
2021;30;20;21;174;297;176;98
2021;31;22;22;257;386;195;128
2021;32;57;39;379;676;341;174
2021;33;75;60;535;986;454;244
2021;34;86;76;652;1349;651;376
2021;35;78;71;623;1292;722;475
2021;36;96;84;580;1176;791;553
2021;37;79;55;467;980;658;530
2021;38;71;55;392;822;662;467
2021;39;67;54;384;797;653;585
2021;40;50;47;304;781;777;653
2021;41;47;54;381;858;937;776
2021;42;83;58;507;1201;1504;1371
2021;43;87;73;543;1540;1862;1786
2021;44;95;108;574;1686;2247;2270
2021;45;106;151;702;2103;3001;2657
2021;46;142;219;777;2489;3507;3149
2021;47;148;186;782;2641;3852;3244
2021;48;157;211;793;2630;3700;2954
2021;49;143;182;777;2345;3431;2717
2021;50;130;153;673;1839;2807;2216
2021;51;102;111;492;1346;1859;1464
2021;52;107;67;623;1353;1722;1316
2022;01;165;115;882;1258;1500;1182
2022;02;229;192;888;1324;1234;1054
2022;03;310;306;1211;1637;1570;1446
2022;04;361;385;1311;1846;1931;1879
2022;05;381;408;1402;2020;2533;2571
2022;06;377;354;1287;1990;2555;2863
2022;07;388;299;1107;1809;2612;2980
2022;08;343;243;971;1541;2405;2727
2022;09;298;203;836;1224;1922;2122
