Altersgruppe;2020_10;2020_11;2020_12;2020_13;2020_14;2020_15;2020_16;2020_17;2020_18;2020_19;2020_20;2020_21;2020_22;2020_23;2020_24;2020_25;2020_26;2020_27;2020_28;2020_29;2020_30;2020_31;2020_32;2020_33;2020_34;2020_35;2020_36;2020_37;2020_38;2020_39;2020_40;2020_41;2020_42;2020_43;2020_44;2020_45;2020_46;2020_47;2020_48;2020_49;2020_50;2020_51;2020_52;2020_53;2021_1;2021_2;2021_3;2021_4;2021_5;2021_6;2021_7;2021_8;2021_9;2021_10;2021_11;2021_12;2021_13;2021_14;2021_15;2021_16;2021_17;2021_18;2021_19;2021_20;2021_21;2021_22;2021_23;2021_24;2021_25;2021_26;2021_27;2021_28;2021_29;2021_30;2021_31;2021_32;2021_33;2021_34;2021_35;2021_36;2021_37;2021_38
45 - 49;99;748;2098;2916;2710;1916;1172;785;468;449;332;254;214;162;144;384;269;217;182;232;334;386;456;574;693;606;613;696;877;897;1202;2036;3120;5821;8396;9475;9286;9675;9057;9238;11097;12443;9743;8552;9793;7954;6490;5305;4489;3552;3773;4049;4289;5186;6516;8159;7996;8772;10167;10671;9025;7444;5080;3586;2079;1306;872;471;274;259;332;437;689;910;1175;1947;3096;4107;4621;4538;3786;3284
40 - 44;85;566;1798;2322;2308;1675;1019;697;454;403;357;242;213;175;158;461;266;216;188;251;321;433;489;639;717;659;647;685;845;860;1052;1869;2904;5307;7882;8877;8993;9246;8808;8814;10905;11991;9513;8030;9547;7556;6230;5120;4276;3464;3592;4136;4274;5346;6982;9085;8324;9281;10726;10823;9575;7729;5332;3983;2204;1596;1077;527;354;270;345;505;735;987;1446;2351;3755;5179;5691;5422;4442;3857
35 - 39;67;548;1753;2384;2203;1650;982;762;463;424;351;274;242;155;194;388;296;224;203;253;358;383;515;642;760;716;646;699;906;1009;1153;1823;3099;5388;8083;8958;9191;9196;8716;9146;10993;12228;9523;8080;10146;8005;6341;5195;4460;3594;3708;4181;4575;5760;7587;9461;8984;9484;11267;11278;10021;7969;5624;4221;2412;1692;1099;546;362;339;379;647;906;1166;1592;2446;3765;5262;5994;5797;4808;4200
30 - 34;69;536;2049;2635;2417;1744;1206;900;562;486;394;315;269;207;223;420;324;259;259;300;382;424;516;708;945;859;937;940;1206;1302;1522;2359;3859;6717;9575;10476;10483;10085;9366;9471;11522;13027;10046;9194;11601;9048;7018;5764;4908;3904;4114;4529;4892;6016;7894;9868;9512;10134;12014;11853;10456;8278;5869;4539;2748;1751;1184;631;420;428;581;869;1306;1514;2074;3046;4380;5977;6579;6222;5092;4545
25 - 29;76;549;1995;2689;2485;1935;1288;995;681;522;391;345;314;222;242;399;321;314;230;309;410;510;604;838;1193;1222;1162;1228;1482;1436;1746;2686;4474;7325;10341;11150;10683;9917;8997;9151;10782;12105;9430;8423;10778;8536;6393;5338;4488;3658;3908;4151;4265;5465;7013;8402;8378;9213;10899;10795;9220;7451;5178;3943;2455;1600;1108;619;464;494;789;1327;1733;1953;2403;3590;5029;6322;6292;6052;4899;4071
20 - 24;70;321;1446;2269;2240;1728;1226;957;592;505;419;313;288;227;251;383;254;257;234;300;377;521;747;1159;1545;1329;1247;1283;1514;1584;1734;2789;4387;7565;10409;11731;11028;10200;8940;9178;10792;12096;9069;8588;10890;8538;6434;5240;4377;3662;3946;4198;4402;5422;6905;8553;8505;9800;11547;11268;9622;7834;5586;4184;2414;1734;1203;626;439;554;883;1507;2090;2328;2789;4431;5781;6880;6828;6226;4937;4072
15 - 19;44;181;537;934;1074;858;570;402;264;260;184;152;160;161;112;247;165;137;149;193;246;365;544;741;883;836;768;828;1040;1046;1331;2069;2959;4862;7189;8409;8716;8209;7458;7712;8817;8474;5875;4955;6380;5388;4199;3471;2917;2378;2618;3071;3212;4106;5537;7187;6609;7547;10820;10336;8659;7052;4942;3883;2238;1720;1230;681;443;413;580;1287;1613;1842;2368;3502;5572;6961;7774;6841;5639;4586
10 - 14;19;102;254;379;430;302;234;188;136;126;118;107;120;104;119;192;146;105;102;146;191;252;364;545;575;483;434;498;517;584;710;1140;1652;2747;4082;4783;5348;5299;5185;5154;5688;5284;3386;2651;3329;2717;2228;1879;1725;1409;1569;1879;2308;2867;4181;5730;4851;5181;7658;8734;7173;6122;4570;3762;2163;1580;1320;663;448;309;296;533;781;997;1490;2604;5362;6917;8403;7731;7299;6216
5 - 9;10;56;169;249;291;237;163;154;120;105;111;79;112;99;123;177;139;121;115;137;151;198;285;410;380;353;318;325;357;390;434;622;972;1842;2794;3364;3613;3918;3818;3682;4259;4305;3022;1942;2392;2194;1903;1642;1603;1390;1552;2004;2724;3679;4762;6699;5191;4698;6995;8418;6872;5565;4114;3414;1875;1526;1143;566;345;241;208;323;477;726;1154;1840;3717;5591;7006;6587;5862;5197
0 - 4;9;35;143;254;270;237;158;186;133;138;116;122;87;107;110;159;135;143;147;140;161;150;188;275;284;222;227;226;290;298;327;522;889;1457;2227;2413;2412;2380;2316;2302;2656;3092;2105;1524;1900;1856;1696;1528;1511;1347;1375;1885;2370;2991;4049;5023;4465;4026;5087;5576;5062;4113;2967;2298;1412;1022;614;381;257;173;179;258;346;522;758;1233;1866;2960;3418;3502;2839;2295
