Die dem RKI übermittelten COVID-19-Fälle nach Meldewoche und  Geschlecht sowie Anteile mit für COVID-19 relevanten Symptomen, Anteile Hospitalisierter und Verstorbener für die Meldewochen KW 10 – 53/2020 und KW 01 - 38/2021;;;;;;;;;;;;
Stand: 29.09.2021 08:21:27;;;;;;;;;;;;
;;;;;;;;;;;;
Meldejahr;MW;Fälle gesamt;Mittelwert Alter (Jahre);Männer;Frauen;Anzahl mit Angaben zu Symptomen;Anteil keine, bzw. keine für COVID-19 bedeutsamen Symptome;Anzahl mit Angaben zur Hospitalisierung;Anzahl hospitalisiert;Anteil der Hospitalisierten bei Fällen mit Angabe zur Hospitalisation;Anzahl Verstorben;Anteil Verstorben
2020;10;899;43;53%;47%;835;8.4%;806;161;20%;12;1.33%
2020;11;6,431;45;56%;44%;5,757;5.4%;5,603;525;9%;84;1.31%
2020;12;22,390;45;55%;45%;20,049;3.9%;19,193;2,230;12%;476;2.13%
2020;13;33,966;48;50%;50%;30,695;3.3%;29,332;5,142;18%;1,461;4.30%
2020;14;36,047;51;45%;55%;31,915;5.4%;31,627;6,103;19%;2,267;6.29%
2020;15;27,136;52;43%;57%;23,497;8.4%;24,064;4,734;20%;1,874;6.91%
2020;16;17,329;51;45%;55%;14,783;11.3%;15,404;3,384;22%;1,220;7.04%
2020;17;12,344;50;45%;55%;10,189;13.5%;10,829;2,240;21%;726;5.88%
2020;18;7,424;48;48%;52%;6,147;16.4%;6,594;1,362;21%;387;5.21%
2020;19;6,237;47;48%;52%;5,213;19.0%;5,585;1,081;19%;257;4.12%
2020;20;4,763;45;50%;50%;3,909;22.4%;4,182;762;18%;164;3.44%
2020;21;3,597;44;50%;50%;2,806;25.8%;3,103;513;17%;112;3.11%
2020;22;3,205;42;52%;48%;2,577;23.8%;2,755;422;15%;64;2.00%
2020;23;2,351;39;51%;49%;1,856;23.8%;2,084;307;15%;45;1.91%
2020;24;2,341;37;53%;47%;1,789;25.7%;2,094;288;14%;33;1.41%
2020;25;4,190;36;59%;41%;2,956;24.9%;3,829;324;8%;41;0.98%
2020;26;3,154;37;55%;45%;2,340;23.8%;2,815;296;11%;24;0.76%
2020;27;2,686;36;52%;48%;2,066;26.7%;2,454;263;11%;26;0.97%
2020;28;2,423;36;56%;44%;1,904;23.6%;2,177;258;12%;25;1.03%
2020;29;3,024;36;52%;48%;2,369;22.8%;2,643;319;12%;30;0.99%
2020;30;3,924;36;52%;48%;3,149;26.7%;3,428;333;10%;33;0.84%
2020;31;4,832;36;50%;50%;3,788;24.9%;4,218;387;9%;37;0.77%
2020;32;6,057;34;54%;46%;4,582;30.2%;5,296;404;8%;32;0.53%
2020;33;7,949;32;53%;47%;5,861;33.1%;6,963;445;6%;31;0.39%
2020;34;9,595;32;55%;45%;7,196;34.5%;8,304;437;5%;31;0.32%
2020;35;8,828;32;53%;47%;6,856;30.3%;7,419;373;5%;18;0.20%
2020;36;8,614;33;54%;46%;6,665;26.7%;7,119;407;6%;36;0.42%
2020;37;9,761;35;52%;48%;7,679;20.0%;8,023;477;6%;68;0.70%
2020;38;12,293;36;51%;49%;9,929;18.1%;10,232;687;7%;81;0.66%
2020;39;13,059;37;52%;48%;10,469;18.0%;10,922;779;7%;110;0.84%
2020;40;15,922;38;52%;48%;12,700;17.2%;13,578;890;7%;122;0.77%
2020;41;26,110;39;51%;49%;20,213;16.1%;21,684;1614;7%;245;0.94%
2020;42;42,064;39;51%;49%;31,266;15.7%;34,184;2358;7%;463;1.10%
2020;43;74,874;40;50%;50%;53,115;15.1%;58,861;4191;7%;1011;1.35%
2020;44;111,007;41;50%;50%;76,643;15.4%;85,021;6011;7%;1617;1.46%
2020;45;125,727;41;49%;51%;86,966;15.1%;94,523;6921;7%;1888;1.50%
2020;46;127,774;42;48%;52%;87,632;14.7%;96,980;7622;8%;2519;1.97%
2020;47;128,361;43;47%;53%;88,492;14.7%;96,969;8163;8%;3204;2.50%
2020;48;123,157;44;47%;53%;84,490;15.3%;92,659;8405;9%;3575;2.90%
2020;49;128,351;45;46%;54%;89,682;14.1%;96,922;9255;10%;4450;3.47%
2020;50;156,290;46;45%;55%;110,381;14.5%;117,912;11358;10%;5730;3.67%
2020;51;174,702;46;45%;55%;122,275;14.4%;130,605;12634;10%;6418;3.67%
2020;52;138,950;48;44%;56%;95,224;15.8%;103,511;11123;11%;5684;4.09%
2020;53;123,069;49;44%;56%;87,397;13.4%;93,846;11060;12%;5677;4.61%
2021;1;145,438;48;45%;55%;106,047;13.2%;111,828;11250;10%;5688;3.91%
2021;2;118,899;48;45%;55%;85,691;15.9%;91,837;9967;11%;5044;4.24%
2021;3;95,516;48;46%;54%;70,715;16.0%;76,177;8911;12%;4043;4.23%
2021;4;78,125;48;46%;54%;58,656;16.1%;64,344;7570;12%;3062;3.92%
2021;5;64,558;46;47%;53%;49,587;16.2%;53,689;6491;12%;2233;3.46%
2021;6;50,807;45;48%;52%;39,932;16.5%;42,582;5229;12%;1671;3.29%
2021;7;52,389;44;49%;51%;41,667;16.3%;44,159;5157;12%;1467;2.80%
2021;8;56,350;42;50%;50%;44,858;16.1%;47,353;4848;10%;1207;2.14%
2021;9;58,366;40;51%;49%;47,119;16.0%;49,020;4437;9%;1042;1.79%
2021;10;71,306;39;50%;50%;57,592;16.0%;58,997;4913;8%;1087;1.52%
2021;11;92,577;39;50%;50%;74,298;15.6%;76,067;5784;8%;1269;1.37%
2021;12;116,264;38;51%;49%;91,603;16.2%;95,281;6879;7%;1504;1.29%
2021;13;110,096;39;51%;49%;86,210;15.7%;89,814;6926;8%;1569;1.43%
2021;14;118,265;39;51%;49%;94,170;14.1%;96,285;7588;8%;1565;1.32%
2021;15;142,047;38;51%;49%;111,623;16.1%;116,026;7830;7%;1603;1.13%
2021;16;144,751;37;52%;48%;113,589;17.3%;118,550;8007;7%;1589;1.10%
2021;17;124,809;37;52%;48%;98,618;17.5%;101,595;6754;7%;1275;1.02%
2021;18;100,988;37;51%;49%;81,180;17.1%;83,534;5509;7%;988;0.98%
2021;19;70,829;37;51%;49%;56,945;17.5%;58,731;4048;7%;652;0.92%
2021;20;52,695;36;51%;49%;42,382;18.0%;43,912;2785;6%;433;0.82%
2021;21;29,876;35;52%;48%;24,185;18.7%;25,170;1712;7%;253;0.85%
2021;22;20,678;34;51%;49%;16,565;20.0%;17,425;1137;7%;136;0.66%
2021;23;14,028;33;51%;49%;11,271;22.2%;12,056;810;7%;65;0.46%
2021;24;7,262;32;52%;48%;5,804;22.6%;6,264;519;8%;43;0.59%
2021;25;4,819;32;54%;46%;3,920;21.4%;4,140;359;9%;30;0.62%
2021;26;4,350;32;53%;47%;3,642;17.1%;3,765;314;8%;22;0.51%
2021;27;5,562;32;53%;47%;4,765;13.1%;4,787;360;8%;24;0.43%
2021;28;9,090;30;54%;46%;7,921;12.5%;7,749;409;5%;28;0.31%
2021;29;12,615;30;52%;48%;11,044;12.1%;10,316;580;6%;37;0.29%
2021;30;15,489;31;52%;48%;13,501;12.2%;12,430;777;6%;65;0.42%
2021;31;20,392;30;52%;48%;17,427;12.5%;15,622;983;6%;82;0.40%
2021;32;32,029;30;51%;49%;26,736;12.3%;23,749;1614;7%;131;0.41%
2021;33;49,580;29;51%;49%;38,810;14.5%;35,613;2219;6%;193;0.39%
2021;34;66,268;29;51%;49%;49,844;15.6%;46,617;2975;6%;280;0.42%
2021;35;74,623;30;50%;50%;52,974;16.3%;50,634;2968;6%;302;0.40%
2021;36;71,608;30;50%;50%;50,095;15.1%;48,166;2908;6%;253;0.35%
2021;37;61,349;31;51%;49%;42,190;15.3%;40,840;2320;6%;164;0.27%
2021;38;52,986;31;50%;50%;33,578;14.6%;33,335;1608;5%;60;0.11%
