Die dem RKI übermittelten COVID-19-Fälle nach Meldewoche und  Geschlecht sowie Anteile mit für COVID-19 relevanten Symptomen, Anteile Hospitalisierter und Verstorbener für die Meldewochen KW 10 – 53/2020 und KW 01 - 31/2021;;;;;;;;;;;;
Stand: 10.08.2021 08:36:51;;;;;;;;;;;;
Meldejahr;MW;Fälle gesamt;Mittelwert Alter (Jahre);Männer;Frauen;Anzahl mit Angaben zu Symptomen;Anteil keine, bzw. keine für COVID-19 bedeutsamen Symptome;Anzahl mit Angaben zur Hospitalisierung;Anzahl hospitalisiert;Anteil der Hospitalisierten bei Fällen mit Angabe zur Hospitalisation;Anzahl Verstorben;Anteil Verstorben
2020;10;898;43;53%;47%;834;8.4%;810;162;20%;12;1.34%
2020;11;6,431;45;56%;44%;5,758;5.4%;5,683;530;9%;84;1.31%
2020;12;22,393;45;55%;45%;20,099;3.9%;19,539;2,236;11%;476;2.13%
2020;13;33,971;48;50%;50%;30,769;3.3%;29,827;5,154;17%;1,464;4.31%
2020;14;36,053;51;45%;55%;32,003;5.5%;32,037;6,114;19%;2,267;6.29%
2020;15;27,138;52;43%;57%;23,566;8.4%;24,368;4,747;19%;1,875;6.91%
2020;16;17,334;51;45%;55%;14,842;11.5%;15,652;3,385;22%;1,220;7.04%
2020;17;12,345;50;45%;55%;10,249;13.9%;11,068;2,248;20%;725;5.87%
2020;18;7,435;48;48%;52%;6,177;16.6%;6,675;1,367;20%;387;5.21%
2020;19;6,238;47;48%;52%;5,242;19.4%;5,670;1,081;19%;257;4.12%
2020;20;4,764;45;50%;50%;3,946;23.1%;4,271;764;18%;164;3.44%
2020;21;3,598;44;50%;50%;2,832;26.4%;3,141;514;16%;112;3.11%
2020;22;3,204;42;52%;48%;2,593;24.3%;2,800;420;15%;64;2.00%
2020;23;2,351;39;51%;49%;1,860;24.0%;2,095;307;15%;45;1.91%
2020;24;2,341;37;53%;47%;1,793;25.9%;2,098;289;14%;33;1.41%
2020;25;4,190;36;59%;41%;2,966;25.2%;3,841;324;8%;41;0.98%
2020;26;3,153;37;55%;45%;2,342;23.8%;2,823;297;11%;23;0.73%
2020;27;2,688;36;52%;48%;2,067;26.7%;2,469;263;11%;26;0.97%
2020;28;2,427;36;56%;44%;1,917;23.9%;2,202;259;12%;25;1.03%
2020;29;3,022;36;52%;48%;2,376;23.0%;2,672;322;12%;30;0.99%
2020;30;3,926;36;52%;48%;3,172;27.2%;3,488;335;10%;33;0.84%
2020;31;4,831;36;50%;50%;3,792;25.2%;4,245;390;9%;36;0.75%
2020;32;6,058;34;54%;46%;4,589;30.3%;5,331;403;8%;32;0.53%
2020;33;7,951;32;53%;47%;5,887;33.4%;7,050;448;6%;31;0.39%
2020;34;9,599;32;55%;45%;7,223;34.8%;8,385;438;5%;31;0.32%
2020;35;8,820;32;53%;47%;6,867;30.5%;7,513;371;5%;18;0.20%
2020;36;8,618;33;54%;46%;6,683;26.9%;7,207;409;6%;36;0.42%
2020;37;9,763;35;52%;48%;7,680;20.2%;8,166;478;6%;68;0.70%
2020;38;12,290;36;51%;49%;9,904;18.1%;10,325;689;7%;81;0.66%
2020;39;13,062;37;52%;48%;10,481;18.1%;11,036;780;7%;109;0.83%
2020;40;15,925;38;52%;48%;12,691;17.4%;13,660;890;7%;122;0.77%
2020;41;26,109;39;51%;49%;20,151;16.3%;21,719;1610;7%;245;0.94%
2020;42;42,059;39;51%;49%;31,120;15.8%;34,222;2353;7%;464;1.10%
2020;43;74,869;40;50%;50%;52,873;15.2%;58,936;4173;7%;1009;1.35%
2020;44;111,029;41;50%;50%;76,574;15.5%;85,498;6006;7%;1618;1.46%
2020;45;125,768;41;49%;51%;86,766;15.1%;95,200;6930;7%;1887;1.50%
2020;46;127,782;42;48%;52%;87,359;14.7%;97,362;7621;8%;2517;1.97%
2020;47;128,381;43;47%;53%;88,176;14.7%;97,267;8153;8%;3203;2.49%
2020;48;123,220;44;47%;53%;84,153;15.4%;93,108;8406;9%;3576;2.90%
2020;49;128,400;45;46%;54%;89,151;14.2%;97,303;9223;9%;4448;3.46%
2020;50;156,307;46;45%;55%;109,783;14.6%;118,502;11344;10%;5728;3.66%
2020;51;174,745;46;45%;55%;121,769;14.4%;131,338;12653;10%;6409;3.67%
2020;52;138,997;48;44%;56%;94,786;15.8%;104,080;11156;11%;5673;4.08%
2020;53;123,084;49;44%;56%;87,121;13.4%;94,725;11068;12%;5670;4.61%
2021;1;145,468;48;45%;55%;105,807;13.2%;112,476;11253;10%;5676;3.90%
2021;2;118,930;48;45%;55%;85,500;16.0%;92,327;9983;11%;5031;4.23%
2021;3;95,533;48;46%;54%;70,658;16.1%;76,682;8896;12%;4034;4.22%
2021;4;78,116;48;46%;54%;58,473;16.1%;64,605;7577;12%;3055;3.91%
2021;5;64,570;46;47%;53%;49,453;16.2%;54,262;6516;12%;2227;3.45%
2021;6;50,801;45;48%;52%;39,859;16.5%;43,099;5241;12%;1669;3.29%
2021;7;52,407;44;49%;51%;41,575;16.3%;44,668;5166;12%;1466;2.80%
2021;8;56,358;42;50%;50%;44,727;16.1%;47,821;4853;10%;1203;2.13%
2021;9;58,368;40;51%;49%;46,977;16.0%;49,585;4436;9%;1041;1.78%
2021;10;71,308;39;50%;50%;57,461;16.1%;59,769;4919;8%;1085;1.52%
2021;11;92,593;39;50%;50%;74,111;15.6%;77,047;5782;8%;1260;1.36%
2021;12;116,272;38;51%;49%;91,512;16.2%;96,619;6887;7%;1495;1.29%
2021;13;110,098;39;51%;49%;85,897;15.7%;90,871;6925;8%;1555;1.41%
2021;14;118,250;39;51%;49%;93,333;14.1%;97,348;7566;8%;1547;1.31%
2021;15;142,027;38;51%;49%;110,764;16.2%;117,266;7818;7%;1598;1.13%
2021;16;144,759;37;52%;48%;112,995;17.4%;120,179;7996;7%;1573;1.09%
2021;17;124,851;37;52%;48%;97,964;17.5%;103,322;6710;6%;1261;1.01%
2021;18;101,011;37;51%;49%;80,473;17.0%;84,575;5487;6%;970;0.96%
2021;19;70,862;37;51%;49%;56,737;17.5%;60,156;4034;7%;641;0.90%
2021;20;52,749;36;51%;49%;42,035;18.0%;44,747;2769;6%;424;0.80%
2021;21;29,899;35;52%;48%;24,081;18.7%;25,728;1710;7%;249;0.83%
2021;22;20,713;34;51%;49%;16,519;19.8%;17,977;1135;6%;133;0.64%
2021;23;14,032;33;51%;49%;11,220;22.0%;12,353;813;7%;64;0.46%
2021;24;7,254;32;52%;48%;5,770;22.5%;6,396;517;8%;40;0.55%
2021;25;4,809;32;54%;46%;3,875;21.3%;4,209;354;8%;28;0.58%
2021;26;4,340;32;53%;47%;3,594;16.9%;3,824;310;8%;19;0.44%
2021;27;5,556;32;54%;46%;4,710;13.0%;4,881;353;7%;22;0.40%
2021;28;9,067;30;54%;46%;7,725;12.3%;7,867;401;5%;15;0.17%
2021;29;12,591;30;52%;48%;10,606;12.2%;10,125;538;5%;20;0.16%
2021;30;15,436;31;52%;48%;12,054;12.6%;11,718;636;5%;21;0.14%
2021;31;19,965;30;52%;48%;13,472;13.4%;12,379;613;5%;6;0.03%
