Die dem RKI übermittelte COVID-19-Fälle nach Meldewoche und  Geschlecht sowie Anteile mit für COVID-19 relevanten Symptomen, Anteile Hospitalisierter und Verstorbener für die Meldewochen KW 10 – 53/2020 und KW 01 - 12/2021;;;;;;;;;;;;
Meldejahr;MW;Fälle gesamt;Mittelwert Alter (Jahre);Männer;Frauen;Anzahl mit Angaben zu Symptomen;Anteil keine, bzw. keine für COVID-19 bedeutsamen Symptome;Anzahl mit Angaben zur Hospitalisierung;Anzahl hospitalisiert;Anteil hospitalisiert;Anzahl Verstorben;Anteil Verstorben
2020;10;897;43;53%;47%;836;8.4%;809;165;20%;12;1.34%
2020;11;6,434;45;56%;44%;5,770;5.3%;5,636;533;9%;85;1.32%
2020;12;22,447;45;55%;45%;20,191;3.9%;19,407;2,232;12%;478;2.13%
2020;13;33,993;48;50%;50%;30,845;3.3%;29,538;5,148;17%;1,465;4.31%
2020;14;36,080;51;45%;55%;32,056;5.5%;31,636;6,094;19%;2,259;6.26%
2020;15;27,185;52;43%;57%;23,603;8.5%;24,170;4,735;20%;1,880;6.92%
2020;16;17,360;51;45%;55%;14,884;11.5%;15,541;3,381;22%;1,217;7.01%
2020;17;12,379;50;45%;55%;10,282;13.9%;10,998;2,241;20%;721;5.82%
2020;18;7,441;48;48%;52%;6,258;17.6%;6,611;1,365;21%;386;5.19%
2020;19;6,240;47;48%;52%;5,249;19.6%;5,633;1,082;19%;257;4.12%
2020;20;4,768;45;49%;51%;3,952;23.1%;4,250;766;18%;164;3.44%
2020;21;3,613;43;50%;50%;2,834;26.3%;3,122;515;16%;113;3.13%
2020;22;3,204;42;52%;48%;2,545;23.2%;2,768;421;15%;65;2.03%
2020;23;2,352;39;51%;49%;1,837;23.2%;2,080;308;15%;45;1.91%
2020;24;2,342;37;54%;46%;1,743;24.4%;2,088;288;14%;33;1.41%
2020;25;4,125;36;59%;41%;2,935;25.1%;3,771;319;8%;41;0.99%
2020;26;3,213;37;55%;45%;2,331;23.3%;2,864;296;10%;23;0.72%
2020;27;2,691;36;52%;48%;2,065;26.7%;2,466;259;11%;26;0.97%
2020;28;2,427;36;56%;44%;1,934;23.9%;2,193;256;12%;25;1.03%
2020;29;3,016;36;53%;47%;2,358;22.9%;2,647;318;12%;30;0.99%
2020;30;3,928;36;52%;48%;3,182;27.4%;3,477;334;10%;33;0.84%
2020;31;4,822;36;50%;50%;3,713;24.6%;4,175;389;9%;32;0.66%
2020;32;6,057;34;54%;46%;4,552;30.0%;5,286;399;8%;31;0.51%
2020;33;7,949;32;53%;47%;5,854;33.3%;7,009;438;6%;30;0.38%
2020;34;9,591;32;55%;45%;7,203;34.6%;8,309;434;5%;30;0.31%
2020;35;8,820;32;53%;47%;6,874;30.7%;7,427;366;5%;18;0.20%
2020;36;8,620;33;54%;46%;6,657;27.2%;7,086;397;6%;36;0.42%
2020;37;9,771;35;52%;48%;7,606;20.5%;8,037;464;6%;66;0.68%
2020;38;12,296;36;51%;49%;9,768;18.7%;10,069;674;7%;79;0.64%
2020;39;13,063;37;52%;48%;10,361;18.2%;10,852;771;7%;107;0.82%
2020;40;15,932;38;52%;48%;12,610;17.6%;13,480;873;6%;121;0.76%
2020;41;26,128;39;51%;49%;20,102;16.6%;21,545;1586;7%;238;0.91%
2020;42;42,089;39;51%;49%;30,878;16.0%;33,704;2325;7%;456;1.08%
2020;43;74,836;40;50%;50%;52,398;15.5%;58,129;4098;7%;988;1.32%
2020;44;111,099;41;50%;50%;75,603;15.8%;83,921;5904;7%;1581;1.42%
2020;45;125,818;41;49%;51%;84,884;15.3%;92,666;6826;7%;1849;1.47%
2020;46;127,869;42;48%;52%;85,572;14.9%;94,413;7467;8%;2452;1.92%
2020;47;128,469;43;47%;53%;86,334;14.8%;93,919;8003;9%;3128;2.43%
2020;48;123,291;44;47%;53%;82,267;15.5%;89,665;8246;9%;3490;2.83%
2020;49;128,510;45;46%;54%;87,102;14.2%;93,712;9077;10%;4352;3.39%
2020;50;156,531;46;45%;55%;106,534;14.5%;113,744;11099;10%;5575;3.56%
2020;51;174,934;46;45%;55%;117,292;14.4%;125,468;12330;10%;6242;3.57%
2020;52;139,232;48;44%;56%;90,899;15.7%;99,297;10905;11%;5542;3.98%
2020;53;123,201;49;44%;56%;83,749;13.4%;89,737;10731;12%;5504;4.47%
2021;1;145,488;48;45%;55%;100,576;13.2%;105,973;10748;10%;5482;3.77%
2021;2;119,010;48;45%;55%;80,434;15.7%;86,920;9509;11%;4874;4.10%
2021;3;95,585;48;46%;54%;66,266;15.7%;72,208;8485;12%;3877;4.06%
2021;4;78,245;48;46%;54%;54,758;15.9%;60,745;7152;12%;2924;3.74%
2021;5;64,672;46;47%;53%;46,123;16.0%;50,868;6114;12%;2081;3.22%
2021;6;50,869;45;48%;52%;36,861;16.4%;40,213;4883;12%;1544;3.04%
2021;7;52,517;44;49%;51%;38,440;16.3%;41,997;4825;11%;1316;2.51%
2021;8;56,498;42;50%;50%;41,261;15.8%;44,722;4466;10%;1037;1.84%
2021;9;58,514;40;51%;49%;42,599;15.4%;45,855;3972;9%;799;1.37%
2021;10;71,459;39;50%;50%;50,410;15.4%;53,905;4312;8%;740;1.04%
2021;11;92,782;39;50%;50%;63,393;15.2%;68,072;4692;7%;593;0.64%
2021;12;116,633;38;51%;49%;73,049;15.5%;82,254;4805;6%;397;0.34%
2021;13;108,738;39;51%;49%;54,108;15.6%;65,352;3246;5%;129;0.12%
