;;;;;;;;;;;;
Stand: 02.02.2022 07:45:29;;;;;;;;;;;;
;;;;;;;;;;;;
Meldejahr;MW;Fälle gesamt;Mittelwert Alter (Jahre);Männer;Frauen;Anzahl mit Angaben zu Symptomen;Anteil keine, bzw. keine für COVID-19 bedeutsamen Symptome;Anzahl mit Angaben zur Hospitalisierung;Anzahl hospitalisiert;Anteil der Hospitalisierten bei Fällen mit Angabe zur Hospitalisation;Anzahl Verstorben;Anteil Verstorben
2020;10;899;43;53%;47%;835;8.4%;796;160;20%;12;1.33%
2020;11;6,432;45;56%;44%;5,757;5.4%;5,539;525;9%;84;1.31%
2020;12;22,386;45;55%;45%;20,046;3.9%;18,971;2,229;12%;476;2.13%
2020;13;33,968;48;49%;51%;30,695;3.3%;29,042;5,145;18%;1,461;4.30%
2020;14;36,050;51;45%;55%;31,908;5.4%;31,311;6,102;19%;2,267;6.29%
2020;15;27,128;52;43%;57%;23,478;8.4%;23,898;4,735;20%;1,876;6.92%
2020;16;17,324;51;45%;55%;14,778;11.3%;15,303;3,385;22%;1,221;7.05%
2020;17;12,349;50;45%;55%;10,193;13.5%;10,764;2,238;21%;725;5.87%
2020;18;7,430;48;48%;52%;6,149;16.4%;6,520;1,361;21%;387;5.21%
2020;19;6,233;47;48%;52%;5,213;19.0%;5,551;1,080;19%;257;4.12%
2020;20;4,756;45;50%;50%;3,904;22.4%;4,141;759;18%;164;3.45%
2020;21;3,599;44;50%;50%;2,806;25.8%;3,083;513;17%;112;3.11%
2020;22;3,205;42;52%;48%;2,578;23.8%;2,730;421;15%;64;2.00%
2020;23;2,353;39;51%;49%;1,860;23.9%;2,080;307;15%;45;1.91%
2020;24;2,344;37;53%;47%;1,790;25.6%;2,088;290;14%;33;1.41%
2020;25;4,190;36;59%;41%;2,955;24.8%;3,824;324;8%;41;0.98%
2020;26;3,156;37;55%;45%;2,345;23.7%;2,810;297;11%;24;0.76%
2020;27;2,689;36;52%;48%;2,067;26.7%;2,435;263;11%;26;0.97%
2020;28;2,423;36;56%;44%;1,907;23.6%;2,158;257;12%;25;1.03%
2020;29;3,031;36;52%;48%;2,369;22.8%;2,627;321;12%;30;0.99%
2020;30;3,932;36;52%;48%;3,152;26.6%;3,415;335;10%;33;0.84%
2020;31;4,834;36;50%;50%;3,793;24.9%;4,212;386;9%;37;0.77%
2020;32;6,060;34;54%;46%;4,585;30.1%;5,287;404;8%;33;0.54%
2020;33;7,951;32;53%;47%;5,859;33.1%;6,930;445;6%;31;0.39%
2020;34;9,597;32;55%;45%;7,195;34.4%;8,226;438;5%;31;0.32%
2020;35;8,829;32;53%;47%;6,859;30.4%;7,341;373;5%;18;0.20%
2020;36;8,614;33;54%;46%;6,667;26.6%;7,032;407;6%;36;0.42%
2020;37;9,758;35;52%;48%;7,683;20.0%;7,926;476;6%;68;0.70%
2020;38;12,289;36;51%;49%;9,937;18.1%;10,114;685;7%;82;0.67%
2020;39;13,064;37;52%;48%;10,482;17.9%;10,831;782;7%;110;0.84%
2020;40;15,926;38;52%;48%;12,718;17.1%;13,443;891;7%;122;0.77%
2020;41;26,122;39;51%;49%;20,234;16.1%;21,483;1624;8%;246;0.94%
2020;42;42,056;39;51%;49%;31,325;15.7%;33,911;2363;7%;463;1.10%
2020;43;74,870;40;50%;50%;53,260;15.1%;58,388;4185;7%;1015;1.36%
2020;44;111,002;41;50%;50%;76,866;15.3%;84,526;6008;7%;1620;1.46%
2020;45;125,723;41;49%;51%;87,170;15.0%;94,187;6922;7%;1897;1.51%
2020;46;127,790;42;48%;52%;87,615;14.7%;96,545;7625;8%;2530;1.98%
2020;47;128,391;43;47%;53%;88,558;14.7%;96,562;8168;8%;3214;2.50%
2020;48;123,144;44;47%;53%;84,499;15.4%;92,379;8406;9%;3584;2.91%
2020;49;128,356;45;46%;54%;89,680;14.1%;96,552;9257;10%;4463;3.48%
2020;50;156,307;46;45%;55%;110,421;14.5%;117,513;11366;10%;5740;3.67%
2020;51;174,695;46;45%;55%;122,345;14.4%;130,108;12652;10%;6432;3.68%
2020;52;138,924;48;44%;56%;95,483;15.8%;103,259;11122;11%;5695;4.10%
2020;53;123,081;49;44%;56%;87,461;13.4%;93,510;11060;12%;5692;4.62%
2021;1;145,476;48;45%;55%;106,571;13.1%;111,621;11257;10%;5703;3.92%
2021;2;118,897;48;45%;55%;86,013;15.9%;91,612;9980;11%;5069;4.26%
2021;3;95,535;48;46%;54%;71,009;16.0%;75,961;8925;12%;4070;4.26%
2021;4;78,156;48;46%;54%;58,800;16.1%;64,061;7579;12%;3071;3.93%
2021;5;64,565;46;47%;53%;49,692;16.2%;53,446;6509;12%;2240;3.47%
2021;6;50,799;45;48%;52%;40,046;16.6%;42,436;5235;12%;1675;3.30%
2021;7;52,393;44;49%;51%;41,720;16.3%;43,994;5154;12%;1467;2.80%
2021;8;56,343;42;50%;50%;44,940;16.1%;47,205;4852;10%;1215;2.16%
2021;9;58,366;40;51%;49%;47,187;16.0%;48,737;4445;9%;1043;1.79%
2021;10;71,328;39;50%;50%;57,763;16.1%;58,732;4917;8%;1089;1.53%
2021;11;92,591;39;50%;50%;74,486;15.6%;75,534;5795;8%;1275;1.38%
2021;12;116,259;38;51%;49%;91,839;16.2%;94,341;6898;7%;1515;1.30%
