Die dem RKI übermittelten COVID-19-Fälle nach Meldewoche und  Geschlecht sowie Anteile mit für COVID-19 relevanten Symptomen, Anteile Hospitalisierter und Verstorbener für die Meldewochen KW 10 – 53/2020 und KW 01 - 15/2021;;;;;;;;;;;;
Meldejahr;MW;Fälle gesamt;Mittelwert Alter (Jahre);Männer;Frauen;Anzahl mit Angaben zu Symptomen;Anteil keine, bzw. keine für COVID-19 bedeutsamen Symptome;Anzahl mit Angaben zur Hospitalisierung;Anzahl hospitalisiert;Anteil hospitalisiert;Anzahl Verstorben;Anteil Verstorben
2020;10;897;43;53%;47%;836;8.4%;809;165;20%;12;1.34%
2020;11;6,429;45;56%;44%;5,765;5.3%;5,631;533;9%;85;1.32%
2020;12;22,415;45;55%;45%;20,159;3.9%;19,381;2,229;12%;478;2.13%
2020;13;33,971;48;49%;51%;30,824;3.3%;29,520;5,143;17%;1,463;4.31%
2020;14;36,058;51;45%;55%;32,041;5.6%;31,619;6,091;19%;2,260;6.27%
2020;15;27,160;52;43%;57%;23,583;8.5%;24,152;4,730;20%;1,878;6.91%
2020;16;17,345;51;45%;55%;14,877;11.5%;15,530;3,379;22%;1,217;7.02%
2020;17;12,360;50;45%;55%;10,270;13.9%;10,983;2,240;20%;721;5.83%
2020;18;7,437;48;48%;52%;6,257;17.6%;6,609;1,365;21%;386;5.19%
2020;19;6,237;47;48%;52%;5,252;19.7%;5,630;1,081;19%;257;4.12%
2020;20;4,762;45;50%;50%;3,946;23.2%;4,244;763;18%;164;3.44%
2020;21;3,609;43;50%;50%;2,837;26.5%;3,120;513;16%;113;3.13%
2020;22;3,204;42;52%;48%;2,548;23.2%;2,769;421;15%;65;2.03%
2020;23;2,352;39;51%;49%;1,838;23.2%;2,080;308;15%;45;1.91%
2020;24;2,342;37;54%;46%;1,743;24.4%;2,088;288;14%;33;1.41%
2020;25;4,126;36;59%;41%;2,937;25.1%;3,772;319;8%;41;0.99%
2020;26;3,212;37;55%;45%;2,330;23.3%;2,863;296;10%;23;0.72%
2020;27;2,690;36;52%;48%;2,066;26.7%;2,463;259;11%;26;0.97%
2020;28;2,427;36;56%;44%;1,935;23.9%;2,193;256;12%;25;1.03%
2020;29;3,014;36;52%;48%;2,359;23.0%;2,645;317;12%;30;1.00%
2020;30;3,929;36;52%;48%;3,183;27.4%;3,478;334;10%;33;0.84%
2020;31;4,822;36;50%;50%;3,715;24.6%;4,175;389;9%;32;0.66%
2020;32;6,058;34;54%;46%;4,556;30.0%;5,287;399;8%;31;0.51%
2020;33;7,949;32;53%;47%;5,855;33.3%;7,009;439;6%;30;0.38%
2020;34;9,591;32;55%;45%;7,211;34.5%;8,310;434;5%;30;0.31%
2020;35;8,823;32;53%;47%;6,878;30.7%;7,429;366;5%;18;0.20%
2020;36;8,614;33;54%;46%;6,656;27.2%;7,081;397;6%;36;0.42%
2020;37;9,769;35;52%;48%;7,605;20.5%;8,037;465;6%;66;0.68%
2020;38;12,296;36;51%;49%;9,768;18.7%;10,067;674;7%;79;0.64%
2020;39;13,063;37;52%;48%;10,361;18.2%;10,853;771;7%;107;0.82%
2020;40;15,932;38;52%;48%;12,613;17.5%;13,481;875;6%;121;0.76%
2020;41;26,126;39;51%;49%;20,100;16.6%;21,546;1586;7%;238;0.91%
2020;42;42,087;39;51%;49%;30,879;16.0%;33,703;2325;7%;458;1.09%
2020;43;74,824;40;50%;50%;52,396;15.5%;58,134;4101;7%;991;1.32%
2020;44;111,090;41;50%;50%;75,617;15.8%;83,939;5907;7%;1586;1.43%
2020;45;125,803;41;49%;51%;85,213;15.2%;92,744;6828;7%;1849;1.47%
2020;46;127,846;42;48%;52%;85,770;14.8%;94,452;7470;8%;2457;1.92%
2020;47;128,465;43;47%;53%;86,386;14.8%;93,960;8011;9%;3140;2.44%
2020;48;123,294;44;47%;53%;82,373;15.5%;89,759;8250;9%;3496;2.84%
2020;49;128,507;45;46%;54%;87,341;14.2%;94,106;9083;10%;4357;3.39%
2020;50;156,524;46;45%;55%;107,266;14.6%;114,606;11140;10%;5589;3.57%
2020;51;174,927;46;45%;55%;117,823;14.4%;126,199;12344;10%;6257;3.58%
2020;52;139,207;48;44%;56%;91,190;15.8%;99,767;10900;11%;5557;3.99%
2020;53;123,196;49;44%;56%;84,149;13.4%;90,207;10775;12%;5530;4.49%
2021;1;145,489;48;45%;55%;101,341;13.2%;106,583;10811;10%;5521;3.79%
2021;2;119,012;48;45%;55%;81,045;15.7%;87,211;9547;11%;4912;4.13%
2021;3;95,580;48;46%;54%;66,628;15.7%;72,401;8501;12%;3909;4.09%
2021;4;78,248;48;46%;54%;55,045;15.9%;60,909;7181;12%;2959;3.78%
2021;5;64,679;46;47%;53%;46,412;16.0%;51,002;6152;12%;2117;3.27%
2021;6;50,855;45;48%;52%;37,285;16.4%;40,423;4942;12%;1589;3.12%
2021;7;52,500;44;49%;51%;38,562;16.3%;42,042;4868;12%;1368;2.61%
2021;8;56,479;42;50%;50%;41,513;15.7%;44,859;4519;10%;1112;1.97%
2021;9;58,521;40;51%;49%;43,157;15.5%;46,156;4059;9%;908;1.55%
2021;10;71,470;39;50%;50%;51,926;15.5%;54,983;4492;8%;932;1.30%
2021;11;92,815;39;50%;50%;65,879;15.3%;70,094;5135;7%;994;1.07%
2021;12;116,666;38;51%;49%;78,845;15.5%;86,285;5908;7%;1032;0.88%
2021;13;110,482;39;51%;49%;71,816;15.2%;79,097;5611;7%;857;0.78%
2021;14;118,417;39;51%;49%;74,603;13.7%;82,456;5424;7%;496;0.42%
2021;15;140,789;38;51%;49%;74,445;15.7%;89,745;3965;4%;180;0.13%
