Die dem RKI übermittelten COVID-19-Fälle nach Meldewoche, Altersgruppe und Angabe, dass eine Hospitalisierung vorlag für die Meldewochen KW 10 – 53/2020 und KW 01 - 22/2021;;;;;;;;
;;;;;;;;
;;;;;;;;
Stand: 08.06.2021 05:49:56;;;;;;;;
;;;;;;;;
;;0 - 4 Jährige;5 - 14 Jährige;15 - 34 Jährige;35 - 59 Jährige;60 - 79 Jährige;80+ Jährige;
Meldejahr;Meldewoche;A00..04;A05..14;A15..34;A35..59;A60..79;A80+;
2020;10;2;3;23;89;37;11;2020-KW10
2020;11;2;2;55;239;155;78;2020-KW11
2020;12;14;5;154;727;860;471;2020-KW12
2020;13;32;16;263;1358;2218;1259;2020-KW13
2020;14;27;17;311;1344;2486;1909;2020-KW14
2020;15;23;9;225;978;1764;1735;2020-KW15
2020;16;9;13;192;633;1276;1258;2020-KW16
2020;17;20;15;184;420;771;836;2020-KW17
2020;18;19;8;109;288;513;429;2020-KW18
2020;19;10;7;92;238;382;352;2020-KW19
2020;20;7;18;77;180;233;251;2020-KW20
2020;21;4;2;51;121;169;166;2020-KW21
2020;22;4;;38;123;139;117;2020-KW22
2020;23;3;5;39;94;91;76;2020-KW23
2020;24;10;5;48;83;70;72;2020-KW24
2020;25;5;3;50;117;82;62;2020-KW25
2020;26;3;7;46;105;79;57;2020-KW26
2020;27;3;4;55;92;55;53;2020-KW27
2020;28;7;6;35;97;80;31;2020-KW28
2020;29;9;5;61;106;91;48;2020-KW29
2020;30;10;8;54;111;105;45;2020-KW30
2020;31;2;5;52;147;108;77;2020-KW31
2020;32;4;3;67;147;113;64;2020-KW32
2020;33;11;13;74;150;113;76;2020-KW33
2020;34;9;11;93;172;106;45;2020-KW34
2020;35;5;8;69;147;100;39;2020-KW35
2020;36;4;7;75;143;121;50;2020-KW36
2020;37;12;12;50;159;138;96;2020-KW37
2020;38;8;10;78;234;207;139;2020-KW38
2020;39;9;7;111;241;255;153;2020-KW39
2020;40;15;9;115;276;289;175;2020-KW40
2020;41;21;17;211;492;505;355;2020-KW41
2020;42;24;25;265;676;783;560;2020-KW42
2020;43;50;30;434;1059;1415;1131;2020-KW43
2020;44;64;50;557;1510;2100;1692;2020-KW44
2020;45;65;57;602;1692;2391;2059;2020-KW45
2020;46;64;70;575;1723;2588;2512;2020-KW46
2020;47;53;57;607;1678;2862;2825;2020-KW47
2020;48;62;69;566;1699;2869;3073;2020-KW48
2020;49;58;59;598;1670;3171;3598;2020-KW49
2020;50;70;66;672;1959;3914;4526;2020-KW50
2020;51;80;89;710;2189;4364;5073;2020-KW51
2020;52;54;50;598;1855;3898;4582;2020-KW52
2020;53;74;51;616;1902;3816;4447;2020-KW53
2021;01;67;33;581;1808;3943;4660;2021-KW01
2021;02;60;51;532;1586;3390;4214;2021-KW02
2021;03;39;36;392;1430;3099;3643;2021-KW03
2021;04;35;30;396;1200;2733;2944;2021-KW04
2021;05;45;38;353;1121;2325;2485;2021-KW05
2021;06;41;23;293;955;1892;1844;2021-KW06
2021;07;35;23;301;1013;1944;1638;2021-KW07
2021;08;44;31;311;1043;1733;1458;2021-KW08
2021;09;48;30;318;1000;1575;1215;2021-KW09
2021;10;51;37;384;1289;1657;1226;2021-KW10
2021;11;79;69;450;1531;2044;1252;2021-KW11
2021;12;85;82;592;1858;2399;1468;2021-KW12
2021;13;85;87;562;1867;2469;1339;2021-KW13
2021;14;102;69;680;2125;2595;1328;2021-KW14
2021;15;88;84;709;2141;2802;1344;2021-KW15
2021;16;86;80;712;2290;2738;1300;2021-KW16
2021;17;69;88;589;1901;2284;1073;2021-KW17
2021;18;77;63;505;1506;1841;876;2021-KW18
2021;19;61;41;402;1091;1295;622;2021-KW19
2021;20;43;35;306;726;832;435;2021-KW20
2021;21;26;19;172;415;460;256;2021-KW21
2021;22;8;20;97;212;227;153;2021-KW22
