Die dem RKI übermittelten COVID-19-Fälle nach Meldewoche, Altersgruppe und Angabe, dass eine Hospitalisierung vorlag für die Meldewochen KW 10 – 53/2020 und KW 01 - 49/2021;;;;;;;
;;;;;;;
Stand: 15.12.2021 07:13:17;;;;;;;
;;Fälle 0 - 4 Jährige;Fälle 5 - 14 Jährige;Fälle 15 - 34 Jährige;Fälle 35 - 59 Jährige;Fälle 60 - 79 Jährige;Fälle 80+ Jährige
Meldejahr;Meldewoche;Fälle A00..04;Fälle A05..14;Fälle A15..34;Fälle A35..59;Fälle A60..79;Fälle A80+
2020;10;2;3;23;84;37;11
2020;11;2;2;54;238;152;77
2020;12;14;6;152;726;861;472
2020;13;33;16;259;1359;2219;1259
2020;14;27;17;305;1348;2486;1919
2020;15;22;8;225;983;1761;1733
2020;16;9;12;192;635;1282;1255
2020;17;20;15;183;418;769;834
2020;18;19;8;107;286;513;428
2020;19;10;7;92;239;383;350
2020;20;7;18;74;180;232;249
2020;21;4;2;51;120;170;166
2020;22;4;;38;124;138;117
2020;23;3;5;40;94;90;75
2020;24;11;5;48;83;70;73
2020;25;5;3;52;121;81;62
2020;26;3;7;47;103;79;57
2020;27;3;4;55;93;56;52
2020;28;7;6;36;97;79;32
2020;29;9;5;61;106;91;49
2020;30;10;8;54;112;105;46
2020;31;2;5;50;147;106;76
2020;32;4;3;70;147;114;66
2020;33;11;13;75;152;115;78
2020;34;9;11;95;171;107;45
2020;35;6;8;68;151;101;40
2020;36;4;7;76;147;122;51
2020;37;12;12;50;162;141;98
2020;38;8;10;81;238;211;136
2020;39;9;7;111;242;258;154
2020;40;15;10;118;283;290;176
2020;41;21;17;211;499;513;362
2020;42;24;26;276;682;789;561
2020;43;50;31;437;1075;1436;1150
2020;44;63;52;553;1523;2112;1701
2020;45;65;59;605;1703;2415;2072
2020;46;66;70;583;1742;2625;2526
2020;47;54;60;610;1695;2895;2845
2020;48;62;68;572;1724;2879;3096
2020;49;60;62;610;1687;3204;3626
2020;50;70;67;677;1988;3979;4575
2020;51;77;85;714;2203;4429;5135
2020;52;52;50;585;1869;3935;4617
2020;53;73;51;615;1926;3881;4495
2021;01;68;34;597;1845;4010;4703
2021;02;61;47;535;1612;3450;4263
2021;03;41;35;414;1506;3193;3736
2021;04;34;35;408;1256;2818;3023
2021;05;45;36;358;1153;2373;2541
2021;06;42;24;306;986;1970;1907
2021;07;37;23;312;1063;2016;1704
2021;08;47;30;325;1116;1825;1505
2021;09;53;29;353;1066;1677;1270
2021;10;53;39;415;1372;1749;1298
2021;11;84;70;497;1649;2182;1318
2021;12;94;91;628;2001;2542;1540
2021;13;95;87;628;2062;2647;1428
2021;14;112;72;752;2382;2852;1443
2021;15;93;85;768;2393;3045;1458
2021;16;96;89;803;2571;3025;1425
2021;17;78;102;656;2184;2563;1181
2021;18;82;68;566;1750;2090;964
2021;19;67;44;460;1277;1504;712
2021;20;49;42;357;865;971;506
2021;21;29;25;212;569;578;303
2021;22;13;22;156;397;349;204
2021;23;19;22;125;278;241;127
2021;24;16;7;86;202;135;79
2021;25;12;7;88;116;88;50
2021;26;6;10;65;110;89;37
2021;27;6;6;76;129;91;54
2021;28;11;3;101;158;91;48
2021;29;16;7;164;209;125;65
2021;30;20;21;173;295;176;98
2021;31;22;22;259;386;196;128
2021;32;56;38;377;670;341;176
2021;33;75;61;531;983;454;244
2021;34;86;76;653;1344;650;375
2021;35;77;72;620;1283;719;470
2021;36;97;83;576;1170;786;550
2021;37;78;54;466;977;653;526
2021;38;72;57;386;813;658;468
2021;39;66;54;381;793;648;582
2021;40;47;48;300;772;768;646
2021;41;47;54;381;853;926;769
2021;42;82;58;505;1182;1487;1353
2021;43;86;68;538;1508;1827;1752
2021;44;93;104;560;1624;2182;2210
2021;45;105;145;680;2010;2891;2538
2021;46;131;203;737;2346;3273;2946
2021;47;135;159;699;2373;3406;2916
2021;48;139;168;666;2173;2973;2456
2021;49;109;116;516;1249;2103;1815
