Meldejahr;Meldewoche;0 - 4 Jährige;5 - 14 Jährige;15 - 34 Jährige;35 - 59 Jährige;60 - 79 Jährige;80+ Jährige
2020;37;12;12;50;156;137;96
2020;38;8;10;77;235;206;138
2020;39;9;7;112;237;253;153
2020;40;15;9;115;274;285;174
2020;41;21;17;206;488;501;351
2020;42;24;25;262;672;780;558
2020;43;50;30;428;1047;1411;1123
2020;44;64;49;539;1490;2074;1681
2020;45;65;58;599;1680;2376;2040
2020;46;63;68;569;1704;2558;2489
2020;47;54;52;597;1654;2837;2802
2020;48;63;68;556;1670;2840;3032
2020;49;57;58;588;1648;3140;3572
2020;50;70;66;664;1928;3879;4463
2020;51;78;83;692;2142;4301;5009
2020;52;53;49;594;1821;3831;4520
2020;53;74;51;599;1847;3752;4361
2021;01;61;32;560;1727;3823;4532
2021;02;57;46;504;1540;3263;4085
2021;03;39;36;385;1405;3044;3559
2021;04;34;30;385;1169;2651;2864
2021;05;42;37;338;1072;2224;2373
2021;06;36;22;279;913;1823;1785
2021;07;35;22;300;979;1882;1584
2021;08;43;31;298;996;1660;1402
2021;09;49;28;304;921;1474;1145
2021;10;47;35;354;1128;1468;1107
2021;11;68;57;378;1173;1536;1045
2021;12;63;60;369;952;1253;925
