Meldejahr;Meldewoche;0 - 4 Jährige;5 - 14 Jährige;15 - 34 Jährige;35 - 59 Jährige;60 - 79 Jährige;80+ Jährige
2020;37;12;12;50;156;136;96
2020;38;8;10;77;235;206;138
2020;39;9;7;112;237;254;153
2020;40;15;9;115;274;285;174
2020;41;21;17;206;488;500;351
2020;42;24;25;261;672;779;557
2020;43;50;30;428;1045;1410;1123
2020;44;63;49;539;1489;2075;1680
2020;45;65;58;597;1674;2373;2036
2020;46;64;67;567;1703;2548;2485
2020;47;54;52;595;1652;2833;2797
2020;48;63;68;554;1669;2832;3028
2020;49;56;58;586;1643;3127;3558
2020;50;69;66;662;1925;3867;4453
2020;51;78;83;691;2138;4293;5002
2020;52;53;49;594;1812;3822;4499
2020;53;74;51;597;1836;3736;4343
2021;01;61;33;560;1720;3814;4517
2021;02;57;46;502;1538;3255;4072
2021;03;39;36;384;1393;3032;3546
2021;04;34;30;385;1164;2641;2855
2021;05;41;37;336;1068;2212;2353
2021;06;36;23;278;901;1806;1774
2021;07;36;22;293;972;1865;1575
2021;08;43;31;296;989;1628;1385
2021;09;48;27;300;883;1421;1094
2021;10;46;30;329;965;1308;1015
2021;11;62;53;306;762;1114;836
