Die dem RKI übermittelten COVID-19-Fälle nach Meldewoche, Altersgruppe und Angabe, dass eine Hospitalisierung vorlag für die Meldewochen KW 10 – 53/2020 und KW 01 - 27/2021;;;;;;;;
;;;;;;;;
;;;;;;;;
Stand: 13.07.2021 06:41:22;;;;;;;;
;;;;;;;;
;;0 - 4 Jährige;5 - 14 Jährige;15 - 34 Jährige;35 - 59 Jährige;60 - 79 Jährige;80+ Jährige;
Meldejahr;Meldewoche;A00..04;A05..14;A15..34;A35..59;A60..79;A80+;
2020;10;2;3;23;88;37;11;2020-KW10
2020;11;2;2;55;238;155;78;2020-KW11
2020;12;14;6;153;728;860;472;2020-KW12
2020;13;32;16;260;1363;2221;1260;2020-KW13
2020;14;27;17;311;1347;2486;1918;2020-KW14
2020;15;23;8;226;984;1766;1733;2020-KW15
2020;16;9;12;192;634;1278;1258;2020-KW16
2020;17;20;15;185;419;773;836;2020-KW17
2020;18;19;8;109;288;514;429;2020-KW18
2020;19;10;7;92;239;383;350;2020-KW19
2020;20;7;18;75;181;232;250;2020-KW20
2020;21;4;2;51;121;170;166;2020-KW21
2020;22;4;;38;123;138;117;2020-KW22
2020;23;3;5;40;94;90;75;2020-KW23
2020;24;10;5;47;83;70;72;2020-KW24
2020;25;5;3;52;121;81;62;2020-KW25
2020;26;3;7;46;104;79;57;2020-KW26
2020;27;3;4;55;92;55;53;2020-KW27
2020;28;7;6;35;98;80;32;2020-KW28
2020;29;9;5;61;107;91;48;2020-KW29
2020;30;10;8;54;112;105;45;2020-KW30
2020;31;2;5;50;148;108;77;2020-KW31
2020;32;4;3;70;148;113;64;2020-KW32
2020;33;11;13;78;152;115;77;2020-KW33
2020;34;9;11;95;171;105;45;2020-KW34
2020;35;6;8;68;149;100;39;2020-KW35
2020;36;4;8;77;144;121;50;2020-KW36
2020;37;12;12;54;161;141;96;2020-KW37
2020;38;8;10;82;238;210;139;2020-KW38
2020;39;9;7;110;242;258;153;2020-KW39
2020;40;15;9;117;280;290;175;2020-KW40
2020;41;21;17;211;495;508;356;2020-KW41
2020;42;24;26;272;679;786;561;2020-KW42
2020;43;51;33;443;1065;1420;1132;2020-KW43
2020;44;64;54;555;1512;2110;1695;2020-KW44
2020;45;66;60;609;1702;2403;2069;2020-KW45
2020;46;65;72;590;1738;2616;2522;2020-KW46
2020;47;53;60;614;1690;2880;2840;2020-KW47
2020;48;64;68;573;1719;2877;3087;2020-KW48
2020;49;59;60;608;1676;3190;3610;2020-KW49
2020;50;70;69;676;1983;3950;4555;2020-KW50
2020;51;77;86;718;2212;4417;5116;2020-KW51
2020;52;53;51;603;1870;3925;4605;2020-KW52
2020;53;73;51;615;1926;3849;4473;2020-KW53
2021;01;68;35;590;1832;3980;4687;2021-KW01
2021;02;61;50;539;1612;3431;4256;2021-KW02
2021;03;41;35;408;1490;3176;3715;2021-KW03
2021;04;35;34;408;1241;2811;3018;2021-KW04
2021;05;45;37;357;1140;2367;2537;2021-KW05
2021;06;42;23;304;984;1959;1903;2021-KW06
2021;07;36;23;311;1051;2006;1688;2021-KW07
2021;08;47;31;326;1098;1807;1506;2021-KW08
2021;09;50;31;343;1055;1659;1257;2021-KW09
2021;10;54;39;413;1365;1746;1290;2021-KW10
2021;11;85;72;484;1631;2162;1312;2021-KW11
2021;12;93;92;623;1967;2503;1521;2021-KW12
2021;13;93;89;620;2009;2612;1414;2021-KW13
2021;14;111;72;742;2349;2807;1428;2021-KW14
2021;15;94;87;774;2361;3017;1440;2021-KW15
2021;16;93;92;796;2542;2991;1410;2021-KW16
2021;17;75;102;643;2126;2520;1160;2021-KW17
2021;18;79;70;548;1671;2013;937;2021-KW18
2021;19;65;41;436;1187;1425;678;2021-KW19
2021;20;48;39;339;816;942;485;2021-KW20
2021;21;28;24;196;523;566;295;2021-KW21
2021;22;13;22;149;371;332;192;2021-KW22
2021;23;15;23;123;262;230;123;2021-KW23
2021;24;15;6;77;186;127;79;2021-KW24
2021;25;12;7;84;107;81;44;2021-KW25
2021;26;6;8;51;85;69;32;2021-KW26
2021;27;4;4;54;78;59;39;2021-KW27
