Die dem RKI übermittelten COVID-19-Fälle nach Meldewoche und  Geschlecht sowie Anteile mit für COVID-19 relevanten Symptomen, Anteile Hospitalisierter und Verstorbener für die Meldewochen KW 10 – 53/2020 und KW 01 - 19/2021;;;;;;;;;;;;
Meldejahr;MW;Fälle gesamt;Mittelwert Alter (Jahre);Männer;Frauen;Anzahl mit Angaben zu Symptomen;Anteil keine, bzw. keine für COVID-19 bedeutsamen Symptome;Anzahl mit Angaben zur Hospitalisierung;Anzahl hospitalisiert;Anteil hospitalisiert;Anzahl Verstorben;Anteil Verstorben
2020;10;899;43;53%;47%;838;8.4%;811;165;20%;12;1.33%
2020;11;6,428;45;56%;44%;5,767;5.4%;5,631;532;9%;84;1.31%
2020;12;22,407;45;55%;45%;20,154;3.9%;19,377;2,230;12%;473;2.11%
2020;13;33,970;48;49%;51%;30,828;3.3%;29,536;5,146;17%;1,458;4.29%
2020;14;36,052;51;45%;55%;32,040;5.6%;31,621;6,093;19%;2,257;6.26%
2020;15;27,155;52;43%;57%;23,610;8.5%;24,154;4,733;20%;1,877;6.91%
2020;16;17,339;51;45%;55%;14,879;11.5%;15,527;3,381;22%;1,218;7.02%
2020;17;12,359;50;45%;55%;10,281;14.0%;10,991;2,244;20%;723;5.85%
2020;18;7,440;48;48%;52%;6,266;17.5%;6,612;1,366;21%;387;5.20%
2020;19;6,240;47;48%;52%;5,252;19.6%;5,630;1,081;19%;257;4.12%
2020;20;4,761;45;50%;50%;3,954;23.2%;4,243;763;18%;164;3.44%
2020;21;3,598;44;50%;50%;2,841;26.6%;3,118;513;16%;112;3.11%
2020;22;3,206;42;52%;48%;2,588;24.3%;2,783;422;15%;65;2.03%
2020;23;2,351;39;51%;49%;1,842;23.3%;2,082;308;15%;45;1.91%
2020;24;2,341;37;54%;46%;1,754;24.9%;2,089;288;14%;33;1.41%
2020;25;4,124;36;59%;41%;2,939;25.1%;3,770;319;8%;41;0.99%
2020;26;3,211;37;55%;45%;2,330;23.4%;2,867;296;10%;23;0.72%
2020;27;2,690;36;52%;48%;2,066;26.6%;2,463;260;11%;26;0.97%
2020;28;2,426;36;56%;44%;1,934;24.0%;2,193;256;12%;25;1.03%
2020;29;3,017;36;52%;48%;2,362;22.9%;2,648;319;12%;30;0.99%
2020;30;3,927;36;52%;48%;3,175;27.2%;3,476;334;10%;33;0.84%
2020;31;4,823;36;50%;50%;3,715;24.5%;4,175;389;9%;32;0.66%
2020;32;6,054;34;54%;46%;4,550;30.0%;5,286;398;8%;31;0.51%
2020;33;7,951;32;53%;47%;5,854;33.2%;7,011;438;6%;30;0.38%
2020;34;9,593;32;55%;45%;7,212;34.5%;8,313;435;5%;30;0.31%
2020;35;8,820;32;53%;47%;6,876;30.7%;7,431;366;5%;18;0.20%
2020;36;8,616;33;54%;46%;6,658;27.2%;7,089;400;6%;36;0.42%
2020;37;9,769;35;52%;48%;7,610;20.5%;8,044;467;6%;66;0.68%
2020;38;12,292;36;51%;49%;9,767;18.7%;10,068;675;7%;79;0.64%
2020;39;13,060;37;52%;48%;10,373;18.2%;10,860;772;7%;107;0.82%
2020;40;15,927;38;52%;48%;12,617;17.5%;13,491;877;7%;121;0.76%
2020;41;26,126;39;51%;49%;20,133;16.7%;21,574;1593;7%;240;0.92%
2020;42;42,079;39;51%;49%;30,920;16.0%;33,738;2328;7%;461;1.10%
2020;43;74,807;40;50%;50%;52,466;15.5%;58,192;4108;7%;994;1.33%
2020;44;111,080;41;50%;50%;75,699;15.8%;84,088;5932;7%;1602;1.44%
2020;45;125,787;41;49%;51%;85,361;15.2%;92,891;6851;7%;1863;1.48%
2020;46;127,837;42;48%;52%;85,922;14.9%;94,670;7495;8%;2478;1.94%
2020;47;128,430;43;47%;53%;86,640;14.8%;94,242;8041;9%;3173;2.47%
2020;48;123,274;44;47%;53%;82,750;15.4%;90,229;8292;9%;3524;2.86%
2020;49;128,475;45;46%;54%;87,760;14.2%;94,454;9110;10%;4387;3.41%
2020;50;156,477;46;45%;55%;108,152;14.7%;114,996;11183;10%;5635;3.60%
2020;51;174,838;46;45%;55%;119,289;14.5%;126,965;12457;10%;6313;3.61%
2020;52;139,082;48;44%;56%;92,057;15.8%;100,561;10962;11%;5602;4.03%
2020;53;123,113;49;44%;56%;84,641;13.5%;90,813;10833;12%;5585;4.54%
2021;1;145,509;48;45%;55%;102,505;13.2%;108,023;10929;10%;5571;3.83%
2021;2;119,114;48;45%;55%;81,730;15.7%;88,338;9649;11%;4958;4.16%
2021;3;95,638;48;46%;54%;67,402;15.7%;73,064;8573;12%;3952;4.13%
2021;4;78,241;48;46%;54%;55,680;16.0%;61,578;7255;12%;3002;3.84%
2021;5;64,666;46;47%;53%;47,019;16.0%;51,632;6242;12%;2165;3.35%
2021;6;50,854;45;48%;52%;37,730;16.3%;40,782;4989;12%;1626;3.20%
2021;7;52,496;44;49%;51%;39,196;16.2%;42,309;4910;12%;1417;2.70%
2021;8;56,438;42;50%;50%;42,017;15.7%;45,074;4556;10%;1165;2.06%
2021;9;58,490;40;51%;49%;43,782;15.4%;46,462;4129;9%;975;1.67%
2021;10;71,461;39;50%;50%;53,272;15.6%;55,867;4591;8%;1033;1.45%
2021;11;92,759;39;50%;50%;68,762;15.3%;72,161;5356;7%;1180;1.27%
2021;12;116,566;38;51%;49%;83,311;15.8%;89,312;6335;7%;1387;1.19%
2021;13;110,399;39;51%;49%;77,110;15.3%;82,859;6205;7%;1391;1.26%
2021;14;118,545;39;51%;49%;83,324;14.0%;89,224;6703;8%;1334;1.13%
2021;15;142,472;38;51%;49%;96,763;15.8%;105,806;6877;6%;1269;0.89%
2021;16;145,231;37;52%;48%;96,059;16.6%;106,879;6782;6%;1076;0.74%
2021;17;125,140;37;52%;48%;83,174;16.8%;91,810;5552;6%;681;0.54%
2021;18;101,158;37;51%;49%;65,131;16.3%;72,635;3981;5%;350;0.35%
2021;19;70,221;37;51%;49%;41,021;17.2%;47,764;2347;5%;95;0.14%
