Geschlecht;Altersgruppe;"Anzahl Fälle";"Fälle pro 100.000 Einwohner";"Fälle vergangene 7 Tage";"Fälle vergangene 7 Tage pro 100.000 Einwohner";"verstorbene Fälle";"verstorbene Fälle pro 100.000 Einwohner"
m;0-9;5867;1562.2;523;139.3;0;0
m;10-19;9574;2404.6;524;131.6;0;0
m;20-29;16401;3326.1;757;153.5;2;0.4
m;30-39;13970;2883;740;152.7;12;2.5
m;40-49;12434;2594.2;630;131.4;27;5.6
m;50-59;14890;2245;746;112.5;87;13.1
m;60-69;8365;1692.9;367;74.3;260;52.6
m;70-79;4726;1362.5;194;55.9;569;164
m;80-89;4287;2245.2;88;46.1;1095;573.5
m;90+;1086;4999.8;18;82.9;389;1790.9
w;0-9;5287;1484.1;448;125.8;0;0
w;10-19;9464;2534;486;130.1;0;0
w;20-29;15792;3565.2;682;154;2;0.5
w;30-39;13638;2922;713;152.8;5;1.1
w;40-49;13713;2830.7;601;124.1;18;3.7
w;50-59;15674;2364.1;648;97.7;46;6.9
w;60-69;8174;1575.5;338;65.1;138;26.6
w;70-79;4913;1232.4;174;43.6;330;82.8
w;80-89;7532;2666.1;110;38.9;1090;385.8
w;90+;3595;6072.8;40;67.6;720;1216.3
d;0-9;0;;0;;0;
d;10-19;1;;0;;0;
d;20-29;1;;0;;0;
d;30-39;2;;0;;0;
d;40-49;2;;0;;0;
d;50-59;0;;0;;0;
d;60-69;1;;0;;0;
d;70-79;0;;0;;0;
d;80-89;0;;0;;0;
d;90+;0;;0;;0;
