Geschlecht;Altersgruppe;"Anzahl Fälle";"Fälle pro 100.000 Einwohner";"Fälle vergangene 7 Tage";"Fälle vergangene 7 Tage pro 100.000 Einwohner";"verstorbene Fälle";"verstorbene Fälle pro 100.000 Einwohner"
m;0-9;3922;1044.3;190;50.6;0;0
m;10-19;7321;1838.7;238;59.8;0;0
m;20-29;12799;2595.6;414;84;2;0.4
m;30-39;10603;2188.1;354;73.1;6;1.2
m;40-49;9432;1967.9;360;75.1;23;4.8
m;50-59;11393;1717.8;414;62.4;54;8.1
m;60-69;6459;1307.1;228;46.1;201;40.7
m;70-79;3766;1085.7;165;47.6;415;119.6
m;80-89;3609;1890.2;190;99.5;829;434.2
m;90+;926;4263.2;55;253.2;296;1362.7
w;0-9;3570;1002.1;138;38.7;0;0
w;10-19;7245;1939.9;226;60.5;0;0
w;20-29;12566;2836.9;396;89.4;2;0.5
w;30-39;10438;2236.4;385;82.5;1;0.2
w;40-49;10741;2217.2;373;77;13;2.7
w;50-59;12428;1874.5;486;73.3;34;5.1
w;60-69;6425;1238.4;251;48.4;100;19.3
w;70-79;3906;979.8;165;41.4;233;58.4
w;80-89;6476;2292.3;350;123.9;804;284.6
w;90+;3147;5316.1;144;243.3;555;937.5
d;0-9;0;;0;;0;
d;10-19;1;;0;;0;
d;20-29;1;;0;;0;
d;30-39;2;;1;;0;
d;40-49;2;;0;;0;
d;50-59;0;;0;;0;
d;60-69;1;;0;;0;
d;70-79;0;;0;;0;
d;80-89;0;;0;;0;
d;90+;0;;0;;0;
