Geschlecht;Altersgruppe;"Anzahl Fälle";"Fälle pro 100.000 Einwohner";"Fälle vergangene 7 Tage";"Fälle vergangene 7 Tage pro 100.000 Einwohner";"verstorbene Fälle";"verstorbene Fälle pro 100.000 Einwohner"
m;0-9;4524;1204.6;215;57.2;0;0
m;10-19;8089;2031.6;281;70.6;0;0
m;20-29;14114;2862.3;463;93.9;2;0.4
m;30-39;11764;2427.7;380;78.4;7;1.4
m;40-49;10498;2190.3;357;74.5;25;5.2
m;50-59;12774;1926;451;68;70;10.6
m;60-69;7240;1465.2;234;47.4;227;45.9
m;70-79;4176;1203.9;118;34;514;148.2
m;80-89;3993;2091.3;106;55.5;989;518
m;90+;1034;4760.4;21;96.7;356;1639
w;0-9;4076;1144.1;158;44.4;0;0
w;10-19;8045;2154.1;316;84.6;0;0
w;20-29;13780;3111;406;91.7;2;0.5
w;30-39;11587;2482.6;368;78.8;2;0.4
w;40-49;11919;2460.4;381;78.6;15;3.1
w;50-59;13765;2076.1;433;65.3;38;5.7
w;60-69;7126;1373.5;236;45.5;117;22.6
w;70-79;4334;1087.1;153;38.4;281;70.5
w;80-89;7075;2504.3;162;57.3;985;348.7
w;90+;3446;5821.1;65;109.8;652;1101.4
d;0-9;0;;0;;0;
d;10-19;1;;0;;0;
d;20-29;1;;0;;0;
d;30-39;2;;0;;0;
d;40-49;2;;0;;0;
d;50-59;0;;0;;0;
d;60-69;1;;0;;0;
d;70-79;0;;0;;0;
d;80-89;0;;0;;0;
d;90+;0;;0;;0;
