Geschlecht;Altersgruppe;"Anzahl Fälle";"Fälle pro 100.000 Einwohner";"Fälle vergangene 7 Tage";"Fälle vergangene 7 Tage pro 100.000 Einwohner";"verstorbene Fälle";"verstorbene Fälle pro 100.000 Einwohner"
m;0-9;4288;1141.8;186;49.5;0;0
m;10-19;7791;1956.8;251;63;0;0
m;20-29;13619;2761.9;439;89;2;0.4
m;30-39;11358;2343.9;367;75.7;7;1.4
m;40-49;10117;2110.8;359;74.9;24;5
m;50-59;12303;1855;497;74.9;65;9.8
m;60-69;6991;1414.8;280;56.7;223;45.1
m;70-79;4053;1168.5;145;41.8;486;140.1
m;80-89;3883;2033.7;113;59.2;941;492.8
m;90+;1020;4695.9;43;198;341;1569.9
w;0-9;3908;1097;162;45.5;0;0
w;10-19;7710;2064.4;245;65.6;0;0
w;20-29;13344;3012.6;430;97.1;2;0.5
w;30-39;11189;2397.3;355;76.1;1;0.2
w;40-49;11516;2377.2;417;86.1;14;2.9
w;50-59;13307;2007.1;476;71.8;38;5.7
w;60-69;6874;1325;226;43.6;114;22
w;70-79;4173;1046.8;130;32.6;267;67
w;80-89;6905;2444.1;193;68.3;939;332.4
w;90+;3389;5724.9;112;189.2;620;1047.3
d;0-9;0;;0;;0;
d;10-19;1;;0;;0;
d;20-29;1;;0;;0;
d;30-39;2;;0;;0;
d;40-49;2;;0;;0;
d;50-59;0;;0;;0;
d;60-69;1;;0;;0;
d;70-79;0;;0;;0;
d;80-89;0;;0;;0;
d;90+;0;;0;;0;
