Geschlecht;Altersgruppe;"Anzahl Fälle";"Fälle pro 100.000 Einwohner";"Fälle vergangene 7 Tage";"Fälle vergangene 7 Tage pro 100.000 Einwohner";"verstorbene Fälle";"verstorbene Fälle pro 100.000 Einwohner"
m;0-9;8014;2133.9;590;157.1;0;0
m;10-19;12237;3073.4;696;174.8;0;0
m;20-29;19904;4036.5;852;172.8;2;0.4
m;30-39;17327;3575.8;817;168.6;13;2.7
m;40-49;15421;3217.4;738;154;32;6.7
m;50-59;17911;2700.5;762;114.9;104;15.7
m;60-69;9924;2008.4;398;80.5;294;59.5
m;70-79;5457;1573.2;143;41.2;643;185.4
m;80-89;4624;2421.7;73;38.2;1183;619.6
m;90+;1141;5253;11;50.6;413;1901.4
w;0-9;7228;2028.9;535;150.2;0;0
w;10-19;11994;3211.4;635;170;0;0
w;20-29;18857;4257.2;728;164.4;3;0.7
w;30-39;16679;3573.5;693;148.5;6;1.3
w;40-49;16474;3400.7;660;136.2;20;4.1
w;50-59;18290;2758.6;609;91.9;51;7.7
w;60-69;9665;1862.9;341;65.7;160;30.8
w;70-79;5627;1411.5;139;34.9;369;92.6
w;80-89;8016;2837.4;86;30.4;1161;411
w;90+;3730;6300.9;33;55.7;756;1277.1
d;0-9;0;;0;;0;
d;10-19;1;;0;;0;
d;20-29;1;;0;;0;
d;30-39;2;;0;;0;
d;40-49;2;;0;;0;
d;50-59;0;;0;;0;
d;60-69;1;;0;;0;
d;70-79;0;;0;;0;
d;80-89;0;;0;;0;
d;90+;0;;0;;0;
