Geschlecht;Altersgruppe;"Anzahl Fälle";"Fälle pro 100.000 Einwohner";"Fälle vergangene 7 Tage";"Fälle vergangene 7 Tage pro 100.000 Einwohner";"verstorbene Fälle";"verstorbene Fälle pro 100.000 Einwohner"
m;0-9;6084;1620;557;148.3;0;0
m;10-19;9797;2460.6;563;141.4;0;0
m;20-29;16732;3393.2;854;173.2;2;0.4
m;30-39;14300;2951.1;841;173.6;12;2.5
m;40-49;12667;2642.8;680;141.9;27;5.6
m;50-59;15123;2280.2;750;113.1;87;13.1
m;60-69;8495;1719.2;372;75.3;261;52.8
m;70-79;4798;1383.3;195;56.2;573;165.2
m;80-89;4312;2258.3;87;45.6;1099;575.6
m;90+;1095;5041.2;21;96.7;390;1795.5
w;0-9;5463;1533.5;464;130.2;0;0
w;10-19;9665;2587.8;493;132;0;0
w;20-29;16085;3631.4;754;170.2;2;0.5
w;30-39;13922;2982.8;762;163.3;5;1.1
w;40-49;13948;2879.2;651;134.4;18;3.7
w;50-59;15898;2397.9;654;98.6;46;6.9
w;60-69;8321;1603.9;397;76.5;138;26.6
w;70-79;4988;1251.2;191;47.9;333;83.5
w;80-89;7588;2685.9;137;48.5;1093;386.9
w;90+;3613;6103.2;49;82.8;720;1216.3
d;0-9;0;;0;;0;
d;10-19;1;;0;;0;
d;20-29;1;;0;;0;
d;30-39;2;;0;;0;
d;40-49;2;;0;;0;
d;50-59;0;;0;;0;
d;60-69;1;;0;;0;
d;70-79;0;;0;;0;
d;80-89;0;;0;;0;
d;90+;0;;0;;0;
