Geschlecht;Altersgruppe;"Anzahl Fälle";"Fälle pro 100.000 Einwohner";"Fälle vergangene 7 Tage";"Fälle vergangene 7 Tage pro 100.000 Einwohner";"verstorbene Fälle";"verstorbene Fälle pro 100.000 Einwohner"
m;0-9;5120;1363.3;305;81.2;0;0
m;10-19;8791;2207.9;347;87.2;0;0
m;20-29;15210;3084.6;572;116;2;0.4
m;30-39;12821;2645.9;557;114.9;12;2.5
m;40-49;11448;2388.5;479;99.9;26;5.4
m;50-59;13759;2074.5;494;74.5;79;11.9
m;60-69;7808;1580.1;276;55.9;243;49.2
m;70-79;4436;1278.9;119;34.3;544;156.8
m;80-89;4147;2171.9;66;34.6;1051;550.4
m;90+;1062;4889.3;13;59.8;378;1740.3
w;0-9;4622;1297.4;296;83.1;0;0
w;10-19;8711;2332.4;346;92.6;0;0
w;20-29;14755;3331.1;496;112;2;0.5
w;30-39;12539;2686.5;496;106.3;5;1.1
w;40-49;12791;2640.4;471;97.2;17;3.5
w;50-59;14675;2213.4;434;65.5;42;6.3
w;60-69;7642;1473;247;47.6;129;24.9
w;70-79;4638;1163.4;129;32.4;313;78.5
w;80-89;7325;2592.8;124;43.9;1064;376.6
w;90+;3529;5961.4;36;60.8;703;1187.5
d;0-9;0;;0;;0;
d;10-19;1;;0;;0;
d;20-29;1;;0;;0;
d;30-39;2;;0;;0;
d;40-49;2;;0;;0;
d;50-59;0;;0;;0;
d;60-69;1;;0;;0;
d;70-79;0;;0;;0;
d;80-89;0;;0;;0;
d;90+;0;;0;;0;
