Geschlecht;Altersgruppe;"Anzahl Fälle";"Fälle pro 100.000 Einwohner";"Fälle vergangene 7 Tage";"Fälle vergangene 7 Tage pro 100.000 Einwohner";"verstorbene Fälle";"verstorbene Fälle pro 100.000 Einwohner"
m;0-9;3939;1048.8;198;52.7;0;0
m;10-19;7331;1841.3;238;59.8;0;0
m;20-29;12821;2600.1;419;85;2;0.4
m;30-39;10630;2193.7;367;75.7;6;1.2
m;40-49;9442;1970;352;73.4;23;4.8
m;50-59;11415;1721.1;422;63.6;54;8.1
m;60-69;6471;1309.6;234;47.4;201;40.7
m;70-79;3773;1087.7;168;48.4;418;120.5
m;80-89;3618;1894.9;193;101.1;832;435.7
m;90+;927;4267.8;53;244;298;1371.9
w;0-9;3587;1006.9;144;40.4;0;0
w;10-19;7258;1943.3;222;59.4;0;0
w;20-29;12582;2840.5;396;89.4;2;0.5
w;30-39;10464;2241.9;393;84.2;1;0.2
w;40-49;10766;2222.4;369;76.2;13;2.7
w;50-59;12455;1878.6;486;73.3;34;5.1
w;60-69;6440;1241.3;259;49.9;102;19.7
w;70-79;3911;981;167;41.9;232;58.2
w;80-89;6501;2301.1;362;128.1;810;286.7
w;90+;3156;5331.3;144;243.3;556;939.2
d;0-9;0;;0;;0;
d;10-19;1;;0;;0;
d;20-29;1;;0;;0;
d;30-39;2;;1;;0;
d;40-49;2;;0;;0;
d;50-59;0;;0;;0;
d;60-69;1;;0;;0;
d;70-79;0;;0;;0;
d;80-89;0;;0;;0;
d;90+;0;;0;;0;
