Geschlecht;Altersgruppe;"Anzahl Fälle";"Fälle pro 100.000 Einwohner";"Fälle vergangene 7 Tage";"Fälle vergangene 7 Tage pro 100.000 Einwohner";"verstorbene Fälle";"verstorbene Fälle pro 100.000 Einwohner"
m;0-9;6649;1770.4;336;89.5;0;0
m;10-19;10474;2630.6;397;99.7;0;0
m;20-29;17727;3595;606;122.9;2;0.4
m;30-39;15240;3145.1;542;111.9;13;2.7
m;40-49;13562;2829.5;493;102.9;28;5.8
m;50-59;16049;2419.8;544;82;98;14.8
m;60-69;8990;1819.4;298;60.3;267;54
m;70-79;5033;1451;150;43.2;599;172.7
m;80-89;4427;2318.6;62;32.5;1143;598.6
m;90+;1110;5110.3;14;64.5;398;1832.3
w;0-9;6015;1688.4;312;87.6;0;0
w;10-19;10336;2767.5;411;110;1;0.3
w;20-29;16984;3834.3;534;120.6;3;0.7
w;30-39;14858;3183.4;544;116.6;6;1.3
w;40-49;14774;3049.7;482;99.5;19;3.9
w;50-59;16709;2520.2;475;71.6;48;7.2
w;60-69;8784;1693.1;277;53.4;147;28.3
w;70-79;5207;1306.1;123;30.9;342;85.8
w;80-89;7765;2748.6;115;40.7;1118;395.7
w;90+;3647;6160.7;25;42.2;738;1246.7
d;0-9;0;;0;;0;
d;10-19;1;;0;;0;
d;20-29;1;;0;;0;
d;30-39;2;;0;;0;
d;40-49;2;;0;;0;
d;50-59;0;;0;;0;
d;60-69;1;;0;;0;
d;70-79;0;;0;;0;
d;80-89;0;;0;;0;
d;90+;0;;0;;0;
