Geschlecht;Altersgruppe;"Anzahl Fälle";"Fälle pro 100.000 Einwohner";"Fälle vergangene 7 Tage";"Fälle vergangene 7 Tage pro 100.000 Einwohner";"verstorbene Fälle";"verstorbene Fälle pro 100.000 Einwohner"
m;0-9;5072;1350.5;280;74.6;0;0
m;10-19;8738;2194.6;333;83.6;0;0
m;20-29;15116;3065.5;537;108.9;2;0.4
m;30-39;12757;2632.7;549;113.3;9;1.9
m;40-49;11384;2375.1;460;96;26;5.4
m;50-59;13691;2064.3;476;71.8;79;11.9
m;60-69;7768;1572.1;271;54.8;241;48.8
m;70-79;4422;1274.9;124;35.7;544;156.8
m;80-89;4138;2167.2;62;32.5;1047;548.3
m;90+;1062;4889.3;14;64.5;375;1726.4
w;0-9;4586;1287.3;279;78.3;0;0
w;10-19;8667;2320.6;342;91.6;0;0
w;20-29;14685;3315.3;479;108.1;2;0.5
w;30-39;12475;2672.8;478;102.4;4;0.9
w;40-49;12735;2628.8;452;93.3;17;3.5
w;50-59;14617;2204.6;429;64.7;41;6.2
w;60-69;7618;1468.4;245;47.2;128;24.7
w;70-79;4627;1160.6;131;32.9;310;77.8
w;80-89;7316;2589.6;121;42.8;1062;375.9
w;90+;3528;5959.7;35;59.1;698;1179.1
d;0-9;0;;0;;0;
d;10-19;1;;0;;0;
d;20-29;1;;0;;0;
d;30-39;2;;0;;0;
d;40-49;2;;0;;0;
d;50-59;0;;0;;0;
d;60-69;1;;0;;0;
d;70-79;0;;0;;0;
d;80-89;0;;0;;0;
d;90+;0;;0;;0;
