Geschlecht;Altersgruppe;"Anzahl Fälle";"Fälle pro 100.000 Einwohner";"Fälle vergangene 7 Tage";"Fälle vergangene 7 Tage pro 100.000 Einwohner";"verstorbene Fälle";"verstorbene Fälle pro 100.000 Einwohner"
m;0-9;4635;1234.2;230;61.2;0;0
m;10-19;8232;2067.5;282;70.8;0;0
m;20-29;14348;2909.8;429;87;2;0.4
m;30-39;11997;2475.8;416;85.8;9;1.9
m;40-49;10716;2235.8;370;77.2;26;5.4
m;50-59;12984;1957.7;400;60.3;72;10.9
m;60-69;7366;1490.7;238;48.2;234;47.4
m;70-79;4243;1223.2;119;34.3;529;152.5
m;80-89;4029;2110.1;83;43.5;1004;525.8
m;90+;1042;4797.2;14;64.5;361;1662
w;0-9;4186;1175;196;55;0;0
w;10-19;8174;2188.6;304;81.4;0;0
w;20-29;13996;3159.8;397;89.6;2;0.5
w;30-39;11771;2522;369;79.1;2;0.4
w;40-49;12099;2497.5;372;76.8;16;3.3
w;50-59;13959;2105.4;382;57.6;40;6
w;60-69;7244;1396.3;219;42.2;121;23.3
w;70-79;4417;1108;154;38.6;291;73
w;80-89;7139;2527;138;48.8;1014;358.9
w;90+;3465;5853.2;41;69.3;670;1131.8
d;0-9;0;;0;;0;
d;10-19;1;;0;;0;
d;20-29;1;;0;;0;
d;30-39;2;;0;;0;
d;40-49;2;;0;;0;
d;50-59;0;;0;;0;
d;60-69;1;;0;;0;
d;70-79;0;;0;;0;
d;80-89;0;;0;;0;
d;90+;0;;0;;0;
