Geschlecht;Altersgruppe;"Anzahl Fälle";"Fälle pro 100.000 Einwohner";"Fälle vergangene 7 Tage";"Fälle vergangene 7 Tage pro 100.000 Einwohner";"verstorbene Fälle";"verstorbene Fälle pro 100.000 Einwohner"
m;0-9;3840;1022.5;156;41.5;0;0
m;10-19;7231;1816.1;241;60.5;0;0
m;20-29;12642;2563.8;406;82.3;2;0.4
m;30-39;10481;2163;351;72.4;6;1.2
m;40-49;9333;1947.2;370;77.2;23;4.8
m;50-59;11254;1696.8;425;64.1;51;7.7
m;60-69;6379;1291;247;50;197;39.9
m;70-79;3712;1070.2;174;50.2;411;118.5
m;80-89;3546;1857.2;204;106.8;816;427.4
m;90+;910;4189.5;64;294.6;295;1358.1
w;0-9;3512;985.8;155;43.5;0;0
w;10-19;7177;1921.6;260;69.6;0;0
w;20-29;12434;2807.1;422;95.3;2;0.5
w;30-39;10307;2208.3;383;82.1;1;0.2
w;40-49;10648;2198;423;87.3;13;2.7
w;50-59;12276;1851.6;501;75.6;34;5.1
w;60-69;6338;1221.7;248;47.8;100;19.3
w;70-79;3852;966.2;163;40.9;222;55.7
w;80-89;6361;2251.6;358;126.7;787;278.6
w;90+;3104;5243.4;185;312.5;547;924
d;0-9;0;;0;;0;
d;10-19;1;;0;;0;
d;20-29;1;;0;;0;
d;30-39;2;;1;;0;
d;40-49;2;;0;;0;
d;50-59;0;;0;;0;
d;60-69;1;;0;;0;
d;70-79;0;;0;;0;
d;80-89;0;;0;;0;
d;90+;0;;0;;0;
