Geschlecht;Altersgruppe;"Anzahl Fälle";"Fälle pro 100.000 Einwohner";"Fälle vergangene 7 Tage";"Fälle vergangene 7 Tage pro 100.000 Einwohner";"verstorbene Fälle";"verstorbene Fälle pro 100.000 Einwohner"
m;0-9;7815;2080.9;613;163.2;0;0
m;10-19;11973;3007.1;745;187.1;0;0
m;20-29;19606;3976.1;885;179.5;2;0.4
m;30-39;17035;3515.5;855;176.4;13;2.7
m;40-49;15167;3164.4;758;158.1;32;6.7
m;50-59;17645;2660.4;752;113.4;104;15.7
m;60-69;9762;1975.6;358;72.5;289;58.5
m;70-79;5422;1563.1;176;50.7;636;183.4
m;80-89;4603;2410.7;80;41.9;1179;617.5
m;90+;1136;5230;13;59.8;411;1892.2
w;0-9;7014;1968.9;529;148.5;0;0
w;10-19;11790;3156.8;761;203.8;0;0
w;20-29;18624;4204.6;771;174.1;3;0.7
w;30-39;16424;3518.9;717;153.6;6;1.3
w;40-49;16231;3350.5;674;139.1;20;4.1
w;50-59;18063;2724.4;615;92.8;51;7.7
w;60-69;9541;1839;332;64;155;29.9
w;70-79;5592;1402.7;174;43.6;364;91.3
w;80-89;7999;2831.4;102;36.1;1153;408.1
w;90+;3723;6289.1;41;69.3;753;1272
d;0-9;0;;0;;0;
d;10-19;1;;0;;0;
d;20-29;1;;0;;0;
d;30-39;2;;0;;0;
d;40-49;2;;0;;0;
d;50-59;0;;0;;0;
d;60-69;1;;0;;0;
d;70-79;0;;0;;0;
d;80-89;0;;0;;0;
d;90+;0;;0;;0;
