Geschlecht;Altersgruppe;"Anzahl Fälle";"Fälle pro 100.000 Einwohner";"Fälle vergangene 7 Tage";"Fälle vergangene 7 Tage pro 100.000 Einwohner";"verstorbene Fälle";"verstorbene Fälle pro 100.000 Einwohner"
m;0-9;4244;1130.1;168;44.7;0;0
m;10-19;7742;1944.5;218;54.8;0;0
m;20-29;13525;2742.9;389;78.9;2;0.4
m;30-39;11296;2331.1;344;71;7;1.4
m;40-49;10064;2099.7;343;71.6;24;5
m;50-59;12215;1841.7;443;66.8;65;9.8
m;60-69;6939;1404.3;263;53.2;223;45.1
m;70-79;4028;1161.3;131;37.8;483;139.2
m;80-89;3866;2024.8;109;57.1;939;491.8
m;90+;1014;4668.3;42;193.4;340;1565.3
w;0-9;3883;1090;164;46;0;0
w;10-19;7673;2054.4;242;64.8;0;0
w;20-29;13292;3000.8;415;93.7;2;0.5
w;30-39;11135;2385.7;343;73.5;1;0.2
w;40-49;11450;2363.6;381;78.6;14;2.9
w;50-59;13240;1997;447;67.4;38;5.7
w;60-69;6836;1317.6;216;41.6;114;22
w;70-79;4145;1039.7;113;28.3;266;66.7
w;80-89;6870;2431.8;178;63;938;332
w;90+;3374;5699.5;104;175.7;620;1047.3
d;0-9;0;;0;;0;
d;10-19;1;;0;;0;
d;20-29;1;;0;;0;
d;30-39;2;;0;;0;
d;40-49;2;;0;;0;
d;50-59;0;;0;;0;
d;60-69;1;;0;;0;
d;70-79;0;;0;;0;
d;80-89;0;;0;;0;
d;90+;0;;0;;0;
