Geschlecht;Altersgruppe;"Anzahl Fälle";"Fälle pro 100.000 Einwohner";"Fälle vergangene 7 Tage";"Fälle vergangene 7 Tage pro 100.000 Einwohner";"verstorbene Fälle";"verstorbene Fälle pro 100.000 Einwohner"
m;0-9;4211;1121.3;171;45.5;0;0
m;10-19;7706;1935.4;241;60.5;0;0
m;20-29;13458;2729.3;401;81.3;2;0.4
m;30-39;11238;2319.2;352;72.6;7;1.4
m;40-49;10008;2088;332;69.3;25;5.2
m;50-59;12149;1831.8;457;68.9;63;9.5
m;60-69;6897;1395.8;259;52.4;220;44.5
m;70-79;4007;1155.2;140;40.4;481;138.7
m;80-89;3852;2017.4;127;66.5;935;489.7
m;90+;1008;4640.7;47;216.4;339;1560.7
w;0-9;3853;1081.5;172;48.3;0;0
w;10-19;7633;2043.7;253;67.7;0;0
w;20-29;13206;2981.4;410;92.6;2;0.5
w;30-39;11071;2372;364;78;1;0.2
w;40-49;11387;2350.6;399;82.4;13;2.7
w;50-59;13155;1984.1;435;65.6;37;5.6
w;60-69;6810;1312.6;243;46.8;113;21.8
w;70-79;4123;1034.2;119;29.8;263;66
w;80-89;6841;2421.5;191;67.6;931;329.5
w;90+;3354;5665.7;107;180.7;616;1040.6
d;0-9;0;;0;;0;
d;10-19;1;;0;;0;
d;20-29;1;;0;;0;
d;30-39;2;;0;;0;
d;40-49;2;;0;;0;
d;50-59;0;;0;;0;
d;60-69;1;;0;;0;
d;70-79;0;;0;;0;
d;80-89;0;;0;;0;
d;90+;0;;0;;0;
