Geschlecht;Altersgruppe;"Anzahl Fälle";"Fälle pro 100.000 Einwohner";"Fälle vergangene 7 Tage";"Fälle vergangene 7 Tage pro 100.000 Einwohner";"verstorbene Fälle";"verstorbene Fälle pro 100.000 Einwohner"
m;0-9;6737;1793.9;341;90.8;0;0
m;10-19;10597;2661.5;425;106.7;0;0
m;20-29;17919;3634;638;129.4;2;0.4
m;30-39;15438;3185.9;585;120.7;13;2.7
m;40-49;13728;2864.2;540;112.7;30;6.3
m;50-59;16211;2444.2;593;89.4;99;14.9
m;60-69;9076;1836.8;318;64.4;270;54.6
m;70-79;5075;1463.1;163;47;599;172.7
m;80-89;4437;2323.8;53;27.8;1146;600.2
m;90+;1115;5133.3;14;64.5;398;1832.3
w;0-9;6089;1709.2;305;85.6;0;0
w;10-19;10440;2795.3;424;113.5;0;0
w;20-29;17142;3870;569;128.5;3;0.7
w;30-39;15016;3217.2;574;123;6;1.3
w;40-49;14920;3079.9;507;104.7;19;3.9
w;50-59;16863;2543.4;488;73.6;49;7.4
w;60-69;8856;1707;286;55.1;147;28.3
w;70-79;5239;1314.1;121;30.4;346;86.8
w;80-89;7796;2759.5;125;44.2;1123;397.5
w;90+;3654;6172.5;31;52.4;740;1250
d;0-9;0;;0;;0;
d;10-19;1;;0;;0;
d;20-29;2;;1;;0;
d;30-39;2;;0;;0;
d;40-49;2;;0;;0;
d;50-59;0;;0;;0;
d;60-69;1;;0;;0;
d;70-79;0;;0;;0;
d;80-89;0;;0;;0;
d;90+;0;;0;;0;
