Geschlecht;Altersgruppe;"Anzahl Fälle";"Fälle pro 100.000 Einwohner";"Fälle vergangene 7 Tage";"Fälle vergangene 7 Tage pro 100.000 Einwohner";"verstorbene Fälle";"verstorbene Fälle pro 100.000 Einwohner"
m;0-9;5174;1377.7;319;84.9;0;0
m;10-19;8853;2223.5;353;88.7;0;0
m;20-29;15298;3102.4;580;117.6;2;0.4
m;30-39;12904;2663;548;113.1;11;2.3
m;40-49;11531;2405.8;488;101.8;27;5.6
m;50-59;13851;2088.4;503;75.8;80;12.1
m;60-69;7855;1589.7;277;56.1;246;49.8
m;70-79;4464;1287;123;35.5;548;158
m;80-89;4161;2179.3;71;37.2;1057;553.6
m;90+;1062;4889.3;14;64.5;378;1740.3
w;0-9;4673;1311.7;313;87.9;0;0
w;10-19;8770;2348.2;362;96.9;0;0
w;20-29;14849;3352.3;517;116.7;2;0.5
w;30-39;12627;2705.4;500;107.1;5;1.1
w;40-49;12873;2657.3;472;97.4;17;3.5
w;50-59;14764;2226.8;448;67.6;43;6.5
w;60-69;7683;1480.9;245;47.2;131;25.3
w;70-79;4667;1170.7;131;32.9;317;79.5
w;80-89;7350;2601.7;137;48.5;1068;378
w;90+;3536;5973.2;41;69.3;704;1189.2
d;0-9;0;;0;;0;
d;10-19;1;;0;;0;
d;20-29;1;;0;;0;
d;30-39;2;;0;;0;
d;40-49;2;;0;;0;
d;50-59;0;;0;;0;
d;60-69;1;;0;;0;
d;70-79;0;;0;;0;
d;80-89;0;;0;;0;
d;90+;0;;0;;0;
