Geschlecht;Altersgruppe;"Anzahl Fälle";"Fälle pro 100.000 Einwohner";"Fälle vergangene 7 Tage";"Fälle vergangene 7 Tage pro 100.000 Einwohner";"verstorbene Fälle";"verstorbene Fälle pro 100.000 Einwohner"
m;0-9;7176;1910.8;504;134.2;0;0
m;10-19;11205;2814.2;694;174.3;0;0
m;20-29;18684;3789.1;907;183.9;2;0.4
m;30-39;16161;3335.1;863;178.1;13;2.7
m;40-49;14379;3000;794;165.7;32;6.7
m;50-59;16870;2543.6;774;116.7;101;15.2
m;60-69;9396;1901.5;381;77.1;280;56.7
m;70-79;5244;1511.8;200;57.7;619;178.5
m;80-89;4524;2369.4;91;47.7;1168;611.7
m;90+;1126;5183.9;13;59.8;406;1869.2
w;0-9;6459;1813.1;432;121.3;0;0
w;10-19;11002;2945.8;628;168.1;0;0
w;20-29;17836;4026.7;806;182;3;0.7
w;30-39;15693;3362.3;802;171.8;6;1.3
w;40-49;15536;3207;716;147.8;20;4.1
w;50-59;17422;2627.7;664;100.1;50;7.5
w;60-69;9194;1772.1;389;75;152;29.3
w;70-79;5411;1357.3;190;47.7;354;88.8
w;80-89;7889;2792.4;119;42.1;1144;404.9
w;90+;3687;6228.3;37;62.5;746;1260.2
d;0-9;0;;0;;0;
d;10-19;1;;0;;0;
d;20-29;1;;0;;0;
d;30-39;2;;0;;0;
d;40-49;2;;0;;0;
d;50-59;0;;0;;0;
d;60-69;1;;0;;0;
d;70-79;0;;0;;0;
d;80-89;0;;0;;0;
d;90+;0;;0;;0;
