Geschlecht;Altersgruppe;"Anzahl Fälle";"Fälle pro 100.000 Einwohner";"Fälle vergangene 7 Tage";"Fälle vergangene 7 Tage pro 100.000 Einwohner";"verstorbene Fälle";"verstorbene Fälle pro 100.000 Einwohner"
m;0-9;3407;907.2;224;59.6;0;0
m;10-19;6627;1664.4;355;89.2;0;0
m;20-29;11545;2341.3;600;121.7;2;0.4
m;30-39;9488;1958;492;101.5;6;1.2
m;40-49;8467;1766.5;468;97.6;19;4
m;50-59;10128;1527;563;84.9;42;6.3
m;60-69;5661;1145.6;348;70.4;155;31.4
m;70-79;3260;939.8;249;71.8;337;97.2
m;80-89;2993;1567.5;257;134.6;653;342
m;90+;758;3489.7;83;382.1;232;1068.1
w;0-9;3128;878;179;50.2;0;0
w;10-19;6546;1752.7;348;93.2;0;0
w;20-29;11302;2551.6;617;139.3;1;0.2
w;30-39;9292;1990.8;474;101.6;1;0.2
w;40-49;9534;1968.1;510;105.3;11;2.3
w;50-59;10969;1654.4;661;99.7;29;4.4
w;60-69;5657;1090.4;382;73.6;76;14.6
w;70-79;3367;844.6;262;65.7;175;43.9
w;80-89;5398;1910.7;500;177;621;219.8
w;90+;2642;4463;289;488.2;444;750
d;0-9;0;;0;;0;
d;10-19;1;;0;;0;
d;20-29;1;;0;;0;
d;30-39;1;;0;;0;
d;40-49;1;;0;;0;
d;50-59;0;;0;;0;
d;60-69;1;;0;;0;
d;70-79;0;;0;;0;
d;80-89;0;;0;;0;
d;90+;0;;0;;0;
