Geschlecht;Altersgruppe;"Anzahl Fälle";"Fälle pro 100.000 Einwohner";"Fälle vergangene 7 Tage";"Fälle vergangene 7 Tage pro 100.000 Einwohner";"verstorbene Fälle";"verstorbene Fälle pro 100.000 Einwohner"
m;0-9;4589;1221.9;223;59.4;0;0
m;10-19;8173;2052.7;280;70.3;0;0
m;20-29;14233;2886.4;433;87.8;2;0.4
m;30-39;11898;2455.4;413;85.2;8;1.7
m;40-49;10622;2216.1;346;72.2;26;5.4
m;50-59;12880;1942;403;60.8;71;10.7
m;60-69;7310;1479.4;225;45.5;231;46.7
m;70-79;4217;1215.8;121;34.9;522;150.5
m;80-89;4014;2102.3;90;47.1;1002;524.8
m;90+;1039;4783.4;15;69.1;360;1657.4
w;0-9;4135;1160.7;182;51.1;0;0
w;10-19;8127;2176;312;83.5;0;0
w;20-29;13897;3137.4;381;86;2;0.5
w;30-39;11689;2504.4;367;78.6;2;0.4
w;40-49;12010;2479.2;359;74.1;16;3.3
w;50-59;13870;2092;380;57.3;39;5.9
w;60-69;7195;1386.8;212;40.9;120;23.1
w;70-79;4384;1099.7;150;37.6;290;72.7
w;80-89;7111;2517.1;147;52;1008;356.8
w;90+;3460;5844.8;51;86.2;667;1126.7
d;0-9;0;;0;;0;
d;10-19;1;;0;;0;
d;20-29;1;;0;;0;
d;30-39;2;;0;;0;
d;40-49;2;;0;;0;
d;50-59;0;;0;;0;
d;60-69;1;;0;;0;
d;70-79;0;;0;;0;
d;80-89;0;;0;;0;
d;90+;0;;0;;0;
