Geschlecht;Altersgruppe;"Anzahl Fälle";"Fälle pro 100.000 Einwohner";"Fälle vergangene 7 Tage";"Fälle vergangene 7 Tage pro 100.000 Einwohner";"verstorbene Fälle";"verstorbene Fälle pro 100.000 Einwohner"
m;0-9;4692;1249.3;245;65.2;0;0
m;10-19;8282;2080.1;279;70.1;0;0
m;20-29;14427;2925.8;438;88.8;2;0.4
m;30-39;12070;2490.9;411;84.8;9;1.9
m;40-49;10793;2251.8;378;78.9;26;5.4
m;50-59;13057;1968.7;391;59;72;10.9
m;60-69;7405;1498.6;227;45.9;235;47.6
m;70-79;4260;1228.1;112;32.3;530;152.8
m;80-89;4047;2119.5;85;44.5;1011;529.5
m;90+;1047;4820.2;16;73.7;364;1675.8
w;0-9;4227;1186.5;203;57;0;0
w;10-19;8230;2203.6;298;79.8;0;0
w;20-29;14066;3175.6;393;88.7;2;0.5
w;30-39;11840;2536.8;351;75.2;2;0.4
w;40-49;12148;2507.7;353;72.9;16;3.3
w;50-59;14034;2116.7;380;57.3;40;6
w;60-69;7287;1404.6;216;41.6;121;23.3
w;70-79;4441;1114;143;35.9;292;73.2
w;80-89;7157;2533.3;130;46;1021;361.4
w;90+;3476;5871.8;43;72.6;673;1136.9
d;0-9;0;;0;;0;
d;10-19;1;;0;;0;
d;20-29;1;;0;;0;
d;30-39;2;;0;;0;
d;40-49;2;;0;;0;
d;50-59;0;;0;;0;
d;60-69;1;;0;;0;
d;70-79;0;;0;;0;
d;80-89;0;;0;;0;
d;90+;0;;0;;0;
