Geschlecht;Altersgruppe;"Anzahl Fälle";"Fälle pro 100.000 Einwohner";"Fälle vergangene 7 Tage";"Fälle vergangene 7 Tage pro 100.000 Einwohner";"verstorbene Fälle";"verstorbene Fälle pro 100.000 Einwohner"
m;0-9;4549;1211.3;222;59.1;0;0
m;10-19;8113;2037.7;289;72.6;0;0
m;20-29;14149;2869.4;477;96.7;2;0.4
m;30-39;11796;2434.3;391;80.7;7;1.4
m;40-49;10526;2196.1;369;77;25;5.2
m;50-59;12794;1929;461;69.5;70;10.6
m;60-69;7253;1467.8;234;47.4;227;45.9
m;70-79;4184;1206.2;119;34.3;515;148.5
m;80-89;4000;2094.9;104;54.5;990;518.5
m;90+;1036;4769.6;19;87.5;356;1639
w;0-9;4097;1150;170;47.7;0;0
w;10-19;8067;2159.9;321;85.9;0;0
w;20-29;13811;3118;412;93;2;0.5
w;30-39;11611;2487.7;381;81.6;2;0.4
w;40-49;11946;2466;382;78.9;15;3.1
w;50-59;13791;2080.1;444;67;38;5.7
w;60-69;7146;1377.4;241;46.5;117;22.6
w;70-79;4351;1091.4;162;40.6;281;70.5
w;80-89;7088;2508.9;167;59.1;985;348.7
w;90+;3449;5826.2;62;104.7;653;1103.1
d;0-9;0;;0;;0;
d;10-19;1;;0;;0;
d;20-29;1;;0;;0;
d;30-39;2;;0;;0;
d;40-49;2;;0;;0;
d;50-59;0;;0;;0;
d;60-69;1;;0;;0;
d;70-79;0;;0;;0;
d;80-89;0;;0;;0;
d;90+;0;;0;;0;
