Geschlecht;Altersgruppe;"Anzahl Fälle";"Fälle pro 100.000 Einwohner";"Fälle vergangene 7 Tage";"Fälle vergangene 7 Tage pro 100.000 Einwohner";"verstorbene Fälle";"verstorbene Fälle pro 100.000 Einwohner"
m;0-9;3728;992.7;159;42.3;0;0
m;10-19;7076;1777.2;234;58.8;0;0
m;20-29;12374;2509.4;429;87;3;0.6
m;30-39;10238;2112.8;417;86.1;6;1.2
m;40-49;9065;1891.3;336;70.1;20;4.2
m;50-59;10958;1652.2;464;70;48;7.2
m;60-69;6226;1260;312;63.1;183;37
m;70-79;3599;1037.6;192;55.4;388;111.9
m;80-89;3412;1787;214;112.1;767;401.7
m;90+;872;4014.5;76;349.9;277;1275.3
w;0-9;3424;961.1;165;46.3;0;0
w;10-19;7004;1875.3;255;68.3;0;0
w;20-29;12140;2740.7;471;106.3;1;0.2
w;30-39;10038;2150.7;409;87.6;1;0.2
w;40-49;10350;2136.5;449;92.7;12;2.5
w;50-59;11927;1798.9;520;78.4;32;4.8
w;60-69;6166;1188.5;274;52.8;90;17.3
w;70-79;3737;937.4;210;52.7;204;51.2
w;80-89;6117;2165.2;401;141.9;730;258.4
w;90+;3004;5074.5;213;359.8;511;863.2
d;0-9;0;;0;;0;
d;10-19;1;;0;;0;
d;20-29;1;;0;;0;
d;30-39;1;;0;;0;
d;40-49;2;;1;;0;
d;50-59;0;;0;;0;
d;60-69;1;;0;;0;
d;70-79;0;;0;;0;
d;80-89;0;;0;;0;
d;90+;0;;0;;0;
