Geschlecht;Altersgruppe;"Anzahl Fälle";"Fälle pro 100.000 Einwohner";"Fälle vergangene 7 Tage";"Fälle vergangene 7 Tage pro 100.000 Einwohner";"verstorbene Fälle";"verstorbene Fälle pro 100.000 Einwohner"
m;0-9;7538;2007.2;588;156.6;0;0
m;10-19;11674;2932;802;201.4;0;0
m;20-29;19175;3888.7;873;177;2;0.4
m;30-39;16626;3431.1;836;172.5;13;2.7
m;40-49;14799;3087.6;770;160.7;32;6.7
m;50-59;17261;2602.5;730;110.1;101;15.2
m;60-69;9590;1940.8;383;77.5;284;57.5
m;70-79;5346;1541.2;195;56.2;625;180.2
m;80-89;4567;2391.9;88;46.1;1168;611.7
m;90+;1135;5225.4;14;64.5;407;1873.8
w;0-9;6769;1900.1;511;143.4;0;0
w;10-19;11494;3077.5;776;207.8;0;0
w;20-29;18240;4117.9;758;171.1;3;0.7
w;30-39;16104;3450.3;755;161.8;6;1.3
w;40-49;15909;3284;698;144.1;20;4.1
w;50-59;17759;2678.5;610;92;51;7.7
w;60-69;9385;1809;354;68.2;152;29.3
w;70-79;5514;1383.1;191;47.9;358;89.8
w;80-89;7948;2813.3;97;34.3;1147;406
w;90+;3707;6262;38;64.2;748;1263.6
d;0-9;0;;0;;0;
d;10-19;1;;0;;0;
d;20-29;1;;0;;0;
d;30-39;2;;0;;0;
d;40-49;2;;0;;0;
d;50-59;0;;0;;0;
d;60-69;1;;0;;0;
d;70-79;0;;0;;0;
d;80-89;0;;0;;0;
d;90+;0;;0;;0;
