Geschlecht;Altersgruppe;"Anzahl Fälle";"Fälle pro 100.000 Einwohner";"Fälle vergangene 7 Tage";"Fälle vergangene 7 Tage pro 100.000 Einwohner";"verstorbene Fälle";"verstorbene Fälle pro 100.000 Einwohner"
m;0-9;4123;1097.8;182;48.5;0;0
m;10-19;7571;1901.5;236;59.3;0;0
m;20-29;13204;2677.8;381;77.3;2;0.4
m;30-39;11009;2271.9;373;77;7;1.4
m;40-49;9782;2040.9;334;69.7;24;5
m;50-59;11841;1785.3;427;64.4;58;8.7
m;60-69;6734;1362.8;258;52.2;215;43.5
m;70-79;3916;1129;140;40.4;451;130
m;80-89;3781;1980.2;161;84.3;890;466.1
m;90+;983;4525.6;51;234.8;313;1441
w;0-9;3750;1052.6;163;45.8;0;0
w;10-19;7486;2004.4;227;60.8;0;0
w;20-29;12958;2925.4;375;84.7;2;0.5
w;30-39;10864;2327.6;400;85.7;1;0.2
w;40-49;11128;2297.1;364;75.1;13;2.7
w;50-59;12874;1941.8;415;62.6;36;5.4
w;60-69;6664;1284.5;224;43.2;110;21.2
w;70-79;4054;1016.9;138;34.6;250;62.7
w;80-89;6741;2386.1;226;80;871;308.3
w;90+;3283;5545.8;122;206.1;588;993.3
d;0-9;0;;0;;0;
d;10-19;1;;0;;0;
d;20-29;1;;0;;0;
d;30-39;2;;0;;0;
d;40-49;2;;0;;0;
d;50-59;0;;0;;0;
d;60-69;1;;0;;0;
d;70-79;0;;0;;0;
d;80-89;0;;0;;0;
d;90+;0;;0;;0;
