Geschlecht;Altersgruppe;"Anzahl Fälle";"Fälle pro 100.000 Einwohner";"Fälle vergangene 7 Tage";"Fälle vergangene 7 Tage pro 100.000 Einwohner";"verstorbene Fälle";"verstorbene Fälle pro 100.000 Einwohner"
m;0-9;4735;1260.8;245;65.2;0;0
m;10-19;8332;2092.7;281;70.6;0;0
m;20-29;14490;2938.6;415;84.2;2;0.4
m;30-39;12128;2502.8;403;83.2;9;1.9
m;40-49;10846;2262.9;369;77;26;5.4
m;50-59;13129;1979.5;392;59.1;73;11
m;60-69;7459;1509.5;236;47.8;236;47.8
m;70-79;4278;1233.3;117;33.7;530;152.8
m;80-89;4061;2126.9;79;41.4;1019;533.7
m;90+;1046;4815.6;12;55.2;364;1675.8
w;0-9;4262;1196.4;206;57.8;0;0
w;10-19;8273;2215.1;271;72.6;0;0
w;20-29;14133;3190.7;382;86.2;2;0.5
w;30-39;11908;2551.3;362;77.6;2;0.4
w;40-49;12205;2519.4;323;66.7;16;3.3
w;50-59;14104;2127.3;376;56.7;40;6
w;60-69;7331;1413.1;220;42.4;121;23.3
w;70-79;4462;1119.2;139;34.9;293;73.5
w;80-89;7179;2541.1;127;45;1024;362.5
w;90+;3486;5888.7;43;72.6;676;1141.9
d;0-9;0;;0;;0;
d;10-19;1;;0;;0;
d;20-29;1;;0;;0;
d;30-39;2;;0;;0;
d;40-49;2;;0;;0;
d;50-59;0;;0;;0;
d;60-69;1;;0;;0;
d;70-79;0;;0;;0;
d;80-89;0;;0;;0;
d;90+;0;;0;;0;
