Geschlecht;Altersgruppe;"Anzahl Fälle";"Fälle pro 100.000 Einwohner";"Fälle vergangene 7 Tage";"Fälle vergangene 7 Tage pro 100.000 Einwohner";"verstorbene Fälle";"verstorbene Fälle pro 100.000 Einwohner"
m;0-9;6822;1816.5;340;90.5;0;0
m;10-19;10696;2686.4;440;110.5;0;0
m;20-29;18077;3666;677;137.3;2;0.4
m;30-39;15590;3217.3;642;132.5;13;2.7
m;40-49;13863;2892.3;579;120.8;30;6.3
m;50-59;16330;2462.1;606;91.4;100;15.1
m;60-69;9128;1847.3;326;66;271;54.8
m;70-79;5113;1474.1;178;51.3;601;173.3
m;80-89;4460;2335.8;60;31.4;1150;602.3
m;90+;1118;5147.1;16;73.7;398;1832.3
w;0-9;6148;1725.8;300;84.2;0;0
w;10-19;10552;2825.3;451;120.8;0;0
w;20-29;17279;3900.9;599;135.2;3;0.7
w;30-39;15162;3248.5;614;131.6;6;1.3
w;40-49;15043;3105.3;538;111.1;19;3.9
w;50-59;16994;2563.2;518;78.1;49;7.4
w;60-69;8931;1721.5;315;60.7;147;28.3
w;70-79;5278;1323.9;144;36.1;346;86.8
w;80-89;7824;2769.4;135;47.8;1126;398.6
w;90+;3659;6181;29;49;740;1250
d;0-9;0;;0;;0;
d;10-19;1;;0;;0;
d;20-29;1;;0;;0;
d;30-39;2;;0;;0;
d;40-49;2;;0;;0;
d;50-59;0;;0;;0;
d;60-69;1;;0;;0;
d;70-79;0;;0;;0;
d;80-89;0;;0;;0;
d;90+;0;;0;;0;
