Geschlecht;Altersgruppe;"Anzahl Fälle";"Fälle pro 100.000 Einwohner";"Fälle vergangene 7 Tage";"Fälle vergangene 7 Tage pro 100.000 Einwohner";"verstorbene Fälle";"verstorbene Fälle pro 100.000 Einwohner"
m;0-9;3007;800.7;134;35.7;0;0
m;10-19;5965;1498.2;273;68.6;1;0.3
m;20-29;10316;2092.1;557;113;2;0.4
m;30-39;8465;1746.9;535;110.4;5;1
m;40-49;7592;1584;435;90.8;17;3.5
m;50-59;9021;1360.1;530;79.9;33;5
m;60-69;5001;1012.1;333;67.4;127;25.7
m;70-79;2798;806.7;208;60;265;76.4
m;80-89;2492;1305.1;240;125.7;535;280.2
m;90+;616;2836;74;340.7;172;791.9
w;0-9;2803;786.8;124;34.8;1;0.3
w;10-19;5876;1573.3;285;76.3;0;0
w;20-29;10047;2268.2;695;156.9;1;0.2
w;30-39;8308;1780;560;120;1;0.2
w;40-49;8538;1762.5;529;109.2;9;1.9
w;50-59;9709;1464.4;672;101.4;23;3.5
w;60-69;4947;953.5;337;65;53;10.2
w;70-79;2876;721.4;243;61;140;35.1
w;80-89;4432;1568.8;446;157.9;490;173.4
w;90+;2126;3591.3;226;381.8;358;604.8
d;0-9;0;;0;;0;
d;10-19;1;;0;;0;
d;20-29;0;;0;;0;
d;30-39;1;;0;;0;
d;40-49;1;;1;;0;
d;50-59;0;;0;;0;
d;60-69;0;;0;;0;
d;70-79;0;;0;;0;
d;80-89;0;;0;;0;
d;90+;0;;0;;0;
