Geschlecht;Altersgruppe;"Anzahl Fälle";"Fälle pro 100.000 Einwohner";"Fälle vergangene 7 Tage";"Fälle vergangene 7 Tage pro 100.000 Einwohner";"verstorbene Fälle";"verstorbene Fälle pro 100.000 Einwohner"
m;0-9;3752;999.1;164;43.7;0;0
m;10-19;7107;1785;226;56.8;0;0
m;20-29;12421;2519;431;87.4;2;0.4
m;30-39;10280;2121.5;403;83.2;6;1.2
m;40-49;9106;1899.8;335;69.9;20;4.2
m;50-59;11002;1658.8;456;68.8;48;7.2
m;60-69;6256;1266.1;313;63.3;187;37.8
m;70-79;3618;1043.1;188;54.2;395;113.9
m;80-89;3429;1795.9;202;105.8;778;407.5
m;90+;881;4056;77;354.5;283;1302.9
w;0-9;3443;966.5;158;44.4;0;0
w;10-19;7043;1885.8;266;71.2;0;0
w;20-29;12204;2755.2;481;108.6;2;0.5
w;30-39;10083;2160.3;409;87.6;1;0.2
w;40-49;10401;2147;444;91.7;12;2.5
w;50-59;11992;1808.7;537;81;32;4.8
w;60-69;6187;1192.5;264;50.9;94;18.1
w;70-79;3754;941.6;188;47.2;211;52.9
w;80-89;6158;2179.7;381;134.9;747;264.4
w;90+;3028;5115;213;359.8;520;878.4
d;0-9;0;;0;;0;
d;10-19;1;;0;;0;
d;20-29;1;;0;;0;
d;30-39;1;;0;;0;
d;40-49;2;;1;;0;
d;50-59;0;;0;;0;
d;60-69;1;;0;;0;
d;70-79;0;;0;;0;
d;80-89;0;;0;;0;
d;90+;0;;0;;0;
