Geschlecht;Altersgruppe;"Anzahl Fälle";"Fälle pro 100.000 Einwohner";"Fälle vergangene 7 Tage";"Fälle vergangene 7 Tage pro 100.000 Einwohner";"verstorbene Fälle";"verstorbene Fälle pro 100.000 Einwohner"
m;0-9;2864;762.6;169;45;1;0.3
m;10-19;5676;1425.6;269;67.6;1;0.3
m;20-29;9721;1971.4;569;115.4;2;0.4
m;30-39;7891;1628.5;461;95.1;5;1
m;40-49;7131;1487.8;427;89.1;17;3.5
m;50-59;8452;1274.3;587;88.5;30;4.5
m;60-69;4643;939.6;322;65.2;115;23.3
m;70-79;2578;743.2;228;65.7;247;71.2
m;80-89;2240;1173.2;215;112.6;467;244.6
m;90+;541;2490.7;65;299.2;156;718.2
w;0-9;2675;750.9;142;39.9;1;0.3
w;10-19;5572;1491.9;315;84.3;0;0
w;20-29;9311;2102.1;616;139.1;1;0.2
w;30-39;7705;1650.8;564;120.8;1;0.2
w;40-49;7974;1646;527;108.8;9;1.9
w;50-59;9001;1357.6;678;102.3;22;3.3
w;60-69;4583;883.4;360;69.4;45;8.7
w;70-79;2626;658.7;223;55.9;130;32.6
w;80-89;3953;1399.2;361;127.8;431;152.6
w;90+;1887;3187.6;211;356.4;305;515.2
d;0-9;0;;0;;0;
d;10-19;1;;0;;0;
d;20-29;0;;0;;0;
d;30-39;1;;0;;0;
d;40-49;0;;0;;0;
d;50-59;0;;0;;0;
d;60-69;0;;0;;0;
d;70-79;0;;0;;0;
d;80-89;0;;0;;0;
d;90+;0;;0;;0;
