Geschlecht;Altersgruppe;"Anzahl Fälle";"Fälle pro 100.000 Einwohner";"Fälle vergangene 7 Tage";"Fälle vergangene 7 Tage pro 100.000 Einwohner";"verstorbene Fälle";"verstorbene Fälle pro 100.000 Einwohner"
m;0-9;5092;1355.9;286;76.2;0;0
m;10-19;8774;2203.7;349;87.7;0;0
m;20-29;15166;3075.7;563;114.2;2;0.4
m;30-39;12793;2640.1;566;116.8;9;1.9
m;40-49;11409;2380.3;468;97.6;26;5.4
m;50-59;13719;2068.5;491;74;79;11.9
m;60-69;7784;1575.3;274;55.5;241;48.8
m;70-79;4427;1276.3;126;36.3;544;156.8
m;80-89;4141;2168.8;64;33.5;1047;548.3
m;90+;1062;4889.3;14;64.5;377;1735.6
w;0-9;4605;1292.6;288;80.8;0;0
w;10-19;8690;2326.8;351;94;0;0
w;20-29;14720;3323.2;497;112.2;2;0.5
w;30-39;12506;2679.5;495;106.1;4;0.9
w;40-49;12760;2634;465;96;17;3.5
w;50-59;14649;2209.5;440;66.4;41;6.2
w;60-69;7628;1470.3;247;47.6;128;24.7
w;70-79;4635;1162.6;133;33.4;310;77.8
w;80-89;7324;2592.5;125;44.2;1063;376.3
w;90+;3530;5963;37;62.5;698;1179.1
d;0-9;0;;0;;0;
d;10-19;1;;0;;0;
d;20-29;1;;0;;0;
d;30-39;2;;0;;0;
d;40-49;2;;0;;0;
d;50-59;0;;0;;0;
d;60-69;1;;0;;0;
d;70-79;0;;0;;0;
d;80-89;0;;0;;0;
d;90+;0;;0;;0;
