Geschlecht;Altersgruppe;"Anzahl Fälle";"Fälle pro 100.000 Einwohner";"Fälle vergangene 7 Tage";"Fälle vergangene 7 Tage pro 100.000 Einwohner";"verstorbene Fälle";"verstorbene Fälle pro 100.000 Einwohner"
m;0-9;3587;955.1;198;52.7;0;0
m;10-19;6878;1727.5;301;75.6;0;0
m;20-29;11985;2430.6;534;108.3;2;0.4
m;30-39;9863;2035.4;429;88.5;6;1.2
m;40-49;8767;1829.1;369;77;20;4.2
m;50-59;10537;1588.7;501;75.5;47;7.1
m;60-69;5942;1202.5;337;68.2;171;34.6
m;70-79;3425;987.4;201;57.9;366;105.5
m;80-89;3221;1686.9;258;135.1;708;370.8
m;90+;807;3715.3;62;285.4;258;1187.8
w;0-9;3278;920.1;170;47.7;0;0
w;10-19;6771;1812.9;265;71;0;0
w;20-29;11717;2645.2;488;110.2;1;0.2
w;30-39;9668;2071.4;440;94.3;1;0.2
w;40-49;9961;2056.2;484;99.9;12;2.5
w;50-59;11450;1727;587;88.5;31;4.7
w;60-69;5924;1141.9;312;60.1;79;15.2
w;70-79;3554;891.5;214;53.7;187;46.9
w;80-89;5764;2040.3;408;144.4;671;237.5
w;90+;2805;4738.3;185;312.5;477;805.8
d;0-9;0;;0;;0;
d;10-19;1;;0;;0;
d;20-29;1;;0;;0;
d;30-39;1;;0;;0;
d;40-49;1;;0;;0;
d;50-59;0;;0;;0;
d;60-69;1;;0;;0;
d;70-79;0;;0;;0;
d;80-89;0;;0;;0;
d;90+;0;;0;;0;
