Geschlecht;Altersgruppe;"Anzahl Fälle";"Fälle pro 100.000 Einwohner";"Fälle vergangene 7 Tage";"Fälle vergangene 7 Tage pro 100.000 Einwohner";"verstorbene Fälle";"verstorbene Fälle pro 100.000 Einwohner"
m;0-9;5321;1416.8;357;95.1;0;0
m;10-19;9016;2264.5;390;98;0;0
m;20-29;15599;3163.5;660;133.8;2;0.4
m;30-39;13199;2723.9;618;127.5;11;2.3
m;40-49;11769;2455.5;527;110;27;5.6
m;50-59;14105;2126.7;544;82;82;12.4
m;60-69;7977;1614.3;295;59.7;252;51
m;70-79;4519;1302.8;131;37.8;554;159.7
m;80-89;4189;2193.9;79;41.4;1068;559.3
m;90+;1068;4916.9;11;50.6;380;1749.5
w;0-9;4824;1354.1;348;97.7;0;0
w;10-19;8952;2396.9;422;113;0;0
w;20-29;15081;3404.7;556;125.5;2;0.5
w;30-39;12896;2763;579;124.1;5;1.1
w;40-49;13081;2700.3;494;102;17;3.5
w;50-59;15005;2263.2;530;79.9;45;6.8
w;60-69;7821;1507.5;288;55.5;133;25.6
w;70-79;4726;1185.5;145;36.4;319;80
w;80-89;7410;2622.9;146;51.7;1076;380.9
w;90+;3556;6007;39;65.9;711;1201.1
d;0-9;0;;0;;0;
d;10-19;1;;0;;0;
d;20-29;1;;0;;0;
d;30-39;2;;0;;0;
d;40-49;2;;0;;0;
d;50-59;0;;0;;0;
d;60-69;1;;0;;0;
d;70-79;0;;0;;0;
d;80-89;0;;0;;0;
d;90+;0;;0;;0;
