Geschlecht;Altersgruppe;"Anzahl Fälle";"Fälle pro 100.000 Einwohner";"Fälle vergangene 7 Tage";"Fälle vergangene 7 Tage pro 100.000 Einwohner";"verstorbene Fälle";"verstorbene Fälle pro 100.000 Einwohner"
m;0-9;2964;789.2;130;34.6;0;0
m;10-19;5876;1475.8;256;64.3;1;0.3
m;20-29;10140;2056.4;543;110.1;2;0.4
m;30-39;8303;1713.5;506;104.4;5;1
m;40-49;7446;1553.5;408;85.1;17;3.5
m;50-59;8835;1332.1;517;78;32;4.8
m;60-69;4905;992.7;342;69.2;122;24.7
m;70-79;2737;789.1;207;59.7;263;75.8
m;80-89;2423;1269;227;118.9;521;272.9
m;90+;588;2707.1;67;308.5;167;768.8
w;0-9;2767;776.7;123;34.5;1;0.3
w;10-19;5786;1549.2;286;76.6;0;0
w;20-29;9807;2214;632;142.7;1;0.2
w;30-39;8120;1739.7;561;120.2;1;0.2
w;40-49;8365;1726.8;509;105.1;9;1.9
w;50-59;9496;1432.3;655;98.8;24;3.6
w;60-69;4840;932.9;344;66.3;50;9.6
w;70-79;2803;703.1;239;60;138;34.6
w;80-89;4297;1521;435;154;474;167.8
w;90+;2059;3478.2;237;400.4;339;572.7
d;0-9;0;;0;;0;
d;10-19;1;;0;;0;
d;20-29;0;;0;;0;
d;30-39;1;;0;;0;
d;40-49;1;;1;;0;
d;50-59;0;;0;;0;
d;60-69;0;;0;;0;
d;70-79;0;;0;;0;
d;80-89;0;;0;;0;
d;90+;0;;0;;0;
