Geschlecht;Altersgruppe;"Anzahl Fälle";"Fälle pro 100.000 Einwohner";"Fälle vergangene 7 Tage";"Fälle vergangene 7 Tage pro 100.000 Einwohner";"verstorbene Fälle";"verstorbene Fälle pro 100.000 Einwohner"
m;0-9;6544;1742.5;396;105.4;0;0
m;10-19;10326;2593.5;458;115;0;0
m;20-29;17513;3551.6;689;139.7;2;0.4
m;30-39;15033;3102.4;634;130.8;13;2.7
m;40-49;13379;2791.4;605;126.2;27;5.6
m;50-59;15825;2386;604;91.1;93;14
m;60-69;8861;1793.2;325;65.8;264;53.4
m;70-79;4981;1436;162;46.7;590;170.1
m;80-89;4414;2311.8;91;47.7;1125;589.2
m;90+;1105;5087.2;13;59.8;394;1813.9
w;0-9;5908;1658.4;365;102.5;0;0
w;10-19;10187;2727.6;456;122.1;1;0.3
w;20-29;16787;3789.9;606;136.8;2;0.5
w;30-39;14658;3140.5;636;136.3;6;1.3
w;40-49;14578;3009.3;543;112.1;19;3.9
w;50-59;16539;2494.5;562;84.8;47;7.1
w;60-69;8676;1672.3;308;59.4;143;27.6
w;70-79;5163;1295.1;152;38.1;337;84.5
w;80-89;7718;2731.9;114;40.4;1108;392.2
w;90+;3637;6143.8;29;49;732;1236.5
d;0-9;0;;0;;0;
d;10-19;1;;0;;0;
d;20-29;1;;0;;0;
d;30-39;2;;0;;0;
d;40-49;2;;0;;0;
d;50-59;0;;0;;0;
d;60-69;1;;0;;0;
d;70-79;0;;0;;0;
d;80-89;0;;0;;0;
d;90+;0;;0;;0;
